mach,alpha_deg,beta_deg,cd,cl,cy,cm,cn,cl_roll,qbar_pa
0.2,-15.0,0.0,0.23999999999999996,-0.7199999999999999,0.0,-0.19999999999999996,0.0,0.0,2837.100000000001
0.2,-12.5,0.0,0.20625,-0.605,0.0,-0.16500000000000004,0.0,0.0,2837.100000000001
0.2,-10.0,0.0,0.17249999999999996,-0.4899999999999999,0.0,-0.12999999999999998,0.0,0.0,2837.100000000001
0.2,-7.5,0.0,0.13874999999999998,-0.37499999999999994,0.0,-0.09499999999999999,0.0,0.0,2837.100000000001
0.2,-5.0,0.0,0.105,-0.26,0.0,-0.06,0.0,0.0,2837.100000000001
0.2,-2.5,0.0,0.09,-0.13,0.0,-0.03,0.0,0.0,2837.100000000001
0.2,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,2837.100000000001
0.2,2.5,0.0,0.09625,0.145,0.0,0.035,0.0,0.0,2837.100000000001
0.2,5.0,0.0,0.1175,0.29,0.0,0.07,0.0,0.0,2837.100000000001
0.2,7.5,0.0,0.13874999999999998,0.4349999999999999,0.0,0.105,0.0,0.0,2837.100000000001
0.2,10.0,0.0,0.16,0.5799999999999998,0.0,0.13999999999999999,0.0,0.0,2837.100000000001
0.2,12.5,0.0,0.215,0.6499999999999999,0.0,0.16,0.0,0.0,2837.100000000001
0.2,15.0,0.0,0.27,0.72,0.0,0.18,0.0,0.0,2837.100000000001
0.2,17.5,0.0,0.32500000000000007,0.79,0.0,0.2,0.0,0.0,2837.100000000001
0.2,20.0,0.0,0.3810352786395747,0.8184333333333333,0.0,0.22,0.0,0.0,2837.100000000001
0.2,22.5,0.0,0.38523245524706645,0.766475,0.0,0.22,0.0,0.0,2837.100000000001
0.2,25.0,0.0,0.3926243163327015,0.7145166666666667,0.0,0.22,0.0,0.0,2837.100000000001
0.4,-15.0,0.0,0.2485714285714285,-0.7457142857142856,0.0,-0.21285714285714283,0.0,0.0,11348.400000000003
0.4,-12.5,0.0,0.21375,-0.6275000000000002,0.0,-0.17571428571428574,0.0,0.0,11348.400000000003
0.4,-10.0,0.0,0.1789285714285714,-0.5092857142857141,0.0,-0.13857142857142854,0.0,0.0,11348.400000000003
0.4,-7.5,0.0,0.14410714285714282,-0.3910714285714285,0.0,-0.10142857142857142,0.0,0.0,11348.400000000003
0.4,-5.0,0.0,0.10928571428571429,-0.27285714285714285,0.0,-0.06428571428571428,0.0,0.0,11348.400000000003
0.4,-2.5,0.0,0.09428571428571429,-0.13642857142857143,0.0,-0.03214285714285714,0.0,0.0,11348.400000000003
0.4,0.0,0.0,0.07928571428571429,0.0,0.0,0.0,0.0,0.0,11348.400000000003
0.4,2.5,0.0,0.10160714285714285,0.1514285714285714,0.0,0.037142857142857144,0.0,0.0,11348.400000000003
0.4,5.0,0.0,0.12392857142857143,0.3028571428571428,0.0,0.07428571428571429,0.0,0.0,11348.400000000003
0.4,7.5,0.0,0.14625,0.4542857142857142,0.0,0.11142857142857142,0.0,0.0,11348.400000000003
0.4,10.0,0.0,0.16857142857142857,0.6057142857142856,0.0,0.14857142857142858,0.0,0.0,11348.400000000003
0.4,12.5,0.0,0.22785714285714287,0.6757142857142857,0.0,0.16964285714285715,0.0,0.0,11348.400000000003
0.4,15.0,0.0,0.28714285714285714,0.7457142857142857,0.0,0.1907142857142857,0.0,0.0,11348.400000000003
0.4,17.5,0.0,0.34642857142857153,0.8157142857142858,0.0,0.2117857142857143,0.0,0.0,11348.400000000003
0.4,20.0,0.0,0.40674956435386045,0.8429047619047618,0.0,0.23285714285714287,0.0,0.0,11348.400000000003
0.4,22.5,0.0,0.4109467409613522,0.7893928571428571,0.0,0.23285714285714287,0.0,0.0,11348.400000000003
0.4,25.0,0.0,0.41833860204698725,0.7358809523809523,0.0,0.23285714285714287,0.0,0.0,11348.400000000003
0.6,-15.0,0.0,0.25999999999999995,-0.7799999999999998,0.0,-0.22999999999999995,0.0,0.0,25533.899999999998
0.6,-12.5,0.0,0.22375000000000003,-0.6575000000000001,0.0,-0.19000000000000006,0.0,0.0,25533.899999999987
0.6,-10.0,0.0,0.18749999999999997,-0.5349999999999999,0.0,-0.14999999999999997,0.0,0.0,25533.899999999998
0.6,-7.5,0.0,0.15125,-0.4125,0.0,-0.10999999999999999,0.0,0.0,25533.899999999998
0.6,-5.0,0.0,0.115,-0.29,0.0,-0.07,0.0,0.0,25533.899999999998
0.6,-2.5,0.0,0.1,-0.145,0.0,-0.035,0.0,0.0,25533.899999999998
