scenario,sample_index,seed,duration_s,final_x_m,final_y_m,final_altitude_m,final_speed_mps,max_altitude_m,max_speed_mps,max_load_factor_g,max_qbar_pa,event_count,run_dir
actuator_saturation,,,14.0,1766.2486892341537,598.7779813189252,502.1755703634682,187.09155206075042,1223.7674704866856,205.94622139612508,6.030073528315555,24300.896621591863,6,outputs/batch_after_damping/actuator_saturation
engine_thrust_loss,,,18.0,2689.477031223718,0.0,278.9089072007509,126.85208303278893,310.95283820941904,192.83728485804494,2.3424795655490342,22338.21407902835,3,outputs/batch_after_damping/engine_thrust_loss
glide_return,,,35.0,229.99564513084601,238.0709513750678,317.733897186656,23.675530118236697,1200.0,48.104053883222775,3.090384079731858,1261.0944322985495,3,outputs/batch_after_damping/glide_return
gps_dropout_navigation,,,18.0,970.0208821880378,-1171.713709192073,436.3475426338188,77.50552887060738,985.4084758461279,152.05294144314655,4.014243255737885,13710.177144342393,6,outputs/batch_after_damping/gps_dropout_navigation
gusted_crossrange,,,19.98,1894.3670748866957,354.12902270104456,278.3123862322895,76.75039498220197,1058.1637004215152,176.50606851858484,4.655623358616305,17494.391002131404,6,outputs/batch_after_damping/gusted_crossrange
high_altitude_low_density,,,24.0,9193.422908593622,0.0,14731.265904870173,371.7262611530861,14731.265904870173,510.16869466434616,12.010332095879575,26755.963156987113,5,outputs/batch_after_damping/high_altitude_low_density
high_aoa_stall,,,12.0,1674.1701390577593,0.0,1295.8891881290251,201.57984452335813,1295.8891881290251,201.57984452335813,2.104344531944416,21936.366932247907,1,outputs/batch_after_damping/high_aoa_stall
imu_bias_navigation,,,18.0,1067.4582304353128,-1115.0595684025027,158.13076452102507,77.51447940097864,762.2637181443309,160.68803878483897,4.309564186919413,15663.668738748695,6,outputs/batch_after_damping/imu_bias_navigation
nominal_ascent,,,18.0,3586.801139818193,0.0,379.7412333511338,201.38018586107725,379.7412333511338,264.1925181752283,2.4204804114064187,41665.284741628646,2,outputs/batch_after_damping/nominal_ascent
sensor_noise_autopilot,,,18.0,982.3585997438253,-845.7425207727958,439.7857124998916,75.91216289308899,1096.484565386191,140.3178194136261,3.455547140497557,11825.533142830647,5,outputs/batch_after_damping/sensor_noise_autopilot
stuck_elevator_failure,,,18.0,2049.9402870322087,16.388761463511457,1534.2070351749464,104.31979676936288,1534.2070351749464,202.84952940761065,4.139867517904577,24415.973258267968,5,outputs/batch_after_damping/stuck_elevator_failure
target_intercept,,,18.0,1029.232562961278,-1264.4155611767492,671.9913746981296,75.6369807101128,1175.5817818495016,147.39742194631629,3.6470395781302356,12739.484074667487,6,outputs/batch_after_damping/target_intercept
thrust_misalignment,,,18.0,2050.6166889399788,851.764822024055,1114.9791528817505,78.79281680289796,1214.4497227349989,198.9143056240663,5.2486964572384,21820.16710977382,6,outputs/batch_after_damping/thrust_misalignment
waypoint_navigation,,,21.84,59.12306422034213,-6.138001719782337,-0.6777420229542752,25.057040865973086,450.0,44.547611215536605,3.2538486210480317,1364.0759657290885,4,outputs/batch_after_damping/waypoint_navigation
