time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg
0.0,0.0,0.0,120.0,86.0,0.0,16.0,87.47571091451616,18.0,0.0,10.0,0.0,0.0,0.0,0.0,-0.5391837286282299,0.0,4633.093410827757,0.2574078588887444,87.47571091451614,1.7887233382662049,1.2109496630495968,99891.70180372041,287.37,0.0,0.0,0.0,334.4,0.17947005348411538,0.88,nominal,5002.798,nan,pitch_program,14.999999999999998,0.0,0.0
0.03,2.5956430605347935,0.0,120.47330314433844,86.52143535115978,0.0,15.776771477948124,87.94808294381589,17.994615898395477,0.0,10.379294008134904,0.0,0.0,-12.64317977685787,0.0,0.04521865340142464,0.0,4683.052886220638,0.2587992560201085,87.94808294381589,1.8242609113471797,1.2108944909902168,99886.08128676451,287.3669235295618,0.0,0.0,0.0,340.34,0.1826580083815306,0.88,nominal,5048.872165026586,nan,pitch_program,14.977500000000001,0.0,0.0
0.06,5.207117622037693,0.0,120.94071364687782,87.04915205009665,0.0,15.580350084645863,88.43247243745348,17.98913615814403,0.0,10.71856298807445,0.0,0.0,-11.308999041498259,0.0,0.5710201539552378,0.0,4734.567376820198,0.26022601393319017,88.43247243745348,1.8519928097061003,1.210840007712342,99880.5309967695,287.3638853612953,0.0,0.0,0.0,346.28000000000003,0.1858459632789458,0.88,nominal,5096.17434018564,nan,pitch_program,14.955000000000002,0.0,0.0
0.09,7.834545991204717,0.0,121.4028561183601,87.5809456389008,0.0,15.4047490494095,88.92540881142678,17.983560779245664,0.0,10.83555423188443,0.0,0.0,-3.8997094819155955,0.0,0.8597516006520374,0.0,4787.283933155026,0.2616779219767881,88.92540881142679,1.881882387234894,1.2107861403415472,99875.04350780597,287.3608814352306,0.0,0.0,0.0,352.22,0.18903391817636103,0.88,nominal,5144.419485092806,nan,pitch_program,14.9325,0.0,0.0
0.12,10.478156155349456,0.0,121.85991778679073,88.12033880482463,0.0,15.235388947687467,89.42768691777954,17.977889761700375,0.0,10.860103243501271,0.0,0.0,-0.8183003997466171,0.0,1.0510349435666173,0.0,4841.303751116514,0.2631573198403331,89.42768691777954,1.9126104445201482,1.210732866992883,99869.61658851508,287.35791053438584,0.0,0.0,0.0,358.16,0.19222187307377622,0.88,nominal,5193.6931564960305,nan,pitch_program,14.910000000000002,0.0,0.0
0.15,13.138204169135712,0.0,122.31199492247063,88.66826712620849,0.0,15.069237855996453,89.93966602520415,17.97212310550816,0.0,10.919562534518164,0.0,0.0,-1.9819765451032667,0.0,1.2742602019930311,0.0,4896.6828546637225,0.26466526520238287,89.93966602520416,1.9435216226275913,1.210680176386172,99864.24908793568,287.35497203300395,0.0,0.0,0.0,364.1,0.19540982797119144,0.88,nominal,5244.042687369078,nan,pitch_program,14.8875,0.0,0.0
0.18,15.814916393943884,0.0,122.75931413726458,89.22374082693908,0.0,14.910640493131783,90.46105862230563,17.966260810669024,0.0,11.008940168874412,0.0,0.0,-2.9792550826834905,0.0,1.5216170325528262,0.0,4953.407589720369,0.26620091286451175,90.46105862230563,1.9746084428562074,1.2106280420525304,99858.93830795024,287.35206445810775,0.0,0.0,0.0,370.04,0.19859778286860666,0.88,nominal,5295.459191518314,nan,pitch_program,14.865,0.0,0.0
0.21,18.508501897426395,0.0,123.20216923607711,89.7861834494171,0.0,14.76183662708438,90.99159609006269,17.960302877182965,0.0,11.07601025809763,0.0,0.0,-2.2356698960669497,0.0,1.7394808022716663,0.0,5011.465954555315,0.2677634734163675,90.99159609006269,2.005911240114054,1.210576429696308,99853.68075329036,287.34918589996545,0.0,0.0,0.0,375.98,0.20178573776602185,0.88,nominal,5347.935832447531,nan,pitch_program,14.8425,0.0,0.0
0.24,21.21918153651727,0.0,123.64080598947515,90.35598796969578,0.0,14.62122511326827,91.53133226274309,17.954249305049984,0.0,11.107368322262401,0.0,0.0,-1.045268831583963,0.0,1.915556699925731,0.0,5070.881317615455,0.2693531061946918,91.5313322627431,2.0373889146334654,1.2105253106247262,99848.47349957906,287.34633476106836,0.0,0.0,0.0,381.92,0.20497369266343707,0.88,nominal,5401.494502953024,nan,pitch_program,14.82,0.0,0.0
0.27,23.947192392610447,0.0,124.0754108415449,90.9336952031059,0.0,14.486828402324717,92.08042745583758,17.94810009427008,0.0,11.122261187980637,0.0,0.0,-0.496428860069457,0.0,2.0704242087403077,0.0,5131.689385675827,0.27097028371569054,92.08042745583758,2.0690716544853007,1.2104746630628092,99843.31432724312,287.3435098295299,0.0,0.0,0.0,387.86,0.20816164756085226,0.88,nominal,5456.16668795412,nan,pitch_program,14.7975,0.0,0.0
