time_s,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad
0.0,-20.05352282957881,-0.0,-23.256492493402337,-2.6999999999999997,0.0,-2.6999999999999997,0.84,0.0,0.0,1.0,0.0,0.0,0.0,-0.047123889803846894,0.0,-0.047123889803846894,-0.047123889803846894,0.0,-0.047123889803846894
0.03,-1.000615473727915,-1.3098417298136715,-11.702613608731967,-1.6803692842367488,-0.7859050378882029,-5.3999999999999995,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.02932797665931172,-0.013716630519159924,-0.09424777960769379,-0.02932797665931172,-0.013716630519159924,-0.09424777960769379
0.06,1.1720170346566585,-2.2341750072940765,-12.339366102379888,0.031062507099295564,-1.6548670195317268,-8.099999999999998,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0005421430228068208,-0.028882878173493942,-0.14137166941154067,0.0005421430228068208,-0.028882878173493942,-0.14137166941154067
0.09,0.4144733810411424,-2.743756142155519,-12.42085308187594,0.2611090314644037,-2.308200493106002,-10.692511849125562,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.004557212305747315,-0.04028569840085641,-0.18661953707574824,0.004557212305747315,-0.04028569840085641,-0.18661953707574824
0.12,-1.204086093937943,-2.951854293063154,-12.012377583958624,-0.6180080437770042,-2.6943927730802932,-11.4844312900254,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.010786275167717976,-0.04702602523219156,-0.20044113873000305,-0.010786275167717976,-0.04702602523219156,-0.20044113873000305
0.15,-2.035983152119066,-2.968247633329091,-11.462794734130872,-1.4687931087822412,-2.8587056892295717,-11.471449356488684,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.02563527577885335,-0.049893826622549826,-0.20021456124651227,-0.02563527577885335,-0.049893826622549826,-0.20021456124651227
0.18,-2.043646392495849,-2.892823694990454,-10.924910489150982,-1.8137050790104057,-2.879176492686101,-11.143526036086064,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.03165512528887548,-0.0502511095433949,-0.19449121961141425,-0.03165512528887548,-0.0502511095433949,-0.19449121961141425
0.21,-1.9092307210883503,-2.7946324979348818,-10.458825031230495,-1.8710204642571724,-2.8284500958353695,-10.732705433172722,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.03265546747348054,-0.04936576690067635,-0.18732104745554823,-0.03265546747348054,-0.04936576690067635,-0.18732104745554823
0.24,-2.024144823363673,-2.7096840468432806,-10.080647763654019,-1.9628950797210727,-2.7571904664401163,-10.341470831461502,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342589820123293,-0.048122051743978246,-0.18049271550795878,-0.0342589820123293,-0.048122051743978246,-0.18049271550795878
0.27,-2.3106580175346743,-2.649056736390384,-9.784622356030257,-2.1715528424092336,-2.692310228410277,-10.007361746202754,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.03790074698108268,-0.04698967797087991,-0.1746614119093672,-0.03790074698108268,-0.04698967797087991,-0.1746614119093672
0.3,-2.563103031368962,-2.6100030495461897,-9.555749895542329,-2.4064829557850707,-2.6429259210918246,-9.736394635806498,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.042001050971574604,-0.04612775920935618,-0.1699321436683376,-0.042001050971574604,-0.04612775920935618,-0.1699321436683376
0.32999999999999996,-2.7098799042642914,-2.5849783396549055,-9.377747810173458,-2.588521124872603,-2.608157372229673,-9.521206540426675,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.04517821638645421,-0.045520933555571116,-0.16617640289286406,-0.04517821638645421,-0.045520933555571116,-0.16617640289286406
0.36,-2.8038735841010167,-2.566704022943759,-9.236644435454481,-2.717732600409651,-2.5832853626581245,-9.35046927744336,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.04743338206593581,-0.04508683509696005,-0.16319647549796176,-0.04743338206593581,-0.04508683509696005,-0.16319647549796176
0.39,-2.9033491205806405,-2.5499458297150497,-9.121220342230023,-2.829102512512245,-2.5632816428922798,-9.212919916315357,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.04937715371978275,-0.04473770432439979,-0.16079578626226343,-0.04937715371978275,-0.04473770432439979,-0.16079578626226343
0.42,-3.0154691482609857,-2.53159331021901,-9.022444989212456,-2.9409224939614895,-2.544268643288318,-9.098634960053618,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.051328780565591044,-0.04440586488063027,-0.15880113748999836,-0.051328780565591044,-0.04440586488063027,-0.15880113748999836
0.44999999999999996,-3.12009211548488,-2.5102002577921927,-8.933540573971234,-3.0484242668755237,-2.523827611990643,-8.999578328404189,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.053205040454672205,-0.044049101581982636,-0.1570722731217806,-0.053205040454672205,-0.044049101581982636,-0.1570722731217806
