time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality
0.0,0.0,0.0,1000.0,84.0,2.0,15.0,85.35221145348257,19.0,-2.5157817934715475e-17,9.0,2.0,0.0,0.0,0.0,-0.7222147929914944,-7.13853957585605,4243.671980701213,0.2597188600228231,87.37824754723981,1.6251479458370872,1.1116425003060326,89874.56291621955,281.65,-1.7826439091004773,9.86942436359809,0.3586780454497614,319.2,0.17131232378029196,0.84,nominal,13449.15,nan,heading_hold,18.0,-5.0,0.0,-20.05352282957881,-0.0,-23.256492493402337,-2.6999999999999997,0.0,-2.6999999999999997,0.84,0.0,0.0,1.0,0.0,0.0,0.0,-0.047123889803846894,0.0,-0.047123889803846894,-0.047123889803846894,0.0,-0.047123889803846894,0.0,1.0,15.863658976337863,1.058966646731392,-0.6930371942163254,-0.001279898773872129,0.002068087163747687,0.0005281361201269382,15.914062555771283,0.0024887854768139554,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1000.7418586383787,0.0,1.0,87.66706131630349,4205.12851111079,1.0,1.0,1.5022286437970536,17.21259347713176,-0.9087001158528836,-44.77701689197725,1.0,999.8945560890289,0.0,1.0,0.5051689769872049,8.977430989260586,,,
0.03,2.5341750666266845,0.06149453241160598,1000.4427801476453,84.47250222088948,2.049817747053533,14.759338254844302,85.77670691962489,18.994860630286592,0.0625806098799806,9.331007279175314,1.9069286083283399,1.5918500267886655,-11.035278524387659,-3.0567571876345423,-0.1796335364748719,-7.108609057614929,4281.236709253624,0.2608728406142633,87.76603739383036,1.6563148174277897,1.1115941567030745,89869.73605830262,281.6471219290403,-1.7376095109045648,10.04690527549587,0.38086315943698384,324.87,0.17435537163691558,0.84,nominal,13489.813914922517,nan,heading_hold,18.0,-5.0,0.0,-1.000615473727915,-1.3098417298136715,-11.702613608731967,-1.6803692842367488,-0.7859050378882029,-5.3999999999999995,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.02932797665931172,-0.013716630519159924,-0.09424777960769379,-0.02932797665931172,-0.013716630519159924,-0.09424777960769379,0.03,1.0,16.260624050986934,0.9384493018016266,-0.2647824697144378,0.029777496839869723,-0.1910417237957281,-0.05549231635105134,16.289833988591006,0.20115426101103817,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1000.7418586383787,0.0,1.0,87.968860584111,4283.4731383245935,1.0,1.0,1.5022286437970536,17.21259347713176,-0.9087001158528836,-44.77701689197725,1.0,999.8945560890289,0.0,1.0,0.5051689769872049,8.977430989260586,,,
0.06,5.0827551299344975,0.1242942999423158,1000.8788575080915,84.95266877692713,2.0933255843569945,14.535912014874306,86.21270603819707,18.989629969137486,0.17152375461052732,9.824881246113032,1.755043803062303,2.789030743653071,-16.472736125704984,-4.958659810185938,0.5085277656953562,-7.016429214014792,4320.391229700195,0.26206997720124464,88.16834908493101,1.6815435758603188,1.1115465464956096,89864.98247432846,281.64428742619737,-1.6958993749444224,10.211129355173762,0.40139116939672026,330.53999999999996,0.17739841949353916,0.84,nominal,13531.583989196017,nan,heading_hold,18.0,-5.0,0.0,1.1720170346566585,-2.2341750072940765,-12.339366102379888,0.031062507099295564,-1.6548670195317268,-8.099999999999998,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0005421430228068208,-0.028882878173493942,-0.14137166941154067,0.0005421430228068208,-0.028882878173493942,-0.14137166941154067,0.06,1.0,16.42684340500186,0.7570429139314226,0.3124122382269845,0.048332495370258806,-0.28925844217125923,-0.08555513800520756,16.44724595890087,0.3054933028973793,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1001.1287143118697,0.0,1.0,87.30243664986175,4350.689600554686,1.0,1.0,1.14565560663554,16.627758998219033,-0.8328664414665029,-45.01046284446567,1.0,1001.3172857068332,0.0,1.0,0.19500284284630043,9.369764784673755,,,
0.09,7.645858991556053,0.1881844141431466,1001.3089636738692,85.43679538738517,2.1296704733610263,14.336872192589825,86.65752942853656,18.984308016552678,0.30770718846414297,10.234447197049384,1.5813087247990951,3.530862993786019,-13.67599158123875,-5.645565477940249,1.092012802481526,-6.899421041691944,4360.904820403539,0.2633027324024064,88.58264595418892,1.7063010460098218,1.1114995897414865,89860.29418047899,281.6414917361198,-1.6576910351697691,10.361382077277707,0.42017275965971335,336.21,0.18044146735016278,0.84,nominal,13574.25025194119,nan,heading_hold,18.0,-5.0,0.0,0.4144733810411424,-2.743756142155519,-12.42085308187594,0.2611090314644037,-2.308200493106002,-10.692511849125562,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.004557212305747315,-0.04028569840085641,-0.18661953707574824,0.004557212305747315,-0.04028569840085641,-0.18661953707574824,0.09,1.0,16.68611953692761,0.4815037344442744,0.8157691728505527,0.06229315336201924,-0.236089135009402,-0.09505590033453823,16.71298627984521,0.26201935198317194,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1001.1287143118697,0.0,1.0,88.46563931567104,4407.735510312953,1.0,1.0,1.14565560663554,16.627758998219033,-0.8328664414665029,-45.01046284446567,1.0,1001.3172857068332,0.0,1.0,0.19500284284630043,9.369764784673755,,,
0.12,10.223611130645658,0.25294391908023395,1001.733633273639,85.92507130298685,2.158650164569579,14.15565332565985,87.1100463209189,18.978894772532172,0.45356742170219927,10.493157098575152,1.4228936668619958,3.91205589570794,-8.657999891192926,-5.136966797923674,1.5100584503040697,-6.793274196148271,4402.697849496451,0.2645682280270297,89.00795905807614,1.7328323147746958,1.1114532280122933,89855.66534124271,281.63873138372134,-1.6231471239215374,10.497009704672017,0.4371262130840022,341.88,0.18348451520678638,0.84,nominal,13617.73121975925,nan,heading_hold,18.0,-5.0,0.0,-1.204086093937943,-2.951854293063154,-12.012377583958624,-0.6180080437770042,-2.6943927730802932,-11.4844312900254,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.010786275167717976,-0.04702602523219156,-0.20044113873000305,-0.010786275167717976,-0.04702602523219156,-0.20044113873000305,0.12,1.0,16.981016313944927,0.3824173754304533,0.9926804450871559,0.06961550579117436,-0.1474208332631741,-0.0924368208129721,17.014304939360684,0.18741341085573124,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1003.1250983375263,0.0,1.0,89.11524540928508,4500.058205395826,1.0,1.0,1.139378872215127,16.000708888883818,-0.9404493684535733,-45.28095660909732,1.0,1001.7204445572365,0.0,1.0,0.9071221999860154,10.612458973375077,,,
0.15,12.81618531700389,0.31847168022839384,1002.1531704234977,86.41913954527443,2.1842587049386633,13.984571661955142,87.5705824486972,18.973390237075968,0.5995066140367734,10.67229954458162,1.2925496096429134,4.066695210977361,-6.010419107753746,-4.2158537193456285,1.8399245535589717,-6.707229603872979,4445.783982546642,0.2658664135054095,89.44427098799757,1.7602299785329987,1.1114074280520045,89851.0926345807,281.63600439224723,-1.5924147111658904,10.61742213279545,0.45217776659943126,347.55,0.18652756306341,0.84,nominal,13662.06884393563,nan,heading_hold,18.0,-5.0,0.0,-2.035983152119066,-2.968247633329091,-11.462794734130872,-1.4687931087822412,-2.8587056892295717,-11.471449356488684,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.02563527577885335,-0.049893826622549826,-0.20021456124651227,-0.02563527577885335,-0.049893826622549826,-0.20021456124651227,0.15,1.0,17.174880041196925,0.5086315771839447,1.1561239385140392,0.07000868848440729,-0.10904652692137672,-0.07047422258250452,17.221261076704526,0.14750924562728165,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1003.1250983375263,0.0,1.0,89.29443677163474,4518.648516367488,1.0,1.0,1.139378872215127,16.000708888883818,-0.9404493684535733,-45.28095660909732,1.0,1001.7204445572365,0.0,1.0,0.9071221999860154,10.612458973375077,,,
0.18,15.42377297061763,0.3847280261221664,1002.5678118263813,86.9195884537913,2.2085448631257516,13.821380096119887,88.0393268667492,18.967794410184066,0.7417916038625395,10.842966740669905,1.1914828507365014,4.114013470909824,-5.727263431963436,-3.2428777676793263,2.15452912417545,-6.641130066575303,4490.180612383388,0.2671973371741278,89.89159767791601,1.78827564900716,1.1113621639684659,89846.57347380786,281.6333092231285,-1.5656244179711225,10.722095457157224,0.46526193214465283,353.21999999999997,0.18957061092003358,0.84,nominal,13707.293169422337,nan,heading_hold,18.0,-5.0,0.0,-2.043646392495849,-2.892823694990454,-10.924910489150982,-1.8137050790104057,-2.879176492686101,-11.143526036086064,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.03165512528887548,-0.0502511095433949,-0.19449121961141425,-0.03165512528887548,-0.0502511095433949,-0.19449121961141425,0.18,1.0,17.41842882053549,0.47196271446029253,1.4423457466250564,0.07513081034351006,-0.10078455066872291,-0.0541527109116774,17.484415135563143,0.13687468873189285,1.0,0.0,0.5354505256823202,1.4183609496089247,1000.3550402325627,83.88261463530795,2.0393493499509656,15.053550255708195,1.0,1003.0686496949029,0.0,1.0,89.8885640601774,4448.523957787339,1.0,1.0,1.2328461352501172,15.891577326634309,-1.1245115632365097,-45.33771134549675,1.0,1002.9063104674648,0.0,1.0,1.3641261604842716,11.304702159147567,,,
0.21,18.046556946645836,0.4517033069576676,1002.9778332750295,87.4261325342735,2.2325093611833733,13.667381621608268,88.51615710331534,18.962107291856466,0.8800251280289985,11.01718821780569,1.1166160908482778,4.134600024876424,-5.841486657478867,-2.3678573315832008,2.465105186713928,-6.591179295503799,4535.883205286693,0.2685603860911252,90.34973255066579,1.8168249584063392,1.1113174056063355,89842.10484672664,281.6306440837123,-1.5428896868869524,10.810574252802013,0.47632178160025157,358.89,0.1926136587766572,0.84,nominal,13753.407602855968,nan,heading_hold,18.0,-5.0,0.0,-1.9092307210883503,-2.7946324979348818,-10.458825031230495,-1.8710204642571724,-2.8284500958353695,-10.732705433172722,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.03265546747348054,-0.04936576690067635,-0.18732104745554823,-0.03265546747348054,-0.04936576690067635,-0.18732104745554823,0.21,1.0,17.702787862092833,0.5421089728156525,1.590815034844463,0.06867137164962488,-0.1054223952226224,-0.044087462044102285,17.78238658627564,0.13331670191017275,1.0,0.0,17.800225091732134,3.8799301265654615,1002.4424652343936,87.29736847370259,2.331425528248267,13.62791320246248,1.0,1003.0686496949029,0.0,1.0,90.37892634616655,4552.894088545373,1.0,1.0,1.2328461352501172,15.891577326634309,-1.1245115632365097,-45.33771134549675,1.0,1002.9063104674648,0.0,1.0,1.3641261604842716,11.304702159147567,,,
0.24,20.684712038673602,0.519401694629577,1003.3835410450893,87.93850306759221,2.2566129223969797,13.523592335323942,89.00089984546496,18.956328882093167,1.015294431777078,11.174417551365389,1.0638255099263938,4.170326384270584,-5.268826826156282,-1.6398775949530717,2.7504097266219882,-6.552549810427943,4582.8884326953985,0.2699549840944364,90.8184813723317,1.8456656038825314,1.1112731194871368,89837.6834094967,281.6280069832069,-1.5243062994758216,10.882473555826179,0.4853091944782724,364.56,0.19565670663328083,0.84,nominal,13800.411289441068,nan,heading_hold,18.0,-5.0,0.0,-2.024144823363673,-2.7096840468432806,-10.080647763654019,-1.9628950797210727,-2.7571904664401163,-10.341470831461502,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342589820123293,-0.048122051743978246,-0.18049271550795878,-0.0342589820123293,-0.048122051743978246,-0.18049271550795878,0.24,1.0,18.00945991017545,0.5469025268774484,1.853157145665755,0.07413537221190188,-0.09202542476431308,-0.031938617085963156,18.112811489016654,0.12241244821264403,1.0,0.0,17.800225091732134,3.8799301265654615,1002.4424652343936,87.29736847370259,2.331425528248267,13.62791320246248,1.0,1003.9474830511937,0.0,1.0,90.46350427216305,4722.152041973435,1.0,1.0,1.3346399973107976,15.47248404098754,-1.2156633764816402,-45.35584241508809,1.0,1003.4558454427497,0.0,1.0,1.3849492752476862,11.416367831868149,,,
0.27,23.338417134675346,0.5878332605618135,1003.7852233195712,88.45683653339147,2.2810521977412184,13.389409149395249,89.49352717372285,18.950459180894168,1.1491552144480583,11.301398438840113,1.0289240627805265,4.23530400689705,-4.253497364371006,-1.0609291547108226,2.9975480127453586,-6.520582294083492,4631.212009039176,0.27138111343742594,91.29783778999789,1.8746393606805123,1.111229274111816,89833.30601603641,281.6253960484228,-1.5099520304396967,10.937480538323786,0.4921850672904733,370.22999999999996,0.1986997544899044,0.84,nominal,13848.316063263806,nan,heading_hold,18.0,-5.0,0.0,-2.3106580175346743,-2.649056736390384,-9.784622356030257,-2.1715528424092336,-2.692310228410277,-10.007361746202754,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.03790074698108268,-0.04698967797087991,-0.1746614119093672,-0.03790074698108268,-0.04698967797087991,-0.1746614119093672,0.27,1.0,18.26827525284008,0.5525748837631907,2.0149164399489083,0.0717597346797934,-0.07597398944449608,-0.022019020380717045,18.387362724862736,0.10680048619717598,1.0,0.0,17.800225091732134,3.8799301265654615,1002.4424652343936,87.29736847370259,2.331425528248267,13.62791320246248,1.0,1003.9474830511937,0.0,1.0,90.38536014076243,4678.434623339482,1.0,1.0,1.3346399973107976,15.47248404098754,-1.2156633764816402,-45.35584241508809,1.0,1003.4558454427497,0.0,1.0,1.3849492752476862,11.416367831868149,,,
