time_s,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad
0.0,-13.62160000000002,-0.0,0.0,-4.8,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.08377580409572781,0.0,0.0,-0.08377580409572781,0.0,0.0
0.04,2.71442065694904,-0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,3.759038024071299,-0.0,0.0,3.007230419257039,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.05248607218216482,0.0,0.0,0.05248607218216482,0.0,0.0
0.12,-1.4142637236705031,-0.0,0.0,-0.5299648950849943,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.009249632339219466,0.0,0.0,-0.009249632339219466,0.0,0.0
0.16,-4.915791208740608,-0.0,0.0,-4.038625946009485,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.07048732001433626,0.0,0.0,-0.07048732001433626,0.0,0.0
0.2,-2.698262030900808,-0.0,0.0,-2.9663348139225434,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05177230921948171,0.0,0.0,-0.05177230921948171,0.0,0.0
0.24,0.49766741851208623,-0.0,0.0,-0.19513302797483995,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034057138175471596,0.0,0.0,-0.0034057138175471596,0.0,0.0
0.28,-0.004117559596300671,-0.0,0.0,-0.03902660559496801,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006811427635094324,0.0,0.0,-0.0006811427635094324,0.0,0.0
0.32,-2.522403199453911,-0.0,0.0,-2.025727880682122,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.03535562126734987,0.0,0.0,-0.03535562126734987,0.0,0.0
0.36,-3.06874032242593,-0.0,0.0,-2.8601378340771686,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04991882226550586,0.0,0.0,-0.04991882226550586,0.0,0.0
0.4,-1.4906997602649175,-0.0,0.0,-1.7645873750273677,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.03079785963335153,0.0,0.0,-0.03079785963335153,0.0,0.0
0.44,-0.6639493170540365,-0.0,0.0,-0.8840769286487028,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.015430053245838847,0.0,0.0,-0.015430053245838847,0.0,0.0
0.48,-1.6329145463369872,-0.0,0.0,-1.4831470227993302,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.02588579883899972,0.0,0.0,-0.02588579883899972,0.0,0.0
0.52,-2.586206556222801,-0.0,0.0,-2.3655946495381066,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.041287415402001315,0.0,0.0,-0.041287415402001315,0.0,0.0
0.56,-2.193985308318049,-0.0,0.0,-2.22830717656206,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.03889129697682657,0.0,0.0,-0.03889129697682657,0.0,0.0
0.6,-1.4365830099286174,-0.0,0.0,-1.594927843255306,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.027836742196537125,0.0,0.0,-0.027836742196537125,0.0,0.0
0.64,-1.5987515398222798,-0.0,0.0,-1.5979868005088849,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.02789013107228984,0.0,0.0,-0.02789013107228984,0.0,0.0
0.68,-2.2733787276836575,-0.0,0.0,-2.1383003422487032,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.03732038136876148,0.0,0.0,-0.03732038136876148,0.0,0.0
0.72,-2.3653711273072417,-0.0,0.0,-2.319956970295534,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.040490887636249355,0.0,0.0,-0.040490887636249355,0.0,0.0
0.76,-1.9248394738418841,-0.0,0.0,-2.0038629731326143,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.03497400663996679,0.0,0.0,-0.03497400663996679,0.0,0.0
0.8,-1.8210418548782161,-0.0,0.0,-1.8576060785290955,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.03242134227539306,0.0,0.0,-0.03242134227539306,0.0,0.0
0.84,-2.2043882768926055,-0.0,0.0,-2.1350318372199037,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.037263335194390936,0.0,0.0,-0.037263335194390936,0.0,0.0
0.88,-2.414723681581904,-0.0,0.0,-2.358785312709504,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04116857005446489,0.0,0.0,-0.04116857005446489,0.0,0.0
0.92,-2.2042210808035656,-0.0,0.0,-2.2351339271847532,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.039010446252405136,0.0,0.0,-0.039010446252405136,0.0,0.0
0.96,-2.061344064856656,-0.0,0.0,-2.0961020373222756,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.03658388200903478,0.0,0.0,-0.03658388200903478,0.0,0.0
1.0,-2.269187158625354,-0.0,0.0,-2.234570134364738,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.03900060621139677,0.0,0.0,-0.03900060621139677,0.0,0.0
1.04,-2.4706279080704885,-0.0,0.0,-2.4234163533293382,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0422965945122712,0.0,0.0,-0.0422965945122712,0.0,0.0
1.08,-2.3819320429884066,-0.0,0.0,-2.390228905056593,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.041717364269576486,0.0,0.0,-0.041717364269576486,0.0,0.0
1.12,-2.2648906905760273,-0.0,0.0,-2.2899583334721405,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.03996731265257113,0.0,0.0,-0.03996731265257113,0.0,0.0
1.16,-2.3869520054948694,-0.0,0.0,-2.367553271090324,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04132159979688803,0.0,0.0,-0.04132159979688803,0.0,0.0
1.2,-2.552903801870836,-0.0,0.0,-2.515833695714734,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04390958142283926,0.0,0.0,-0.04390958142283926,0.0,0.0
1.24,-2.5184735303543375,-0.0,0.0,-2.517945563426417,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04394644046777469,0.0,0.0,-0.04394644046777469,0.0,0.0
1.28,-2.4342879317623023,-0.0,0.0,-2.451019458095125,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.042778359574207114,0.0,0.0,-0.042778359574207114,0.0,0.0
1.32,-2.520068871931754,-0.0,0.0,-2.5062589891644285,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04374247126862416,0.0,0.0,-0.04374247126862416,0.0,0.0
1.36,-2.653549063818192,-0.0,0.0,-2.6240910488874394,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0457990286751973,0.0,0.0,-0.0457990286751973,0.0,0.0
1.4000000000000001,-2.638447357085701,-0.0,0.0,-2.6355760954460488,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04599948055238988,0.0,0.0,-0.04599948055238988,0.0,0.0
1.44,-2.5805553151995624,-0.0,0.0,-2.591559471248859,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04523124553453592,0.0,0.0,-0.04523124553453592,0.0,0.0
1.48,-2.654691736582912,-0.0,0.0,-2.6420652835161014,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.046112738249993436,0.0,0.0,-0.046112738249993436,0.0,0.0
1.52,-2.762904026491347,-0.0,0.0,-2.738736277896298,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0477999653931048,0.0,0.0,-0.0477999653931048,0.0,0.0
1.56,-2.7500168442207666,-0.0,0.0,-2.7477607309558727,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.047957471812186056,0.0,0.0,-0.047957471812186056,0.0,0.0
1.6,-2.7124949622394747,-0.0,0.0,-2.719548115982754,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.047465068790307686,0.0,0.0,-0.047465068790307686,0.0,0.0
1.6400000000000001,-2.787057218442962,-0.0,0.0,-2.77355539795092,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04840767368070514,0.0,0.0,-0.04840767368070514,0.0,0.0
1.68,-2.8740971378107902,-0.0,0.0,-2.8539887898388163,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.049811501197695826,0.0,0.0,-0.049811501197695826,0.0,0.0
1.72,-2.855138515913306,-0.0,0.0,-2.854908570698408,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.04982755440209253,0.0,0.0,-0.04982755440209253,0.0,0.0
1.76,-2.836231238554654,-0.0,0.0,-2.8399667049834045,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.049566769648974864,0.0,0.0,-0.049566769648974864,0.0,0.0
1.8,-2.9167291020371606,-0.0,0.0,-2.9013766226264095,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05063857490522385,0.0,0.0,-0.05063857490522385,0.0,0.0
1.84,-2.982091591417922,-0.0,0.0,-2.9659485976596196,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05176556847406894,0.0,0.0,-0.05176556847406894,0.0,0.0
1.8800000000000001,-2.9541637865512755,-0.0,0.0,-2.956520748772944,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.051601021469615975,0.0,0.0,-0.051601021469615975,0.0,0.0
1.92,-2.9566915202895445,-0.0,0.0,-2.9566573659862248,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05160340588980262,0.0,0.0,-0.05160340588980262,0.0,0.0
1.96,-3.04342670688823,-0.0,0.0,-3.0260728387078286,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05281493444062292,0.0,0.0,-0.05281493444062292,0.0,0.0
2.0,-3.082379889323808,-0.0,0.0,-3.0711184792006123,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.053601129180891674,0.0,0.0,-0.053601129180891674,0.0,0.0
2.04,-3.0483633842634474,-0.0,0.0,-3.0529144032508806,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05328340811828574,0.0,0.0,-0.05328340811828574,0.0,0.0
2.08,-3.078512310675629,-0.0,0.0,-3.0733927291906795,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0536408223312318,0.0,0.0,-0.0536408223312318,0.0,0.0
2.12,-3.1648135663237356,-0.0,0.0,-3.1465293988971244,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05491729802155285,0.0,0.0,-0.05491729802155285,0.0,0.0
2.16,-3.1708364024026863,-0.0,0.0,-3.165975001701574,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05525668781552554,0.0,0.0,-0.05525668781552554,0.0,0.0
2.2,-3.1420921563701008,-0.0,0.0,-3.146868725436395,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.054923220386902526,0.0,0.0,-0.054923220386902526,0.0,0.0
2.24,-3.2051745303001593,-0.0,0.0,-3.1935133693274063,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05573732300122093,0.0,0.0,-0.05573732300122093,0.0,0.0
2.2800000000000002,-3.274490505434855,-0.0,0.0,-3.258295078213365,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05686797711634938,0.0,0.0,-0.05686797711634938,0.0,0.0
2.32,-3.2459867023841076,-0.0,0.0,-3.248448377549959,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.056696119769314636,0.0,0.0,-0.056696119769314636,0.0,0.0
2.36,-3.244281400528577,-0.0,0.0,-3.2451147959328535,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05663793779421218,0.0,0.0,-0.05663793779421218,0.0,0.0
2.4,-3.3350559903208037,-0.0,0.0,-3.3170677514432136,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05789375377440897,0.0,0.0,-0.05789375377440897,0.0,0.0
2.44,-3.361859521292619,-0.0,0.0,-3.352901167322738,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05851916486374308,0.0,0.0,-0.05851916486374308,0.0,0.0
2.48,-3.314713273826062,-0.0,0.0,-3.322350852525397,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.057985961283008744,0.0,0.0,-0.057985961283008744,0.0,0.0
2.52,-3.365954441087524,-0.0,0.0,-3.357233723375099,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05859478223188399,0.0,0.0,-0.05859478223188399,0.0,0.0
2.56,-3.4545330259380322,-0.0,0.0,-3.4350731654254454,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.059953336783577865,0.0,0.0,-0.059953336783577865,0.0,0.0
2.6,-3.41889431983323,-0.0,0.0,-3.4221300889516733,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.05972743748377312,0.0,0.0,-0.05972743748377312,0.0,0.0
2.64,-3.398706578119168,-0.0,0.0,-3.403391280285669,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0594003835746501,0.0,0.0,-0.0594003835746501,0.0,0.0
2.68,-3.5075988011216905,-0.0,0.0,-3.4867572969544858,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.06085539504979343,0.0,0.0,-0.06085539504979343,0.0,0.0
2.72,-3.53527379143585,-0.0,0.0,-3.5255704925395768,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0615328131059738,0.0,0.0,-0.0615328131059738,0.0,0.0
2.7600000000000002,-3.4591710055820593,-0.0,0.0,-3.4724509029735624,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.06060570137073882,0.0,0.0,-0.06060570137073882,0.0,0.0
2.8000000000000003,-3.528275750596247,-0.0,0.0,-3.51711078107171,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.0613851632870908,0.0,0.0,-0.0613851632870908,0.0,0.0
2.84,-3.6359109775342975,-0.0,0.0,-3.6121509382417796,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.06304392695132141,0.0,0.0,-0.06304392695132141,0.0,0.0
2.88,-3.5556962183292184,-0.0,0.0,-3.566987162311731,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,-0.06225567035870909,0.0,0.0,-0.06225567035870909,0.0,0.0
