time_s,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad
0.0,-4.446966666666616,-0.0,-15.206289649367049,-2.66817999999997,0.0,-2.6999999999999997,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.04656852603586177,0.0,-0.047123889803846894,-0.04656852603586177,0.0,-0.047123889803846894
0.03,2.0844019119631545,-1.5641008147960367,-8.595707542266007,0.03182000000003022,-0.9384604888776221,-5.3999999999999995,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0005553637679851231,-0.01637922543079013,-0.09424777960769379,0.0005553637679851231,-0.01637922543079013,-0.09424777960769379
0.06,-0.10838432777095766,-2.5832609383839658,-9.30320785931437,-0.052302596662562505,-1.9253407585814282,-7.741924715588621,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009128525191043134,-0.03360353546009119,-0.135122076728547,-0.0009128525191043134,-0.03360353546009119,-0.135122076728547
0.09,-2.274527930868466,-3.0300433281715877,-9.436499455789424,-1.3856377971861045,-2.588162300335524,-8.758669559709102,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.024183941800978943,-0.04517195371684524,-0.1528676219111259,-0.024183941800978943,-0.04517195371684524,-0.1528676219111259
0.12,-2.2857959061107307,-3.071478096842119,-9.289356662888299,-1.9257326625408802,-2.878151778239481,-9.07708182161662,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.03361037547453523,-0.050233224902408634,-0.1584249642601346,-0.03361037547453523,-0.050233224902408634,-0.1584249642601346
0.15,-1.4387548358999758,-2.9120794802339236,-9.01333344052376,-1.6335459665563374,-2.898508399436147,-9.038832792960903,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.028510755599081266,-0.050588514966871716,-0.1577573927744027,-0.028510755599081266,-0.050588514966871716,-0.1577573927744027
0.18,-1.1515443868561188,-2.703112550656488,-8.68998862309747,-1.3443450187362065,-2.7812708901683516,-8.829526291042844,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.02346324685973166,-0.04854233442331132,-0.15410430517010074,-0.02346324685973166,-0.04854233442331132,-0.15410430517010074
0.21,-1.4335012214518041,-2.520840249707906,-8.358954111628428,-1.397838740365565,-2.625012505892084,-8.547182983394194,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.024396888431309275,-0.04581511113384392,-0.1491764848306605,-0.024396888431309275,-0.04581511113384392,-0.1491764848306605
0.24,-1.6908945893965248,-2.3843350034429904,-8.033245872338938,-1.5736722497841409,-2.480606004422628,-8.23882071676104,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.027465762105999884,-0.04329474222191588,-0.14379454798899932,-0.027465762105999884,-0.04329474222191588,-0.14379454798899932
0.27,-1.701622734188484,-2.283643745701319,-7.714167186621056,-1.6504425404267469,-2.3624286491898423,-7.92402859867705,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.02880565644542635,-0.04123215827180482,-0.1383003890691069,-0.02880565644542635,-0.04123215827180482,-0.1383003890691069
