time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,1.0,16.814264143952194,1.260259370746404,0.8286042313486423,-0.0022319153689813204,-0.0039015279865140195,-0.0023592222364778276,16.881774709915998,0.005076346757751937,1.0,0.0,-0.7785414889531648,-0.7699426628116489,749.9804323702161,85.939862586848,-0.9434081530172551,9.010771297708263,1.0,749.8555948662996,0.0,1.0,88.65372415368083,4500.244903264226,1.0,1.0,-0.5737756339655435,18.843798690923343,0.06929347722390143,-44.11802215367801,1.0,750.0321065721554,1.0,-0.007201073526722839,0.11474759090463373,0.375,1.0,-0.5314886576265022,6.887296576438832
0.03,0.03,1.0,17.06953998725059,1.042774012181997,1.4699931782750275,0.03213668082888313,-0.1159918628715981,-0.05889908910149277,17.164424049789847,0.13399992986605144,1.0,0.0,-0.7785414889531648,-0.7699426628116489,749.9804323702161,85.939862586848,-0.9434081530172551,9.010771297708263,1.0,749.8555948662996,0.0,1.0,89.18436850417089,4518.82341569258,1.0,1.0,-0.5737756339655435,18.843798690923343,0.06929347722390143,-44.11802215367801,1.0,750.0321065721554,1.0,-0.007201073526722839,0.11474759090463373,0.375,1.0,-0.5314886576265022,6.887296576438832
0.06,0.06,1.0,17.414514023811613,0.7765352234897894,1.6527133875059923,0.048147159834258775,-0.0045007807113480805,-0.09611908989955363,17.509990496287916,0.10759779491344502,1.0,0.0,-0.7785414889531648,-0.7699426628116489,749.9804323702161,85.939862586848,-0.9434081530172551,9.010771297708263,1.0,751.3524582582847,0.0,1.0,90.36330874981866,4667.2169070234595,1.0,1.0,-1.9250265679986285,18.58774956668884,-0.0026429666763115485,-44.18863542104368,1.0,749.9279462233048,1.0,-0.0017455409200198674,0.10652064095734959,0.37456514126891227,1.0,0.2120171273103045,7.276761013267143
0.09,0.09,1.0,17.686526707783027,0.8210355155750776,1.413246262941204,0.07399098711411019,0.09849094532712407,-0.11599433097383713,17.761885916272384,0.16920347899384053,1.0,0.0,-0.7785414889531648,-0.7699426628116489,749.9804323702161,85.939862586848,-0.9434081530172551,9.010771297708263,1.0,751.3524582582847,0.0,1.0,90.15833614869628,4688.161863269871,1.0,1.0,-1.9250265679986285,18.58774956668884,-0.0026429666763115485,-44.18863542104368,1.0,749.9279462233048,1.0,-0.0017455409200198674,0.10652064095734959,0.37456514126891227,1.0,0.2120171273103045,7.276761013267143
0.12,0.12,1.0,17.95071858518559,0.6712358248492151,1.2922055621647732,0.06857418605174283,0.09941466500977968,-0.11330705180085521,18.00968213134196,0.16560248367541908,1.0,0.0,-0.7785414889531648,-0.7699426628116489,749.9804323702161,85.939862586848,-0.9434081530172551,9.010771297708263,1.0,752.092205277,0.0,1.0,90.78998199244496,4701.933278297039,1.0,1.0,-1.3586891894909838,18.774588110460506,-0.11167840860253428,-44.208327378553825,1.0,750.7851260233888,1.0,-0.008217499827641122,0.13769888093893198,0.3741488527810395,1.0,0.9532823601812825,7.158246413801593
0.15,0.15,1.0,18.308795611911687,0.5453685705951047,1.4285331161649493,0.06637107544272551,0.052326262911005166,-0.12411644671182813,18.372537399622555,0.15016008054747995,1.0,0.0,-0.7785414889531648,-0.7699426628116489,749.9804323702161,85.939862586848,-0.9434081530172551,9.010771297708263,1.0,752.092205277,0.0,1.0,91.62841780064123,4787.056016760341,1.0,1.0,-1.3586891894909838,18.774588110460506,-0.11167840860253428,-44.208327378553825,1.0,750.7851260233888,1.0,-0.008217499827641122,0.13769888093893198,0.3741488527810395,1.0,0.9532823601812825,7.158246413801593
0.18,0.18,1.0,18.635012794973473,0.7460185485770611,1.4590473263905488,0.0692174839142881,0.02765360050358312,-0.11722762366684683,18.70692557969624,0.1389175923013798,1.0,0.0,-0.7785414889531648,-0.7699426628116489,749.9804323702161,85.939862586848,-0.9434081530172551,9.010771297708263,1.0,751.1467886899404,0.0,1.0,92.37052694106096,4720.738867785776,1.0,1.0,-2.53539941287477,19.00363572872349,-0.14455867183239315,-44.10547696482573,1.0,751.4265284949997,1.0,-0.0028508367461524448,0.13284945238806264,0.3737514808900535,1.0,0.6566427443683691,6.79115352845316
0.21,0.21,1.0,18.990896948830393,0.7026822723390597,1.5328855716513774,0.06821061211248393,0.04722595607215663,-0.10857317006781096,19.065614793987947,0.13664227673111573,1.0,0.0,19.547356705088855,0.5170704268853823,749.4535979156396,89.71428102991936,-1.1980297088929197,7.818313581318107,1.0,751.1467886899404,0.0,1.0,93.06562279487424,4827.647483431277,1.0,1.0,-2.53539941287477,19.00363572872349,-0.14455867183239315,-44.10547696482573,1.0,751.4265284949997,1.0,-0.0028508367461524448,0.13284945238806264,0.3737514808900535,1.0,0.6566427443683691,6.79115352845316
0.24,0.24,1.0,19.269666179974838,0.49788982127075687,1.7032766660216427,0.075602275056237,0.05769712343546796,-0.11968986484052359,19.351203589513624,0.15287356145504477,1.0,0.0,19.547356705088855,0.5170704268853823,749.4535979156396,89.71428102991936,-1.1980297088929197,7.818313581318107,1.0,752.0398899443375,0.0,1.0,93.32451846732975,4988.115664448419,1.0,1.0,-1.1672663794846068,19.141778313373155,-0.13427609941743535,-44.10099823270477,1.0,752.0303747316599,1.0,0.004766701584895119,0.1077339200851813,0.3733724973023078,1.0,0.9514530296653076,6.388637532346549
0.27,0.27,1.0,19.613473544899676,0.7231815449686176,1.7022440992333447,0.0720681799704529,0.050143084345488094,-0.10767559355128739,19.70048149200515,0.13893230336589962,1.0,0.0,19.547356705088855,0.5170704268853823,749.4535979156396,89.71428102991936,-1.1980297088929197,7.818313581318107,1.0,752.0398899443375,0.0,1.0,93.44064720330644,4954.14745060902,1.0,1.0,-1.1672663794846068,19.141778313373155,-0.13427609941743535,-44.10099823270477,1.0,752.0303747316599,1.0,0.004766701584895119,0.1077339200851813,0.3733724973023078,1.0,0.9514530296653076,6.388637532346549
