time_s,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad
0.0,-20.05352282957881,7.04999999999992,-0.766821237947644,-2.6999999999999997,2.6999999999999997,-0.4600927427685864,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.047123889803846894,-0.008030133225843164,-0.047123889803846894,0.047123889803846894,-0.008030133225843164
0.03,-1.3248711636879251,-1.4960134737744915,-6.18632687112134,-1.8749226982127554,0.18239191573530517,-3.1600927427685863,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.03272357430418858,0.0031833394586011296,-0.05515402302969006,-0.03272357430418858,0.0031833394586011296,-0.05515402302969006
0.06,0.7996242721760481,-2.728301059441563,-7.322158473424385,-0.27019451597947336,-1.5640238693708155,-5.657332181162066,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.004715783924674241,-0.027297366100302423,-0.09873907344031037,-0.004715783924674241,-0.027297366100302423,-0.09873907344031037
0.09,0.5958213705383226,-3.121640302909364,-7.8805339991034815,0.24941501593120421,-2.4985937294939444,-6.991253271926915,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.004353113231913624,-0.04360868724935388,-0.12202038843595112,0.004353113231913624,-0.04360868724935388,-0.12202038843595112
0.12,-1.052300911210333,-3.0652114378901745,-8.059960705926136,-0.531614540353718,-2.838564354531682,-7.632477732326446,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927842408064864,-0.049542294016325476,-0.13321186651424693,-0.00927842408064864,-0.049542294016325476,-0.13321186651424693
0.15,-1.9931833714889835,-2.819932157937107,-7.559669417893769,-1.4085558390348771,-2.8273850365749373,-7.588792743666841,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.024583937089349875,-0.04934717810985295,-0.13244941962844042,-0.024583937089349875,-0.04934717810985295,-0.13244941962844042
0.18,-2.177631370449205,-2.4339723668550843,-7.357645753542058,-1.870001157883474,-2.591337434743026,-7.450104549591971,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.03263767722117294,-0.0452273702664495,-0.13002885400818906,-0.03263767722117294,-0.0452273702664495,-0.13002885400818906
0.21,-1.9903639533116,-2.14269230442686,-6.698323352192435,-1.9422188351403498,-2.322150356553326,-6.999035831152249,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.033898113467448046,-0.04052916944821582,-0.12215621971866465,-0.033898113467448046,-0.04052916944821582,-0.12215621971866465
0.24,-2.2835622126894437,-1.852419908396495,-6.141181528419385,-2.147024861669806,-2.0403120876592276,-6.484323249512531,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.037472652958313916,-0.03561016369789268,-0.11317279046761146,-0.037472652958313916,-0.03561016369789268,-0.11317279046761146
0.27,-2.697879191300416,-1.6149486479678972,-5.733827425476481,-2.4775374594481723,-1.7850940238444293,-6.034025755090901,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.043241186008866096,-0.031155768173759455,-0.10531361657647322,-0.043241186008866096,-0.031155768173759455,-0.10531361657647322
0.3,-2.852622053544718,-1.4542720555348971,-5.181054373899922,-2.7025882159060997,-1.58660084285871,-5.522242926376314,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.047169062693160825,-0.02769140862280165,-0.09638132116023349,-0.047169062693160825,-0.02769140862280165,-0.09638132116023349
0.32999999999999996,-3.1238875354488025,-1.2962041581299462,-4.77878233251614,-2.9553678076317214,-1.4123628320214516,-5.0761665700602085,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.051580898850619936,-0.024650381651565932,-0.08859582002721805,-0.051580898850619936,-0.024650381651565932,-0.08859582002721805
0.36,-3.3202186777301206,-1.1702728511488831,-4.554781247884473,-3.1742783296907606,-1.2671088434979105,-4.7633353767547675,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.05540160822780985,-0.022115221300176083,-0.08313588570109526,-0.05540160822780985,-0.022115221300176083,-0.08313588570109526
0.39,-3.4448345342233635,-1.1002088671657997,-4.0913687629383215,-3.3366120524103224,-1.1669688576986441,-4.3601554084649,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.058234866176285725,-0.020367448835078517,-0.07609906777635074,-0.058234866176285725,-0.020367448835078517,-0.07609906777635074
0.42,-3.5371356784256682,-0.984763142368878,-3.5136034623606522,-3.4569262280195296,-1.0576454285007844,-3.8522242408023515,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.06033474467748905,-0.01845939504600496,-0.06723399652713992,-0.06033474467748905,-0.01845939504600496,-0.06723399652713992
0.44999999999999996,-3.6830967003707658,-0.8073235845380821,-3.410858023146057,-3.592628511430271,-0.9074523221231628,-3.5874045102085743,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.06270319632548096,-0.015838030825917372,-0.06261202030403415,-0.06270319632548096,-0.015838030825917372,-0.06261202030403415
0.48,-3.664866943889392,-0.729645844889917,-2.975934062997444,-3.635971570905744,-0.8007684357832153,-3.2205222418818957,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.0634596754212157,-0.013976045750461885,-0.056208716754548305,-0.0634596754212157,-0.013976045750461885,-0.056208716754548305
0.51,-3.7681652034599113,-0.6148904052869089,-2.6565490835196255,-3.715287750438244,-0.6892416174854314,-2.8821383468645334,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.06484400390416076,-0.012029535566892098,-0.0503028036507725,-0.06484400390416076,-0.012029535566892098,-0.0503028036507725
0.54,-4.595800890850474,-0.5051998004763958,-2.357763557756625,-4.243595634685582,-0.57881652728001,-2.5675134733997886,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.07406471594852189,-0.010102254165995753,-0.04481156370014216,-0.07406471594852189,-0.010102254165995753,-0.04481156370014216
0.57,-3.265449831095663,-0.3948245264743149,-1.986066567702657,-3.6567081525316305,-0.468421326796593,-2.2186453299815097,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.06382159704619597,-0.00817549443916089,-0.038722665942173405,-0.06382159704619597,-0.00817549443916089,-0.038722665942173405
0.6,-4.328083255279328,-0.294657916038859,-1.3888359121063354,-4.05953321418025,-0.36416328034195256,-1.720759679256405,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.0708522206815135,-0.006355848256830214,-0.03003292203858584,-0.0708522206815135,-0.006355848256830214,-0.03003292203858584
0.63,-4.779084076313984,-0.09544792071819287,-0.8084522729443789,-4.4912637314604895,-0.20293406456769678,-1.1733752354691893,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.07838733968939197,-0.0035418675911610717,-0.020479261220301106,-0.07838733968939197,-0.0035418675911610717,-0.020479261220301106
0.6599999999999999,-4.633798379359189,0.1381809634138741,-0.17338421899533923,-4.576784520199709,0.0017349522212457614,-0.5733806255848793,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.07987995903179385,3.028062862552765e-05,-0.010007379783600981,-0.07987995903179385,3.028062862552765e-05,-0.010007379783600981
0.69,-4.477458506168296,0.3764273533348508,0.3379211031062264,-4.5171889117808615,0.22655039288940879,-0.0265995883702158,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.07883981944515571,0.003954050277606933,-0.0004642503967354581,-0.07883981944515571,0.003954050277606933,-0.0004642503967354581
0.72,-4.338641227760368,0.5637216475558567,0.5535162567478703,-4.410060301368566,0.4288531456892775,0.32146991870063585,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.07697007247037486,0.00748489939981282,0.005610708527444587,-0.07697007247037486,0.00748489939981282,0.005610708527444587
0.75,-4.617203792119861,0.6279404184122566,0.9377411890047226,-4.534346395819343,0.548305509323065,0.6912326808830879,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.07913927403298558,0.009569736444511949,0.012064286178797148,-0.07913927403298558,0.009569736444511949,0.012064286178797148
0.78,-4.636499209668137,0.7171941022326822,1.7486176612792628,-4.595638084128619,0.6496386650688353,1.3256636691207928,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.08020901579808856,0.011338333653711851,0.023137195800226516,-0.08020901579808856,0.011338333653711851,0.023137195800226516
0.8099999999999999,-4.71581003562792,0.9617650964863927,2.147258192333732,-4.667741255028199,0.8369145239193698,1.8186203830485563,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.0814674535314144,0.01460691400015384,0.03174091352807778,-0.0814674535314144,0.01460691400015384,0.03174091352807778
0.84,-4.773201442604643,1.1394309164656553,2.408839685654192,-4.731017367574066,1.0184243594471412,2.1727519646119378,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.08257183003320226,0.01777485825486683,0.03792167561165363,-0.08257183003320226,0.01777485825486683,0.03792167561165363
0.87,-4.881707894144978,1.2314012347578371,2.7328030467562,-4.8214316835166136,1.1462104846335588,2.5087826138984948,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.08414985753733811,0.02000514687773547,0.04378651682931839,-0.08414985753733811,0.02000514687773547,0.04378651682931839
0.8999999999999999,-4.933373842388717,1.314688944599776,3.3206142472093654,-4.8885969788398755,1.247297560613289,2.995881593885017,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.08532211308380339,0.021769449184795436,0.052287997813189165,-0.08532211308380339,0.021769449184795436,0.052287997813189165
0.9299999999999999,-4.741283325064147,1.499711632713582,3.8589511371310294,-4.800208786574438,1.3987460038734647,3.5137233198326245,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.08377944810888573,0.024412723166705317,0.06132604093518507,-0.08377944810888573,0.024412723166705317,0.06132604093518507
0.96,-4.883746276061956,1.6962019104186585,4.574145393804161,-4.850331280266949,1.577219547800581,4.149976564215547,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.08465425065313012,0.027527674135936226,0.07243075492616317,-0.08465425065313012,0.027527674135936226,0.07243075492616317
0.99,-5.107863763582241,1.951931019710263,5.149751498759439,-5.004850770256124,1.80204643094639,4.749841524941882,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.08735112451194364,0.03145164349382714,0.0829003735581842,-0.08735112451194364,0.03145164349382714,0.0829003735581842
1.02,-4.988448715856439,2.1816770766381244,5.818316119290273,-4.995009537616313,2.0298248183614307,5.390926281550916,0.84,0.0,0.0,0.0,0.0,0.0,0.0,-0.08717936259992422,0.03542712631910282,0.09408941334535834,-0.08717936259992422,0.03542712631910282,0.09408941334535834
