time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,0.0,20.0,86.0,0.0,6.0,86.20904824900923,18.0,0.0,5.000000000000001,0.0,0.0,0.0,0.0,1.0090869015702202,0.0,4543.366193665201,0.2533941375411892,86.20904824900923,1.7400872986971718,1.2226496753673843,101084.96761777384,288.02,0.0,0.0,0.0,326.8,0.17539118863220368,0.86,nominal,3912.133,nan,pitch_program,12.000000000000002,0.0,0.0,-20.05352282957881,-0.0,0.0,-2.6999999999999997,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.0,-0.047123889803846894,0.0,0.0,0.0,1.0,17.08237503538411,0.01421251978619979,0.4606039154704186,0.000988985189910357,-0.0019892199963123243,0.0018790631541648138,17.08858960863007,0.0029096333509448656,1.0,0.0,0.11140188189044599,-0.7015888405932479,21.088827502213036,85.93905660319169,-0.1992551608878452,5.726199720431493,1.0,21.63744828955775,0.0,1.0,86.04135887015845,4540.488943892901,1.0,1.0,-0.3872112908568312,20.285917184876087,-0.05810378146905089,-43.53294942148529,1.0,19.6652227091265,1.0,0.011325112515340333,4.3119036874876056,0.95,1.0,0.14162985211495935,4.920871775750005
0.03,2.5952546510678514,0.0,20.1729526389325,86.50848836892838,0.0,5.765087964416636,86.70037369650997,17.994738264341034,0.0,5.234794727757629,0.0,0.0,-7.826501877873444,0.0,1.4221340050852367,0.0,4595.22483836377,0.2548387870971885,86.70037369650997,1.7692997351253215,1.2226293655258118,101082.89391600437,288.01887580784694,0.0,0.0,0.0,332.605,0.1785066900092231,0.86,nominal,3956.306485553827,nan,pitch_program,11.987142857142857,0.0,0.0,-0.9410505850896078,-0.0,0.0,-1.6446303510537645,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.028704214604118386,0.0,0.0,-0.028704214604118386,0.0,0.0,0.03,1.0,17.30101891336794,0.09142314907086134,0.9155581789700715,0.0038147050867697574,-0.13711181919315737,-0.0012129072573747257,17.32546854812245,0.13717023759318603,1.0,0.0,0.11140188189044599,-0.7015888405932479,21.088827502213036,85.93905660319169,-0.1992551608878452,5.726199720431493,1.0,21.63744828955775,0.0,1.0,86.94125958655195,4541.168831358772,1.0,1.0,-0.3872112908568312,20.285917184876087,-0.05810378146905089,-43.53294942148529,1.0,19.6652227091265,1.0,0.011325112515340333,4.3119036874876056,0.95,1.0,0.14162985211495935,4.920871775750005
0.06,5.205959611724756,0.0,20.339346846807565,87.02349868856348,0.0,5.546473595835538,87.20007278292668,17.98938306364076,0.0,5.516137720200073,0.0,0.0,-9.378118591582167,0.0,1.8693035772679327,0.0,4648.272509494541,0.2563080360461775,87.20007278292668,1.7992477268480958,1.2226098260849052,101080.89888232159,288.01779424549574,0.0,0.0,0.0,338.40999999999997,0.18162219138624247,0.86,nominal,4001.387202429101,nan,pitch_program,11.974285714285715,0.0,0.0,-0.2371095210404902,-0.0,0.0,-0.8001178530458001,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.01396469093963735,0.0,0.0,-0.01396469093963735,0.0,0.0,0.06,1.0,17.63095389090444,0.02059212434932021,1.4173067836167923,-0.0011672849717643367,-0.16319011589917243,0.0016964472024277798,17.68784095523447,0.1632031078579733,1.0,0.0,0.11140188189044599,-0.7015888405932479,21.088827502213036,85.93905660319169,-0.1992551608878452,5.726199720431493,1.0,19.96219039828339,0.0,1.0,87.38461639073303,4642.173854953641,1.0,1.0,0.19143410935638505,19.87243569772928,0.02235370497587244,-43.65872030181343,1.0,19.956802097512114,1.0,0.005241926403184264,4.284102084046184,0.9491516328829811,1.0,-0.3560639179437177,5.328455549211613
0.09,7.832298738915467,0.0,20.4996992732729,87.54463757302369,0.0,5.345080882177758,87.70765905796992,17.983934397899173,0.0,5.692279161692285,0.0,0.0,-5.871386007280908,0.0,2.198394340649243,0.0,4702.47220162928,0.25780045587266015,87.70765905796992,1.8293937324522545,1.2225909963480475,101078.97631857259,288.0167519547237,0.0,0.0,0.0,344.215,0.18473769276326188,0.86,nominal,4047.3501045927887,nan,pitch_program,11.961428571428572,0.0,0.0,-1.3623846531330042,-0.0,0.0,-1.1374779330981224,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.01985273510134202,0.0,0.0,-0.01985273510134202,0.0,0.0,0.09,1.0,17.852601975546342,0.056759778920092034,1.6888353772963287,-0.0012990572057890886,-0.1040151294787618,0.0023904089092338762,17.932394817798095,0.1040507028561597,1.0,0.0,0.11140188189044599,-0.7015888405932479,21.088827502213036,85.93905660319169,-0.1992551608878452,5.726199720431493,1.0,19.96219039828339,0.0,1.0,87.46483143616668,4759.0220128374385,1.0,1.0,0.19143410935638505,19.87243569772928,0.02235370497587244,-43.65872030181343,1.0,19.956802097512114,1.0,0.005241926403184264,4.284102084046184,0.9491516328829811,1.0,-0.3560639179437177,5.328455549211613
0.12,10.474487831157443,0.0,20.654304478425516,88.07296974139918,0.0,5.153506838420599,88.22361719972189,17.978392267116273,0.0,5.782706032545111,0.0,0.0,-3.0142296540967823,0.0,2.4339159659036067,0.0,4757.890781980446,0.2593174718831616,88.22361719972189,1.8596568060250882,1.222572841701387,101077.1226898277,288.0157470208902,0.0,0.0,0.0,350.02,0.1878531941402813,0.86,nominal,4094.252850914883,nan,pitch_program,11.948571428571428,0.0,0.0,-2.3082488486728168,-0.0,0.0,-1.839940482442939,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03211301945936221,0.0,0.0,-0.03211301945936221,0.0,0.0,0.12,1.0,18.204482574042263,-0.04683370455903968,1.7803980371561343,0.0008338834782699445,-0.054067831370131936,0.001405286998677105,18.29139678524307,0.0540925187273897,1.0,0.0,0.11140188189044599,-0.7015888405932479,21.088827502213036,85.93905660319169,-0.1992551608878452,5.726199720431493,1.0,20.47297489806428,0.0,1.0,88.52631681682173,4772.319886300808,1.0,1.0,-0.2805873157507246,19.71275183039799,0.052281592078596305,-43.84740850804786,1.0,20.795797370437363,1.0,-0.0006856874808727849,4.257919466340858,0.9483642388039362,1.0,0.34463731505732303,5.84463737010482
0.15,13.13276517316584,0.0,20.803334100112462,88.60924473361325,0.0,4.9676540562315505,88.74838499422827,17.972756671292064,0.0,5.861129007107175,0.0,0.0,-2.6140995601835373,0.0,2.6523444101715286,0.0,4814.59155094085,0.26086037121201017,88.74838499422827,1.8904527507189457,1.222555341967537,101075.33593522107,288.0147783283492,0.0,0.0,0.0,355.825,0.1909686955173007,0.86,nominal,4142.148935894748,nan,pitch_program,11.935714285714285,0.0,0.0,-2.4008222125663274,-0.0,0.0,-2.176469520516972,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03798655920232344,0.0,0.0,-0.03798655920232344,0.0,0.0,0.15,1.0,18.430248258442674,-0.06569288295801168,1.9656912318078692,0.0003569088105535444,-0.04569385751758055,-0.00010933390041589887,18.534894346650773,0.04569538218067318,1.0,0.0,0.11140188189044599,-0.7015888405932479,21.088827502213036,85.93905660319169,-0.1992551608878452,5.726199720431493,1.0,20.47297489806428,0.0,1.0,88.69311290256607,4811.342994164384,1.0,1.0,-0.2805873157507246,19.71275183039799,0.052281592078596305,-43.84740850804786,1.0,20.795797370437363,1.0,-0.0006856874808727849,4.257919466340858,0.9483642388039362,1.0,0.34463731505732303,5.84463737010482
0.18,15.807367440406518,0.0,20.946985929206168,89.1534089080226,0.0,4.788394303123526,89.28190768528229,17.967027610426545,0.0,5.950274320343362,0.0,0.0,-2.9715110406492213,0.0,2.87589465434817,0.0,4872.58543086413,0.2624289933376542,89.28190768528229,1.9217417101078516,1.2225384738998606,101073.61368056596,288.01384459146016,0.0,0.0,0.0,361.63,0.19408419689432013,0.86,nominal,4191.0492795242835,nan,pitch_program,11.922857142857143,0.0,0.0,-2.2221904165164656,-0.0,0.0,-2.203902058116668,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03846534730561528,0.0,0.0,-0.03846534730561528,0.0,0.0,0.18,1.0,18.692285847182355,-0.040344598285877165,2.1501995815873522,0.0015542492372452132,-0.05065566814616623,0.0029874636003795743,18.815592898445775,0.05076748314413066,1.0,0.0,0.11140188189044599,-0.7015888405932479,21.088827502213036,85.93905660319169,-0.1992551608878452,5.726199720431493,1.0,19.99091795073363,0.0,1.0,89.0226115124513,4897.8795091457305,1.0,1.0,-1.0248223977983817,19.517536720519526,0.012557342853959213,-43.80053278058868,1.0,21.0686018869242,1.0,0.010298730724903176,4.270155807881226,0.9476325351769845,1.0,0.18454272483068826,6.221361454897725
0.21,18.498524681986794,0.0,21.085501991948277,89.70524138600922,0.0,4.617202091403645,89.82398837323493,17.961205084519715,0.0,6.030249864834139,0.0,0.0,-2.6658519158624676,0.0,3.083789394312193,0.0,4931.867852566251,0.2640227600666576,89.82398837323493,1.95318817258041,1.222522209059284,101071.9530215774,288.0129442370523,0.0,0.0,0.0,367.435,0.19719969827133954,0.86,nominal,4240.952581746861,nan,pitch_program,11.91,0.0,0.0,-2.28071261370667,-0.0,0.0,-2.2499883914706693,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.039269705562814276,0.0,0.0,-0.039269705562814276,0.0,0.0,0.21,1.0,18.972580355574507,0.045886725210506844,2.3587731452450518,-0.0011489502308364553,-0.04665715833896696,0.0018572109986174615,19.118700836903418,0.046708240639032415,1.0,0.0,17.046832885702912,2.1539115434048393,21.481414629446917,90.00617175658275,-0.011319481360851634,4.72941621585427,1.0,19.99091795073363,0.0,1.0,89.52043769792456,4826.273004750142,1.0,1.0,-1.0248223977983817,19.517536720519526,0.012557342853959213,-43.80053278058868,1.0,21.0686018869242,1.0,0.010298730724903176,4.270155807881226,0.9476325351769845,1.0,0.18454272483068826,6.221361454897725
0.24,21.20646882202242,0.0,21.219113428241748,90.26480466785416,0.0,4.4537145431157,90.37461222576519,17.955289093571576,0.0,6.08664632616532,0.0,0.0,-1.8798821961503287,0.0,3.261932170041461,0.0,4992.454116944207,0.2656416283354124,90.37461222576519,1.9846063666651999,1.222506520286875,101070.35118473227,288.0120757627164,0.0,0.0,0.0,373.24,0.20031519964835895,0.86,nominal,4291.873686179781,nan,pitch_program,11.897142857142857,0.0,0.0,-2.5205062249143473,-0.0,0.0,-2.412299091536876,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.042102561690186564,0.0,0.0,-0.042102561690186564,0.0,0.0,0.24,1.0,19.2704442464995,0.004744190636815263,2.52899776242172,0.000306301684732536,-0.03363548549046462,-0.0023348955905986794,19.435685571832156,0.03371782084180891,1.0,0.0,17.046832885702912,2.1539115434048393,21.481414629446917,90.00617175658275,-0.011319481360851634,4.72941621585427,1.0,22.971859517868328,0.0,1.0,89.73223991771853,5018.7416855705615,1.0,1.0,0.7476838625380618,19.41024832191446,-0.03978677103122809,-43.86109351981635,1.0,21.401581704737332,1.0,0.003855106168475802,4.253412843246401,0.9469522164293956,1.0,-0.4114056418596584,6.909011087872143
0.27,23.931438776086974,0.0,21.348014230290065,90.83233180215187,0.0,4.2966934016106055,90.93389948090676,17.949279637582126,0.0,6.124711404980457,0.0,0.0,-1.2688360071739915,0.0,3.416435425276684,0.0,5054.374783738347,0.2672859519945801,90.93389948090676,2.016080283659034,1.2224913847872627,101068.80584208223,288.0112379075031,0.0,0.0,0.0,379.045,0.20343070102537836,0.86,nominal,4343.839541153301,nan,pitch_program,11.884285714285713,0.0,0.0,-2.70931166522786,-0.0,0.0,-2.5905066357514666,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04521287008862454,0.0,0.0,-0.04521287008862454,0.0,0.0,0.27,1.0,19.577140572561703,0.06873387830944926,2.63462555262252,0.0017306481288223445,-0.023935906862110314,-0.0021904605074801803,19.753744180443373,0.024098151329349855,1.0,0.0,17.046832885702912,2.1539115434048393,21.481414629446917,90.00617175658275,-0.011319481360851634,4.72941621585427,1.0,22.971859517868328,0.0,1.0,90.54143205920549,4984.883656678729,1.0,1.0,0.7476838625380618,19.41024832191446,-0.03978677103122809,-43.86109351981635,1.0,21.401581704737332,1.0,0.003855106168475802,4.253412843246401,0.9469522164293956,1.0,-0.4114056418596584,6.909011087872143
