time_s,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad
0.0,-20.05352282957881,-0.0,2.35000750697239,-2.6999999999999997,0.0,1.410004504183434,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.024609221065951082,-0.047123889803846894,0.0,0.024609221065951082
0.03,-1.556815409706783,-1.4364748011580897,-6.663563896936083,-2.01408924582407,-0.8618848806948537,-1.2899954958165658,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.03515248876863947,-0.015042728941283709,-0.022514668737895812,-0.03515248876863947,-0.015042728941283709,-0.022514668737895812
0.06,1.3636124940450858,-2.331575776812551,-7.974243324230838,0.01253179809742364,-1.7436994183654722,-3.989995495816566,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.00021872113799520365,-0.030433296015587568,-0.06963855854174271,0.00021872113799520365,-0.030433296015587568,-0.06963855854174271
0.09,0.13839889362022786,-2.6736937672736936,-8.515711892435386,0.08805205541110618,-2.301696027710405,-6.689995495816566,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.001536798280072292,-0.040172174063621204,-0.1167624483455896,0.001536798280072292,-0.040172174063621204,-0.1167624483455896
0.12,-1.9243976117850712,-2.652335411699632,-8.336040571626272,-1.1194177449066003,-2.512079658103941,-7.677622541302389,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.01953752535387016,-0.043844061106287226,-0.13399979207106102,-0.01953752535387016,-0.043844061106287226,-0.13399979207106102
0.15,-2.5437345601763655,-2.4415630915779274,-7.827995567669389,-1.9740078340684593,-2.4697697181883327,-7.76784635712259,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.03445293616465651,-0.04310561334843889,-0.13557449472083646,-0.03445293616465651,-0.04310561334843889,-0.13557449472083646
0.18,-2.23550244366575,-2.17558442926272,-7.1945859920273785,-2.1309045998268337,-2.293258544832965,-7.423890138065462,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.037191301312870434,-0.04002491220682924,-0.12957132621557874,-0.037191301312870434,-0.04002491220682924,-0.12957132621557874
0.21,-2.1572847838482594,-1.9291708871464104,-6.538505885188591,-2.1467327102396894,-2.074805950221032,-6.89265958633934,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.037467553953943966,-0.03621219517132658,-0.12029960400077185,-0.037467553953943966,-0.03621219517132658,-0.12029960400077185
0.24,-2.51789444770785,-1.7248487121621583,-5.904732144731489,-2.3694297527205856,-1.8648316073857079,-6.299903121374629,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.04135435057968929,-0.03254745154413881,-0.10995405202465523,-0.04135435057968929,-0.03254745154413881,-0.10995405202465523
0.27,-2.9067760834325096,-1.5547536452597137,-5.303843960192862,-2.69183755114774,-1.6787848301101114,-5.702267624665569,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.046981428196349324,-0.02930032271795508,-0.0995233448802904,-0.046981428196349324,-0.02930032271795508,-0.0995233448802904
0.3,-3.0990004539395373,-1.4023401185547708,-4.731687123867026,-2.936135292822818,-1.512918003176907,-5.1199193241864425,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.05124522814376601,-0.026405400468135058,-0.08935944964353637,-0.05124522814376601,-0.026405400468135058,-0.08935944964353637
0.32999999999999996,-3.19627406078474,-1.2544099642122444,-4.181376181142389,-3.092218553599971,-1.3578131797981094,-4.55679343836001,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.05396939495157625,-0.023698310614450765,-0.07953104883265547,-0.05396939495157625,-0.023698310614450765,-0.07953104883265547
