time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,1.0,17.505449318935018,1.4996434638177225,-0.7617014070394987,0.0011795551696321186,0.002982802560093238,0.0017401726722909368,17.586070493713475,0.0036492002466421065,1.0,0.0,-0.7658830172640091,-121.33930817381692,1000.335930710274,88.01166284655733,4.253777560437563,14.24831216786183,1.0,1001.3249718431521,0.0,1.0,91.52995941362157,4677.67612456939,1.0,1.0,4.278327064146713,17.963328002603575,-1.2082217914267943,-44.46072234159003,1.0,1000.0489477121154,0.0,1.0,-0.08935740668074815,8.42961517096461
0.03,0.03,1.0,17.833804551192948,1.2014358645746108,-0.23602308097963903,0.03127925247414877,-0.22740592951519087,-0.09321517232001392,17.875786410717478,0.24775172403973172,1.0,0.0,-0.7658830172640091,-121.33930817381692,1000.335930710274,88.01166284655733,4.253777560437563,14.24831216786183,1.0,1001.3249718431521,0.0,1.0,92.0990331310989,4651.180293204553,1.0,1.0,4.278327064146713,17.963328002603575,-1.2082217914267943,-44.46072234159003,1.0,1000.0489477121154,0.0,1.0,-0.08935740668074815,8.42961517096461
0.06,0.06,1.0,18.116547706305365,0.9963099523634311,0.6078408444728166,0.0549512203558418,-0.3615643896880427,-0.16007693713128388,18.15410159738636,0.3992155687224837,1.0,0.0,-0.7658830172640091,-121.33930817381692,1000.335930710274,88.01166284655733,4.253777560437563,14.24831216786183,1.0,1000.0265329189342,0.0,1.0,91.83093710088794,4712.466724261048,1.0,1.0,1.9176595101472695,17.17918699831519,-1.2265129408377562,-44.79588676900452,1.0,1000.3098222356252,0.0,1.0,0.6429265275875158,9.45728272486848
0.09,0.09,1.0,18.354163535130606,0.6862830433207708,1.0743660715695877,0.0634690861827462,-0.2776862540646606,-0.20798983898261703,18.398384873287316,0.35270065738151246,1.0,0.0,-0.7658830172640091,-121.33930817381692,1000.335930710274,88.01166284655733,4.253777560437563,14.24831216786183,1.0,1000.0265329189342,0.0,1.0,91.72943155883937,4744.697195976469,1.0,1.0,1.9176595101472695,17.17918699831519,-1.2265129408377562,-44.79588676900452,1.0,1000.3098222356252,0.0,1.0,0.6429265275875158,9.45728272486848
0.12,0.12,1.0,18.63709393977776,0.570162603903894,1.3428152631094004,0.0689589836576181,-0.17496511712433674,-0.22161580865804092,18.694103582301853,0.2906573589031971,1.0,0.0,-0.7658830172640091,-121.33930817381692,1000.335930710274,88.01166284655733,4.253777560437563,14.24831216786183,1.0,1001.0105206738401,0.0,1.0,92.9050157879378,4817.901852056602,1.0,1.0,0.2770950170477956,16.577065088764755,-1.2534682353641455,-45.050259599354014,1.0,1001.7272500682737,0.0,1.0,0.5646554924712517,9.899473538591835
0.15,0.15,1.0,18.913596655381834,0.5475102326603823,1.5900799145958902,0.06770025214415387,-0.1341854968265118,-0.2233135302417736,18.988213713568214,0.2691802453524466,1.0,0.0,-0.7658830172640091,-121.33930817381692,1000.335930710274,88.01166284655733,4.253777560437563,14.24831216786183,1.0,1001.0105206738401,0.0,1.0,93.79191994175882,4889.938065691481,1.0,1.0,0.2770950170477956,16.577065088764755,-1.2534682353641455,-45.050259599354014,1.0,1001.7272500682737,0.0,1.0,0.5646554924712517,9.899473538591835
0.18,0.18,1.0,19.23733497836814,0.5063922051767246,1.8890118318711828,0.06347487911600817,-0.14704054189410523,-0.21859096539056996,19.336490266756254,0.27098337843802395,1.0,0.0,-0.7658830172640091,-121.33930817381692,1000.335930710274,88.01166284655733,4.253777560437563,14.24831216786183,1.0,1002.9030711907311,0.0,1.0,93.55211972099382,4868.23102047589,1.0,1.0,1.681146955247538,16.212011362923416,-1.1273062150765096,-45.11631576587554,1.0,1002.7723647204738,0.0,1.0,0.921474073476336,10.075110846277763
0.21,0.21,1.0,19.494060922849663,0.5611390602445505,2.2893434396179293,0.06664359827690917,-0.1485456334739688,-0.21180265166915202,19.636048016167308,0.26714703380266247,1.0,0.0,19.55681564901419,-120.31656500830852,1003.0967534587172,91.98690559639336,4.140900401433083,12.696134567781261,1.0,1002.9030711907311,0.0,1.0,94.89307100466056,4904.331032453575,1.0,1.0,1.681146955247538,16.212011362923416,-1.1273062150765096,-45.11631576587554,1.0,1002.7723647204738,0.0,1.0,0.921474073476336,10.075110846277763
0.24,0.24,1.0,19.837759326672092,0.4123564831995162,2.55509366048606,0.06598523108393498,-0.12051234476964738,-0.20873095701598218,20.005880050276676,0.24989175332508767,1.0,0.0,19.55681564901419,-120.31656500830852,1003.0967534587172,91.98690559639336,4.140900401433083,12.696134567781261,1.0,1003.9046844711003,0.0,1.0,94.89635825038849,4980.096351944797,1.0,1.0,-0.5956208539902011,15.78489854588813,-1.107246029683135,-45.33560388481576,1.0,1002.8870598503896,0.0,1.0,1.7346232137852953,10.541393916098272
0.27,0.27,1.0,20.015561717862035,0.4285149963588939,2.8471995467064573,0.0640586760426447,-0.10183306108856802,-0.20656064374592573,20.2215944287886,0.23904138941140668,1.0,0.0,19.55681564901419,-120.31656500830852,1003.0967534587172,91.98690559639336,4.140900401433083,12.696134567781261,1.0,1003.9046844711003,0.0,1.0,96.05622540008464,5063.560639107691,1.0,1.0,-0.5956208539902011,15.78489854588813,-1.107246029683135,-45.33560388481576,1.0,1002.8870598503896,0.0,1.0,1.7346232137852953,10.541393916098272
0.3,0.3,1.0,20.34812589032738,0.40030580456795867,2.9542036775581244,0.06615159238586742,-0.08600483951218482,-0.20404455804254662,20.5653541509569,0.23109964790427698,1.0,0.0,19.55681564901419,-120.31656500830852,1003.0967534587172,91.98690559639336,4.140900401433083,12.696134567781261,1.0,1003.7241965884749,0.0,1.0,95.49494352067785,5162.539484300874,1.0,1.0,-0.9600482555937281,15.639989893515953,-1.180164038339218,-45.3965622659398,1.0,1004.2073890754134,0.0,1.0,1.236212109021059,10.974375766695239
0.32999999999999996,0.32999999999999996,1.0,20.621342732622686,0.34899751000762924,3.2644940220865943,0.07098192248792534,-0.08004772184837343,-0.2035106911217303,20.881055925851093,0.22991883892808943,1.0,0.0,19.55681564901419,-120.31656500830852,1003.0967534587172,91.98690559639336,4.140900401433083,12.696134567781261,1.0,1003.7241965884749,0.0,1.0,97.20595864512916,5199.932744674889,1.0,1.0,-0.9600482555937281,15.639989893515953,-1.180164038339218,-45.3965622659398,1.0,1004.2073890754134,0.0,1.0,1.236212109021059,10.974375766695239
0.36,0.36,1.0,20.90529973942666,0.3149296848041272,3.4759903210887892,0.0672539420218608,-0.07362185818953539,-0.2004221461316489,21.194651368067987,0.22385778382887628,1.0,0.0,19.55681564901419,-120.31656500830852,1003.0967534587172,91.98690559639336,4.140900401433083,12.696134567781261,1.0,1004.9980300991407,0.0,1.0,96.59135523425832,5241.195650686551,1.0,1.0,-1.4445119586722703,15.40023906095852,-1.191790050732724,-45.371795043539606,1.0,1004.1064401004878,0.0,1.0,2.635726545307551,11.710131358849692
0.39,0.39,1.0,21.265453435235067,0.34509912244054547,3.7369065149773966,0.06793626521349214,-0.06386223090493845,-0.19984015750970294,21.594051808591658,0.2205216751723433,1.0,0.0,19.55681564901419,-120.31656500830852,1003.0967534587172,91.98690559639336,4.140900401433083,12.696134567781261,1.0,1004.9980300991407,0.0,1.0,97.6792465381666,5386.178169642256,1.0,1.0,-1.4445119586722703,15.40023906095852,-1.191790050732724,-45.371795043539606,1.0,1004.1064401004878,0.0,1.0,2.635726545307551,11.710131358849692
0.42,0.42,1.0,21.211669681936964,0.29827995350038555,3.833774353352956,0.06939695437260038,-0.058334336868890765,-0.2010564459342404,21.557405396259792,0.22055050801536175,1.0,0.0,40.0043144587106,-118.4114624778476,1005.0551483882149,95.8082000157993,4.561225371435408,12.175998674008838,1.0,1005.7471437646916,0.0,1.0,98.91405708431384,5403.565709769312,1.0,1.0,-2.0380372536193887,15.26453062931858,-1.1836860882732154,-45.57127756391413,1.0,1005.1274227291017,0.0,1.0,2.020847689558333,11.186886818706757
0.44999999999999996,0.44999999999999996,1.0,21.199895144437,0.24663073910655656,3.993497008610849,0.0728063566028635,-0.05049340690923688,-0.2023033456328764,21.574160452133,0.22085514111593635,1.0,0.0,40.0043144587106,-118.4114624778476,1005.0551483882149,95.8082000157993,4.561225371435408,12.175998674008838,1.0,1005.7471437646916,0.0,1.0,98.36739673280157,5401.521270660664,1.0,1.0,-2.0380372536193887,15.26453062931858,-1.1836860882732154,-45.57127756391413,1.0,1005.1274227291017,0.0,1.0,2.020847689558333,11.186886818706757
0.48,0.48,1.0,21.22187972770658,0.2054158487682833,4.243448734996757,0.06940587350429064,-0.0427016205898546,-0.2007657711822557,21.642948782795617,0.21667371450247336,1.0,0.0,40.0043144587106,-118.4114624778476,1005.0551483882149,95.8082000157993,4.561225371435408,12.175998674008838,1.0,1006.0600893690707,0.0,1.0,99.32553707073633,5558.870408622328,1.0,1.0,-1.8724418901880904,15.153106011028983,-1.1383257808667033,-45.49427754236599,1.0,1005.6944873894038,0.0,1.0,2.5302577413793976,11.213765118522227
0.51,0.51,1.0,21.175015282383214,0.08533054065232586,4.399544142707826,0.07374565641195911,-0.039955043662549025,-0.20740908251938503,21.627402575759426,0.223726071045017,1.0,0.0,40.0043144587106,-118.4114624778476,1005.0551483882149,95.8082000157993,4.561225371435408,12.175998674008838,1.0,1006.0600893690707,0.0,1.0,99.83878950835069,5573.88890473165,1.0,1.0,-1.8724418901880904,15.153106011028983,-1.1383257808667033,-45.49427754236599,1.0,1005.6944873894038,0.0,1.0,2.5302577413793976,11.213765118522227
0.54,0.54,1.0,21.129900118094888,0.1288851491992112,4.510280882708965,0.07141323306024423,-0.034630236803746155,-0.20436272652578158,21.606293620685626,0.21923327108413926,1.0,0.0,40.0043144587106,-118.4114624778476,1005.0551483882149,95.8082000157993,4.561225371435408,12.175998674008838,1.0,1006.0218797324213,0.0,1.0,100.31244395131309,5695.157760712198,1.0,1.0,-4.1211944545547095,15.06624572148054,-1.1580850382011671,-45.55570620586586,1.0,1006.9256424058565,0.0,1.0,3.4285462484258473,11.964889963714645
0.57,0.57,1.0,21.135205310337533,-0.02124343921171836,4.74309035435776,0.07760643575738835,-0.03032382619391768,-0.20816857600285862,21.660892430909467,0.22422410517395872,1.0,0.0,40.0043144587106,-118.4114624778476,1005.0551483882149,95.8082000157993,4.561225371435408,12.175998674008838,1.0,1006.0218797324213,0.0,1.0,100.67600003832432,5585.155546506033,1.0,1.0,-4.1211944545547095,15.06624572148054,-1.1580850382011671,-45.55570620586586,1.0,1006.9256424058565,0.0,1.0,3.4285462484258473,11.964889963714645
0.6,0.6,1.0,21.03228502373357,-0.043683781065343985,4.86363825624828,0.07452146214297967,-0.03171359394436597,-0.20385081230377408,21.587355064480167,0.2193498439427396,1.0,0.0,40.0043144587106,-118.4114624778476,1005.0551483882149,95.8082000157993,4.561225371435408,12.175998674008838,1.0,1007.3067983238622,0.0,1.0,101.60643679795119,5750.634671383792,1.0,1.0,-5.032366567513277,14.944128204550749,-1.1531520245971654,-45.54502620425161,1.0,1007.4972236633802,0.0,1.0,2.9413365781889986,11.54754781866426
0.63,0.63,1.0,21.09015221812157,-0.01625677105869376,5.031008485670045,0.07846511986788751,-0.024377053075350423,-0.20878957435048368,21.68192406704321,0.2243749141726333,1.0,0.0,59.250715951371554,-116.94520291847525,1009.1710488509163,100.10225631580212,4.37334048243392,12.298340813671565,1.0,1007.3067983238622,0.0,1.0,102.29392167459798,5752.519426910794,1.0,1.0,-5.032366567513277,14.944128204550749,-1.1531520245971654,-45.54502620425161,1.0,1007.4972236633802,0.0,1.0,2.9413365781889986,11.54754781866426
0.6599999999999999,0.6599999999999999,1.0,21.008741087067506,-0.15455218426882694,5.118503844493065,0.07743203200609147,-0.02751283381628561,-0.20596119989097458,21.623833380027484,0.22174916339351747,1.0,0.0,59.250715951371554,-116.94520291847525,1009.1710488509163,100.10225631580212,4.37334048243392,12.298340813671565,1.0,1008.2634443458827,0.0,1.0,102.69895607994236,5797.114662482939,1.0,1.0,-3.431226550295503,14.94607140482087,-1.240198435207939,-45.61820087045238,1.0,1008.1981450281712,0.0,1.0,3.448043296764924,11.807866145139688
0.69,0.69,1.0,21.040425999165816,-0.16220305470849936,5.265845833284212,0.07647241892560028,-0.01998874410697347,-0.2066383885357268,21.68997391416703,0.22123969888776418,1.0,0.0,59.250715951371554,-116.94520291847525,1009.1710488509163,100.10225631580212,4.37334048243392,12.298340813671565,1.0,1008.2634443458827,0.0,1.0,103.9641491311482,6038.203340403855,1.0,1.0,-3.431226550295503,14.94607140482087,-1.240198435207939,-45.61820087045238,1.0,1008.1981450281712,0.0,1.0,3.448043296764924,11.807866145139688
0.72,0.72,1.0,20.9652434813773,-0.25872577200544844,5.414088315358097,0.0769936801460591,-0.018912289417774404,-0.20956550788541634,21.654577473251013,0.22406116033067358,1.0,0.0,59.250715951371554,-116.94520291847525,1009.1710488509163,100.10225631580212,4.37334048243392,12.298340813671565,1.0,1009.3851874803596,0.0,1.0,104.28714481511639,6001.8504180537175,1.0,1.0,-4.236297939906482,14.876324975205256,-1.282881477634022,-45.64562294118199,1.0,1008.7993448439908,0.0,1.0,4.350452957219733,12.378618137438322
0.75,0.75,1.0,20.954610650917495,-0.3300559373455176,5.568871316122067,0.0761737425983896,-0.02163218357792899,-0.20961736950639437,21.684486901673488,0.22407550519094052,1.0,0.0,59.250715951371554,-116.94520291847525,1009.1710488509163,100.10225631580212,4.37334048243392,12.298340813671565,1.0,1009.3851874803596,0.0,1.0,104.94228321904367,6153.7830346508745,1.0,1.0,-4.236297939906482,14.876324975205256,-1.282881477634022,-45.64562294118199,1.0,1008.7993448439908,0.0,1.0,4.350452957219733,12.378618137438322
0.78,0.78,1.0,20.886194330304992,-0.37141236574416886,5.711908350829306,0.08234271487164224,-0.01877872355762446,-0.20869433246041966,21.656337588728285,0.22513615336499473,1.0,0.0,59.250715951371554,-116.94520291847525,1009.1710488509163,100.10225631580212,4.37334048243392,12.298340813671565,1.0,1010.18373363819,0.0,1.0,105.7689267884845,6220.376121697917,1.0,1.0,-6.787822916748577,14.877123965331036,-1.2586547967553265,-45.64602115301565,1.0,1009.3834890137667,0.0,1.0,4.66830850677598,12.256696439691405
0.8099999999999999,0.8099999999999999,1.0,20.858725765758706,-0.38793579012263213,5.840509072926349,0.07909461971669467,-0.013059124128929844,-0.21191305755376683,21.664452011978497,0.22656929084262376,1.0,0.0,59.250715951371554,-116.94520291847525,1009.1710488509163,100.10225631580212,4.37334048243392,12.298340813671565,1.0,1010.18373363819,0.0,1.0,106.0611241800155,6281.80527787813,1.0,1.0,-6.787822916748577,14.877123965331036,-1.2586547967553265,-45.64602115301565,1.0,1009.3834890137667,0.0,1.0,4.66830850677598,12.256696439691405
0.84,0.84,1.0,20.791954555825903,-0.5312635881919566,5.969440559896232,0.07951035787943148,-0.017519772350719588,-0.20739891775473068,21.638434228238474,0.22280742922795427,1.0,0.0,82.24067791722538,-118.22612675052153,1010.770470936452,104.26824180084562,3.7089965456561083,11.592482240715274,1.0,1010.1167025459637,0.0,1.0,105.81105819419122,6294.164725513555,1.0,1.0,-6.961742836475696,14.907078631094064,-1.3591808574866429,-45.60424278301291,1.0,1010.7298019586738,0.0,1.0,4.998687425657409,11.479143974846412
0.87,0.87,1.0,20.78499003191627,-0.5890568851821766,6.101750757965937,0.0793413723265602,-0.01450782915499871,-0.21211376805686083,21.670121387596726,0.22693122541583438,1.0,0.0,82.24067791722538,-118.22612675052153,1010.770470936452,104.26824180084562,3.7089965456561083,11.592482240715274,1.0,1010.1167025459637,0.0,1.0,107.58617071177788,6315.1920554425,1.0,1.0,-6.961742836475696,14.907078631094064,-1.3591808574866429,-45.60424278301291,1.0,1010.7298019586738,0.0,1.0,4.998687425657409,11.479143974846412
0.8999999999999999,0.8999999999999999,1.0,20.737991239957257,-0.6991580025761186,6.170775164943349,0.0793486215212799,-0.01702487250884386,-0.20773689224857197,21.647899868518234,0.22302615636369766,1.0,0.0,82.24067791722538,-118.22612675052153,1010.770470936452,104.26824180084562,3.7089965456561083,11.592482240715274,1.0,1011.1220215871463,0.0,1.0,108.16418071945976,6494.080513245479,1.0,1.0,-7.15079345079525,14.720141240447996,-1.3015236897259677,-45.63590495846214,1.0,1011.2346187670869,0.0,1.0,5.886380010898157,11.909712642971689
0.9299999999999999,0.9299999999999999,1.0,20.63593895771408,-0.7882639828813076,6.38548787673728,0.07981595799443848,-0.01627222731413171,-0.2069551298451527,21.615683940073893,0.22240907873006613,1.0,0.0,82.24067791722538,-118.22612675052153,1010.770470936452,104.26824180084562,3.7089965456561083,11.592482240715274,1.0,1011.1220215871463,0.0,1.0,109.1857935311492,6510.990365832474,1.0,1.0,-7.15079345079525,14.720141240447996,-1.3015236897259677,-45.63590495846214,1.0,1011.2346187670869,0.0,1.0,5.886380010898157,11.909712642971689
0.96,0.96,1.0,20.68594456411504,-0.7961858042093194,6.535566600271334,0.08700342708699078,-0.01250549901535424,-0.21174999390359894,21.708427974661067,0.22926849706987337,1.0,0.0,82.24067791722538,-118.22612675052153,1010.770470936452,104.26824180084562,3.7089965456561083,11.592482240715274,1.0,1011.882302198889,0.0,1.0,110.32170876280756,6646.8406363295235,1.0,1.0,-7.244240675339699,14.789644454900898,-1.3985005773056358,-45.62226194004116,1.0,1011.809392638195,0.0,1.0,6.250689501010284,12.251800712206824
