time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,0.0,1000.0,84.0,0.0,15.0,85.32877591996736,18.0,0.0,9.0,0.0,0.0,0.0,0.0,-1.1246716553978162,0.0,4046.934522364112,0.25362711007788913,85.32877591996736,1.7329231744426616,1.1116425003060326,89874.56291621955,281.65,0.0,0.0,0.0,323.0,0.17335175620624782,0.85,nominal,13447.15,nan,fixed_pitch,18.0,0.0,0.0,-20.05352282957881,-0.0,0.0,-2.6999999999999997,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.0,-0.047123889803846894,0.0,0.0,0.0,1.0,17.007343798494418,-0.2892272845464373,-0.6380093276952116,0.001565738031183101,-0.0036571952164712266,-0.0013815102141609857,17.021764050900796,0.004211316053860633,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,999.9769622121428,0.0,1.0,85.36896211336294,4098.066982106759,1.0,1.0,0.4914089296374223,17.192599608587877,-0.01757678299780929,-44.78148816809228,1.0,999.9011865279573,0.0,1.0,-0.26702259647059245,9.19094030623817
0.03,2.5351789957121817,-0.00022542513550626367,1000.4430414013383,84.50596652373939,-0.0075141711835421225,14.768046711275922,85.7866751788444,17.994799447313813,-0.003041183605462435,9.13458162651677,0.019297529388626996,0.0,-4.486073134779234,0.6350942606475132,-0.7781784168338118,-0.024069355214791234,4090.3071457318083,0.25498945119058214,85.7866751788444,1.7667738435164793,1.1115941281793602,89869.73321037232,281.6471202308913,0.0,0.0,0.0,328.7375,0.17643103082306932,0.85,nominal,13490.671571078712,nan,fixed_pitch,18.0,0.0,0.0,-3.4025326723903664,-0.02144034441857761,0.2394953303541666,-3.1215196034342196,0.0,0.14369719821249996,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.05448079474547483,0.0,0.0025079892346990345,-0.05448079474547483,0.0,0.0025079892346990345,0.03,1.0,17.359588490629932,-0.23065233389536283,-0.3695736511445488,-0.0030523316384910115,-0.07443396576854167,0.011062999514282192,17.365053922944288,0.07531349113350658,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,999.9769622121428,0.0,1.0,86.11426890842634,4060.059405079099,1.0,1.0,0.4914089296374223,17.192599608587877,-0.01757678299780929,-44.78148816809228,1.0,999.9011865279573,0.0,1.0,-0.26702259647059245,9.19094030623817
0.06,5.085807649858148,-0.0006618034348904869,1000.8793623080462,85.02095513819887,-0.01454594331280744,14.544030223596161,86.25596697818054,17.98950651638912,-0.008997786399227986,9.415318630346738,0.05728285016803691,0.005519973320646495,-9.358050070331986,1.2486443514500836,-0.2919662604132948,-0.0661707123670377,4135.0039897944425,0.2563856493370931,86.25596697818052,1.801713145736328,1.1115464913832878,89864.97697173257,281.6442841449977,0.0,0.0,0.0,334.47499999999997,0.17951030543989083,0.85,nominal,13535.319518048685,nan,fixed_pitch,18.0,0.0,0.0,-1.5453115879020998,-0.05125926313438993,0.44247980906214057,-2.175794794114948,0.0,0.3229667647222843,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.03797478300505798,0.0,0.005636833418917731,-0.03797478300505798,0.0,0.005636833418917731,0.06,1.0,17.68834454033151,-0.2436762798220655,-0.022170502022500444,0.0019102861751529115,-0.1632420371439682,0.02048484463807531,17.690036807140437,0.16453340312541329,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,1001.5364589944282,0.0,1.0,85.96125649219006,4066.9949500688294,1.0,1.0,2.1599326913970462,16.83973939673803,0.033482551447482085,-44.898974470253236,1.0,1001.1141530568243,0.0,1.0,0.018561310337777658,9.43040791553686
0.09,7.652125127041632,-0.0012837024473707297,1001.3094477914585,85.54391590611615,-0.02072996708267476,14.336182780410663,86.73689016213085,17.984121207225925,-0.01754004300862231,9.691456375120586,0.11245597713849152,0.020488793607369712,-9.205029038909014,1.8114720926429313,0.17776383891545933,-0.12454844390650209,4181.065627850779,0.25781641608641354,86.73689016213085,1.8342868110831603,1.1114995368889018,89860.28890355512,281.6414885893555,0.0,0.0,0.0,340.2125,0.18258958005671233,0.85,nominal,13581.135353682881,nan,fixed_pitch,18.0,0.0,0.0,-1.4492888389469658,-0.09220825778356717,0.5989037001540019,-1.7398912210141586,-0.05532495467014031,0.48852892598131475,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.03036683043324142,-0.0009656026175105616,0.008526438249605613,-0.03036683043324142,-0.0009656026175105616,0.008526438249605613,0.09,1.0,17.88909630823426,-0.3100719966849581,0.33989871117016557,-0.0005577608303369641,-0.16068645251693767,0.030477726783070595,17.895011665329086,0.16355225143508548,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,1001.5364589944282,0.0,1.0,87.1389376564449,4141.760938926554,1.0,1.0,2.1599326913970462,16.83973939673803,0.033482551447482085,-44.898974470253236,1.0,1001.1141530568243,0.0,1.0,0.018561310337777658,9.43040791553686
0.12,10.234344580104333,-0.002058263289307395,1001.7337432425634,86.07398176875667,-0.025818694731222176,14.14318170349493,87.22820984538963,17.978643519824224,-0.028975465996273004,9.878031081120547,0.1830734514777999,0.018860994078967044,-6.220103429330393,2.3171524897820848,0.5469437525153081,-0.19733338956673308,4228.390715364983,0.2592780823902778,87.22820984538961,1.8629137110522003,1.1114532160070345,89855.66414262174,281.6387306689233,0.0,0.0,0.0,345.95,0.18566885467353383,0.85,nominal,13628.032509585348,nan,fixed_pitch,18.0,0.0,0.0,-2.3945314023452124,-0.11978387070878266,0.7088943164601356,-2.1326753298127907,-0.09400030429332572,0.6207481602686072,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.03722220638128918,-0.0016406148077950954,0.010834099222384645,-0.03722220638128918,-0.0016406148077950954,0.010834099222384645,0.12,1.0,18.250475315868975,-0.22192906314128846,0.577360576080675,0.00039982406119275335,-0.1095599253468142,0.04173430239196087,18.2609541645288,0.11724030491867138,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,1001.2150058633213,0.0,1.0,86.86282728185218,4233.959774127017,1.0,1.0,-1.5985416252997058,16.50016100177457,-0.07170370114462464,-45.09784589743625,1.0,1001.8050811857751,0.0,1.0,-0.16702994873905536,9.796886057993524
0.15,12.832663724374882,-0.002946993538543719,1002.1525513353615,86.61063814235168,-0.02962434164121079,13.960269759939063,87.72851673656217,17.973073454184018,-0.043124464020596345,9.99454767801789,0.26749016700979805,0.013912329420137974,-3.8856310194264876,2.769240476026768,0.8382253850166007,-0.2827986200599376,4276.858669238646,0.2607664603068809,87.72851673656218,1.8922562965275036,1.1114074956354492,89851.09938213619,281.6360084163201,0.0,0.0,0.0,351.6875,0.18874812929035537,0.85,nominal,13675.905641951556,nan,fixed_pitch,18.0,0.0,0.0,-3.151350196321619,-0.14547823772978322,0.7765177674196765,-2.7438802497180874,-0.12488706435520022,0.7142099245592488,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.04788974463802484,-0.002179690466148293,0.012465314733979202,-0.04788974463802484,-0.002179690466148293,0.012465314733979202,0.15,1.0,18.486203215015077,-0.11395648852726963,0.7517754730804426,-0.0004902507477238917,-0.06680034727639458,0.048755215844482634,18.501834010444384,0.08270186100738394,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,1001.2150058633213,0.0,1.0,87.12168466809884,4364.913349428899,1.0,1.0,-1.5985416252997058,16.50016100177457,-0.07170370114462464,-45.09784589743625,1.0,1001.8050811857751,0.0,1.0,-0.16702994873905536,9.796886057993524
0.18,15.4473009164954,-0.0039066605380000605,1002.5660915792672,87.15457307068392,-0.031988899981878066,13.784674796854771,88.23796172667379,17.96741101030531,-0.05961020943112302,10.091148881015064,0.364314950594755,0.013300557417702683,-3.2228887403760558,3.1751536160295983,1.1036928390437244,-0.37946526829037236,4326.499121846635,0.2622819991194537,88.23796172667379,1.9219883003901772,1.1113623517553113,89846.59222233506,281.6333204047347,0.0,0.0,0.0,357.425,0.19182740390717687,0.85,nominal,13724.783706824795,nan,fixed_pitch,18.0,0.0,0.0,-3.3342346770541207,-0.17613580552539523,0.8069714575548969,-3.0980929061197076,-0.15563630905731723,0.7698668443566377,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.054071921744468475,-0.002716366028701658,0.013436711235962052,-0.054071921744468475,-0.002716366028701658,0.013436711235962052,0.18,1.0,18.812631882119067,-0.10975512777427206,0.8627474731848777,0.001899975598321893,-0.0584516788835218,0.05891598783107935,18.832724118477454,0.08301386808051084,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,1003.809302407685,0.0,1.0,89.28649864419992,4371.776071489741,1.0,1.0,0.7557975956581994,16.302213065889823,-0.11686595737375588,-45.13275185937805,1.0,1002.7173357321835,0.0,1.0,-0.4199810760528356,9.656235442281568
0.21,18.07847483573198,-0.004889699052529496,1002.9745894155656,87.70579730788596,-0.03276795048431452,13.61659454327778,88.75651864571175,17.961656188188094,-0.07804739535478393,10.187233829005784,0.4724113467271138,0.019737565142801814,-3.2070908998353587,3.5430939719117123,1.3626828252619754,-0.48611610282842793,4377.324849894494,0.2638246218375493,88.75651864571175,1.9520060066641192,1.1113177597039516,89842.14019928858,281.6306651687988,0.0,0.0,0.0,363.16249999999997,0.19490667852399834,0.85,nominal,13774.680558345444,nan,fixed_pitch,18.0,0.0,0.0,-3.290996674989922,-0.2142842023215145,0.8054982641797694,-3.2138351674418364,-0.19082504501583558,0.7912456962505167,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.05609200528824331,-0.0033305253307927257,0.013809842591806468,-0.05609200528824331,-0.0033305253307927257,0.013809842591806468,0.21,1.0,19.046152543330518,-0.10865254535575437,1.1049990095830413,-5.860391340065899e-05,-0.053545486830658635,0.062381942952638034,19.07848932412122,0.0822108837131501,1.0,0.0,17.673016084261008,-0.5961172760018516,1002.7705192178205,87.58818634855034,0.16366042281177576,13.31549042216784,1.0,1003.809302407685,0.0,1.0,89.08296305970728,4369.013559127217,1.0,1.0,0.7557975956581994,16.302213065889823,-0.11686595737375588,-45.13275185937805,1.0,1002.7173357321835,0.0,1.0,-0.4199810760528356,9.656235442281568
0.24,20.726399411691368,-0.005844359555542713,1003.3782929003731,88.26415253197953,-0.031822016767107233,13.456782826919403,89.2840783055981,17.955808987832373,-0.09808631042879123,10.27354238115784,0.5908466614779296,0.033200141096469675,-2.882920423411794,3.880655016312133,1.6055080655148546,-0.6017706681071023,4429.340597264154,0.26539400477650565,89.2840783055981,1.9822787434784332,1.1112736923538225,89837.74060309218,281.62804109614757,0.0,0.0,0.0,368.9,0.19798595314081988,0.85,nominal,13825.60305551153,nan,fixed_pitch,18.0,0.0,0.0,-3.361186773320598,-0.25974427160033997,0.7768805353463116,-3.3022461309690936,-0.23217658096653818,0.7826265997079936,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.057635067696654566,-0.00405224578388929,0.013659410978592182,-0.057635067696654566,-0.00405224578388929,0.013659410978592182,0.24,1.0,19.38909325905042,-0.1263401888174328,1.286192241414381,-0.0011114120929586661,-0.04914495580662197,0.06794859630916615,19.43211747940351,0.0838658074453542,1.0,0.0,17.673016084261008,-0.5961172760018516,1002.7705192178205,87.58818634855034,0.16366042281177576,13.31549042216784,1.0,1003.5395191494813,0.0,1.0,89.91934045676194,4465.94373968827,1.0,1.0,-0.07546922021414325,16.19151860436154,-0.11961833054918257,-45.116421013929184,1.0,1003.1312681539592,0.0,1.0,0.05043771892487832,9.537253131746622
0.27,23.391290017674937,-0.006714710587713071,1003.7774441836477,88.82968686611893,-0.029011701072345276,13.305042775818945,89.8205893638976,17.94986940923815,-0.1194106600786789,10.339656966172035,0.7188661297761745,0.052677872240195066,-2.2117844887870457,4.194271975490124,1.8219565191401084,-0.7256465554601825,4482.556898006806,0.2669899961814167,89.8205893638976,2.012762022442553,1.111230123225924,89833.39078870905,281.6254466128063,0.0,0.0,0.0,374.6375,0.20106522775764138,0.85,nominal,13877.563209842525,nan,fixed_pitch,18.0,0.0,0.0,-3.5641554644774978,-0.3112729504461981,0.7250864794264174,-3.459391731074136,-0.27963440265433415,0.7481025275390478,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.06037777582350991,-0.004880541028165702,0.013056852248047937,-0.06037777582350991,-0.004880541028165702,0.013056852248047937,0.27,1.0,19.66386639913718,-0.05629564009465838,1.3863193881619438,-0.0009726735669745564,-0.038561069743656994,0.07234529176789414,19.712754561658898,0.08198623930041432,1.0,0.0,17.673016084261008,-0.5961172760018516,1002.7705192178205,87.58818634855034,0.16366042281177576,13.31549042216784,1.0,1003.5395191494813,0.0,1.0,89.7919092933611,4493.568860446973,1.0,1.0,-0.07546922021414325,16.19151860436154,-0.11961833054918257,-45.116421013929184,1.0,1003.1312681539592,0.0,1.0,0.05043771892487832,9.537253131746622
0.3,26.073368443957108,-0.00744056818258526,1004.1722599441725,89.40261420940567,-0.02419525316240628,13.1605253508255,90.36607460986573,17.943837452405422,-0.14174816945914542,10.386561443582494,0.855882108792176,0.07699119207235641,-1.573717607146122,4.489124357706894,2.013639976602523,-0.8571189739314974,4536.991883582335,0.2686126645809726,90.36607460986573,2.043427166595397,1.1111870286251253,89829.08838914549,281.62288031036286,0.0,0.0,0.0,380.375,0.20414450237446288,0.85,nominal,13930.57961317943,nan,fixed_pitch,18.0,0.0,0.0,-3.7663479384567644,-0.36755094549449036,0.6531976242939654,-3.6435654555037127,-0.3323843283584279,0.6911595855919984,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.06359221371046674,-0.005801200911884526,0.012063010425299933,-0.06359221371046674,-0.005801200911884526,0.012063010425299933,0.3,1.0,19.95375884871397,-0.07543213742787974,1.6599464160669477,0.0009818977150228502,-0.029036738791735885,0.08112606271800774,20.022827080714688,0.08617154039999744,1.0,0.0,17.673016084261008,-0.5961172760018516,1002.7705192178205,87.58818634855034,0.16366042281177576,13.31549042216784,1.0,1003.9949147625036,0.0,1.0,90.34085040775598,4489.343416280459,1.0,1.0,0.9662984920928592,16.000781861782944,-0.23538853787968386,-45.18152727631741,1.0,1004.2214864403153,0.0,1.0,-0.13530781281407944,10.103750363718904
0.32999999999999996,28.77286219885826,-0.007957400000797527,1004.5629357917301,89.98312516337171,-0.01722772727374225,13.022528251918034,90.92056617198119,17.937713117334187,-0.16488115325470473,10.420801852772172,1.001445538455768,0.10510722311102776,-1.1541129414547497,4.769276434105108,2.1876260594928003,-0.9956857815430336,4592.664957398856,0.27026210620842334,90.92056617198119,2.074261730967444,1.1111443871591877,89824.83126741752,281.62034091735376,0.0,0.0,0.0,386.1125,0.20722377699128441,0.85,nominal,13984.671790798773,nan,fixed_pitch,18.0,0.0,0.0,-3.899215196607893,-0.42754105911288,0.5636047165646804,-3.7969553001662213,-0.38947836681109915,0.6146266641756076,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.06626937153895016,-0.0067976798661438876,0.010727258960413832,-0.06626937153895016,-0.0067976798661438876,0.010727258960413832,0.32999999999999996,1.0,20.306487885305465,-0.028718596950487445,1.7491968767887598,0.001954876799633763,-0.01944100391809419,0.08727821628336799,20.381706619114013,0.08943858906675273,1.0,0.0,17.673016084261008,-0.5961172760018516,1002.7705192178205,87.58818634855034,0.16366042281177576,13.31549042216784,1.0,1003.9949147625036,0.0,1.0,90.57906983868742,4642.589463203622,1.0,1.0,0.9662984920928592,16.000781861782944,-0.23538853787968386,-45.18152727631741,1.0,1004.2214864403153,0.0,1.0,-0.13530781281407944,10.103750363718904
