time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg
0.0,0.0,0.0,1000.0,84.0,0.0,15.0,85.32877591996736,18.0,0.0,9.0,0.0,0.0,0.0,0.0,-1.1246716553978162,0.0,4046.934522364112,0.25362711007788913,85.32877591996736,1.7329231744426616,1.1116425003060326,89874.56291621955,281.65,0.0,0.0,0.0,323.0,0.17335175620624782,0.85,nominal,13447.15,nan,fixed_pitch,18.0,0.0,0.0
0.03,2.5351789957121817,-0.00022542513550626367,1000.4430414013383,84.50596652373939,-0.0075141711835421225,14.768046711275922,85.7866751788444,17.994799447313813,-0.003041183605462435,9.13458162651677,0.019297529388626996,0.0,-4.486073134779234,0.6350942606475132,-0.7781784168338118,-0.024069355214791234,4090.3071457318083,0.25498945119058214,85.7866751788444,1.7667738435164793,1.1115941281793602,89869.73321037232,281.6471202308913,0.0,0.0,0.0,328.7375,0.17643103082306932,0.85,nominal,13490.671571078712,nan,fixed_pitch,18.0,0.0,0.0
0.06,5.085807649858148,-0.0006618034348904869,1000.8793623080462,85.02095513819887,-0.01454594331280744,14.544030223596161,86.25596697818054,17.98950651638912,-0.008997786399227986,9.415318630346738,0.05728285016803691,0.005519973320646495,-9.358050070331986,1.2486443514500836,-0.2919662604132948,-0.0661707123670377,4135.0039897944425,0.2563856493370931,86.25596697818052,1.801713145736328,1.1115464913832878,89864.97697173257,281.6442841449977,0.0,0.0,0.0,334.47499999999997,0.17951030543989083,0.85,nominal,13535.319518048685,nan,fixed_pitch,18.0,0.0,0.0
0.09,7.652125127041632,-0.0012837024473707297,1001.3094477914585,85.54391590611615,-0.02072996708267476,14.336182780410663,86.73689016213085,17.984121207225925,-0.01754004300862231,9.691456375120586,0.11245597713849152,0.020488793607369712,-9.205029038909014,1.8114720926429313,0.17776383891545933,-0.12454844390650209,4181.065627850779,0.25781641608641354,86.73689016213085,1.8342868110831603,1.1114995368889018,89860.28890355512,281.6414885893555,0.0,0.0,0.0,340.2125,0.18258958005671233,0.85,nominal,13581.135353682881,nan,fixed_pitch,18.0,0.0,0.0
0.12,10.234344580104333,-0.002058263289307395,1001.7337432425634,86.07398176875667,-0.025818694731222176,14.14318170349493,87.22820984538963,17.978643519824224,-0.028975465996273004,9.878031081120547,0.1830734514777999,0.018860994078967044,-6.220103429330393,2.3171524897820848,0.5469437525153081,-0.19733338956673308,4228.390715364983,0.2592780823902778,87.22820984538961,1.8629137110522003,1.1114532160070345,89855.66414262174,281.6387306689233,0.0,0.0,0.0,345.95,0.18566885467353383,0.85,nominal,13628.032509585348,nan,fixed_pitch,18.0,0.0,0.0
0.15,12.832663724374882,-0.002946993538543719,1002.1525513353615,86.61063814235168,-0.02962434164121079,13.960269759939063,87.72851673656217,17.973073454184018,-0.043124464020596345,9.99454767801789,0.26749016700979805,0.013912329420137974,-3.8856310194264876,2.769240476026768,0.8382253850166007,-0.2827986200599376,4276.858669238646,0.2607664603068809,87.72851673656218,1.8922562965275036,1.1114074956354492,89851.09938213619,281.6360084163201,0.0,0.0,0.0,351.6875,0.18874812929035537,0.85,nominal,13675.905641951556,nan,fixed_pitch,18.0,0.0,0.0
0.18,15.4473009164954,-0.0039066605380000605,1002.5660915792672,87.15457307068392,-0.031988899981878066,13.784674796854771,88.23796172667379,17.96741101030531,-0.05961020943112302,10.091148881015064,0.364314950594755,0.013300557417702683,-3.2228887403760558,3.1751536160295983,1.1036928390437244,-0.37946526829037236,4326.499121846635,0.2622819991194537,88.23796172667379,1.9219883003901772,1.1113623517553113,89846.59222233506,281.6333204047347,0.0,0.0,0.0,357.425,0.19182740390717687,0.85,nominal,13724.783706824795,nan,fixed_pitch,18.0,0.0,0.0
0.21,18.07847483573198,-0.004889699052529496,1002.9745894155656,87.70579730788596,-0.03276795048431452,13.61659454327778,88.75651864571175,17.961656188188094,-0.07804739535478393,10.187233829005784,0.4724113467271138,0.019737565142801814,-3.2070908998353587,3.5430939719117123,1.3626828252619754,-0.48611610282842793,4377.324849894494,0.2638246218375493,88.75651864571175,1.9520060066641192,1.1113177597039516,89842.14019928858,281.6306651687988,0.0,0.0,0.0,363.16249999999997,0.19490667852399834,0.85,nominal,13774.680558345444,nan,fixed_pitch,18.0,0.0,0.0
0.24,20.726399411691368,-0.005844359555542713,1003.3782929003731,88.26415253197953,-0.031822016767107233,13.456782826919403,89.2840783055981,17.955808987832373,-0.09808631042879123,10.27354238115784,0.5908466614779296,0.033200141096469675,-2.882920423411794,3.880655016312133,1.6055080655148546,-0.6017706681071023,4429.340597264154,0.26539400477650565,89.2840783055981,1.9822787434784332,1.1112736923538225,89837.74060309218,281.62804109614757,0.0,0.0,0.0,368.9,0.19798595314081988,0.85,nominal,13825.60305551153,nan,fixed_pitch,18.0,0.0,0.0
0.27,23.391290017674937,-0.006714710587713071,1003.7774441836477,88.82968686611893,-0.029011701072345276,13.305042775818945,89.8205893638976,17.94986940923815,-0.1194106600786789,10.339656966172035,0.7188661297761745,0.052677872240195066,-2.2117844887870457,4.194271975490124,1.8219565191401084,-0.7256465554601825,4482.556898006806,0.2669899961814167,89.8205893638976,2.012762022442553,1.111230123225924,89833.39078870905,281.6254466128063,0.0,0.0,0.0,374.6375,0.20106522775764138,0.85,nominal,13877.563209842525,nan,fixed_pitch,18.0,0.0,0.0
