time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,0.0,120.0,86.0,0.0,16.0,87.47571091451616,18.0,0.0,10.0,0.0,0.0,0.0,0.0,-0.5391837286282299,0.0,4633.093410827757,0.2574078588887444,87.47571091451614,1.7887233382662049,1.2109496630495968,99891.70180372041,287.37,0.0,0.0,0.0,334.4,0.17947005348411538,0.88,nominal,5002.798,nan,pitch_program,14.999999999999998,0.0,0.0,-20.05352282957881,-0.0,0.0,-2.6999999999999997,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.0,-0.047123889803846894,0.0,0.0,0.0,1.0,17.56339402572519,0.04248571114457688,-0.7813308927096466,-0.00027568490497605015,0.0007811719919156668,0.000485939220168199,17.58081604199399,0.0009604003193891711,1.0,0.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,1.0,120.4318804253634,0.0,1.0,87.99906270437734,4695.892219494843,1.0,1.0,-0.0842050595302957,16.428433789951782,-0.02428695936758103,-45.07045146137096,1.0,119.96205820182428,1.0,0.00982307525529414,0.7345592020211932,0.7,1.0,0.016828686967098827,9.895241635134976
0.03,2.5956430605347935,0.0,120.47330314433844,86.52143535115978,0.0,15.776771477948124,87.94808294381589,17.994615898395477,0.0,10.379294008134904,0.0,0.0,-12.64317977685787,0.0,0.04521865340142464,0.0,4683.052886220638,0.2587992560201085,87.94808294381589,1.8242603807479665,1.2108944909902168,99886.08128676451,287.3669235295618,0.0,0.0,0.0,340.34,0.1826580083815306,0.88,nominal,5048.872165026586,nan,pitch_program,14.977500000000001,0.0,0.0,0.76902912208448,-0.0,0.0,-0.6185825267493118,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.010796301787081387,0.0,0.0,-0.010796301787081387,0.0,0.0,0.03,1.0,17.848734372452476,-0.020150611323537855,-0.12937815653641707,0.0014013198376487883,-0.22198741038037403,-0.0006567103192016969,17.849214645269186,0.22199280468770904,1.0,0.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,1.0,120.4318804253634,0.0,1.0,87.80177974651848,4551.20589215681,1.0,1.0,-0.0842050595302957,16.428433789951782,-0.02428695936758103,-45.07045146137096,1.0,119.96205820182428,1.0,0.00982307525529414,0.7345592020211932,0.7,1.0,0.016828686967098827,9.895241635134976
0.06,5.207128993487495,0.0,120.94065156236364,87.04953109842339,0.0,15.578280600839731,88.43248097239996,17.98913615814403,0.0,10.796225657982468,0.0,0.0,-13.897782988219307,0.0,0.6500459454750832,0.0,4734.568319018214,0.26022603886584994,88.43248097239994,1.8510738370435031,1.2108400149490426,99880.5317339787,287.3638857648446,0.0,0.0,0.0,346.28000000000003,0.1858459632789458,0.88,nominal,5096.174486110993,nan,pitch_program,14.955000000000002,0.0,0.0,1.3262625956661882,-0.0,0.0,0.5483245466999881,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0095700687094202,0.0,0.0,0.0095700687094202,0.0,0.0,0.06,1.0,18.185568801550048,-0.09282470438348522,0.5597640368941253,0.0012690051685581081,-0.24401123807369438,6.691650302092794e-05,18.194418507846144,0.24401454702167524,1.0,0.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,1.0,120.50966063741403,0.0,1.0,88.11839013021853,4727.059606186884,1.0,1.0,-0.6798984261198893,15.741370535491098,-0.012755639329090402,-45.32936283380919,1.0,120.51354339296037,1.0,-0.007570696944051202,0.7318101456810738,0.6976483710940908,1.0,-0.9584155058592988,10.587445990957583
0.09,7.834554764130386,0.0,121.40275722275676,87.58085902142972,0.0,15.40352201310395,88.92511094926857,17.983560779245664,0.0,11.040779494174446,0.0,0.0,-8.15180691562328,0.0,1.0657458398376978,0.0,4787.2519080698885,0.26167704517477347,88.92511094926859,1.8802989770930982,1.2107861518686318,99875.04468206823,287.36088207805204,0.0,0.0,0.0,352.22,0.18903391817636103,0.88,nominal,5144.39202778841,nan,pitch_program,14.9325,0.0,0.0,0.036995931167045706,-0.0,0.0,0.21932981867999526,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0038280274837680806,0.0,0.0,0.0038280274837680806,0.0,0.0,0.09,1.0,18.391159030342905,-0.04869298025269183,0.8688758840858031,-0.0008124208664803149,-0.143220606402007,0.001795024212695956,18.411736658654316,0.14323415876719864,1.0,0.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,1.0,120.50966063741403,0.0,1.0,89.14141347607504,4738.163744720612,1.0,1.0,-0.6798984261198893,15.741370535491098,-0.012755639329090402,-45.32936283380919,1.0,120.51354339296037,1.0,-0.007570696944051202,0.7318101456810738,0.6976483710940908,1.0,-0.9584155058592988,10.587445990957583
0.12,10.47809308198667,0.0,121.86001166974489,88.11794392854276,0.0,15.241814899604547,89.42642206656606,17.977889761700375,0.0,11.128847223268112,0.0,0.0,-2.9355915477554313,0.0,1.315460575441586,0.0,4841.166759045408,0.26315359806378946,89.42642206656606,1.9107366881341084,1.210732856050431,99869.61547382081,287.3579099241466,0.0,0.0,0.0,358.16,0.19222187307377622,0.88,nominal,5193.58096525491,nan,pitch_program,14.910000000000002,0.0,0.0,-1.2074057246923406,-0.0,0.0,-0.6367115073434062,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.011112712188478492,0.0,0.0,-0.011112712188478492,0.0,0.0,0.12,1.0,18.81005117015915,-0.07421896129332882,1.027512834367189,0.0008288514001296105,-0.046563314416658994,-0.0002654340544112042,18.838240791087962,0.04657144725414254,1.0,0.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,1.0,121.9964128832742,0.0,1.0,89.1432510331305,4768.733148768381,1.0,1.0,0.939779523144335,15.56642170147764,-0.02340851127904854,-45.382817873931266,1.0,121.62317243042368,1.0,0.0058785478850888855,0.7513002134429445,0.6953499708256378,1.0,0.31641176703809826,11.26830384482605
0.15,13.137975432193894,0.0,122.31259638157877,88.66274500690751,0.0,15.086157061129454,89.9370584744296,17.97212310550816,0.0,11.159951844964713,0.0,0.0,-1.0368207486840568,0.0,1.5034338154168645,0.0,4896.398643836677,0.26465759376856984,89.9370584744296,1.9417917762256833,1.2106801062859285,99864.24194698218,287.3549681235197,0.0,0.0,0.0,364.1,0.19540982797119144,0.88,nominal,5243.814066821894,nan,pitch_program,14.8875,0.0,0.0,-1.65431622707778,-0.0,0.0,-1.2472743391840304,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.021769043894397856,0.0,0.0,-0.021769043894397856,0.0,0.0,0.15,1.0,19.02991201756752,-0.004076526513633609,1.1271492153994236,0.0005341027584036471,-0.018028474312373876,-0.0037697934285378476,19.06326397467665,0.018426136173444126,1.0,0.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,1.0,121.9964128832742,0.0,1.0,89.94351066247874,4813.746126130957,1.0,1.0,0.939779523144335,15.56642170147764,-0.02340851127904854,-45.382817873931266,1.0,121.62317243042368,1.0,0.0058785478850888855,0.7513002134429445,0.6953499708256378,1.0,0.31641176703809826,11.26830384482605
0.18,15.814446489320655,0.0,122.76066051041627,89.21570190422536,0.0,14.93547096125018,90.45722612980097,17.966260810669024,0.0,11.200127865167739,0.0,0.0,-1.3392007283064995,0.0,1.6964528946737614,0.0,4952.987242386862,0.26618963899331505,90.45722612980097,1.9731480981501623,1.2106278851375025,99858.92232353262,287.3520557066823,0.0,0.0,0.0,370.04,0.19859778286860666,0.88,nominal,5295.125710943447,nan,pitch_program,14.865,0.0,0.0,-1.5458215914912843,-0.0,0.0,-1.4264026905683829,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.024895423409724147,0.0,0.0,-0.024895423409724147,0.0,0.0,0.18,1.0,19.29767799540304,0.018910536891683094,1.340320104955512,-0.0005192007835643458,-0.025758896280625984,0.0003088937713254065,19.34417720158746,0.025765979942778513,1.0,0.0,-1.1162081080547748,-0.4584631380317187,119.8408002840318,86.00638427343237,0.12549532301118693,16.279364599631737,1.0,122.92598020897582,0.0,1.0,90.42159086650058,4888.704708055589,1.0,1.0,-0.8111352217777981,15.468718485207761,-0.030786737463831246,-45.4791933624763,1.0,122.85272743245683,1.0,-0.012853064863630205,0.7394270689337678,0.6930983487239593,1.0,0.11310694744292515,11.65542701380733
0.21,18.507738701264934,0.0,123.20440788888716,89.77640706480926,0.0,14.791579282362939,90.98677971624649,17.960302877182965,0.0,11.252603892227146,0.0,0.0,-1.7492010242544977,0.0,1.8965943837359636,0.0,5010.934354095332,0.26774930691997456,90.98677971624649,2.0047079123980684,1.2105761687977599,99853.65417668018,287.3491713487222,0.0,0.0,0.0,375.98,0.20178573776602185,0.88,nominal,5347.519548189936,nan,pitch_program,14.8425,0.0,0.0,-1.4034888968660433,-0.0,0.0,-1.412654414346979,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.024655470723187006,0.0,0.0,-0.024655470723187006,0.0,0.0,0.21,1.0,19.578546891995884,-0.029904349387834518,1.4825366276591665,0.0016542400990902355,-0.03363729575594311,-0.00027014707696579337,19.634620126820508,0.03367903139226869,1.0,0.0,18.132931727221244,1.7349939295591268,121.63122863076089,89.78373908425705,-0.17244246965250445,15.029373747132901,1.0,122.92598020897582,0.0,1.0,90.52472328417444,5058.709513666017,1.0,1.0,-0.8111352217777981,15.468718485207761,-0.030786737463831246,-45.4791933624763,1.0,122.85272743245683,1.0,-0.012853064863630205,0.7394270689337678,0.6930983487239593,1.0,0.11310694744292515,11.65542701380733
0.24,21.218075953498833,0.0,123.64407591997708,90.34457507446328,0.0,14.655601036330541,91.52556411801801,17.954249305049984,0.0,11.293667724356805,0.0,0.0,-1.3687944629129078,0.0,2.079471538929067,0.0,5070.240625466777,0.2693361419934717,91.52556411801801,2.036433530227123,1.2105249295506602,99848.43468159264,287.3463135065201,0.0,0.0,0.0,381.92,0.20497369266343707,0.88,nominal,5400.9986206813555,nan,pitch_program,14.82,0.0,0.0,-1.4651105746535655,-0.0,0.0,-1.444128110530931,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.02520479034936934,0.0,0.0,-0.02520479034936934,0.0,0.0,0.24,1.0,19.924137150967876,-0.06286415658082214,1.6560484501885189,0.0005369893937515798,-0.024591585536640124,-0.0013825964985370832,19.992940993814113,0.02463627426971571,1.0,0.0,18.132931727221244,1.7349939295591268,121.63122863076089,89.78373908425705,-0.17244246965250445,15.029373747132901,1.0,124.51967169813743,0.0,1.0,91.65485254066249,5026.899973901712,1.0,1.0,-1.2711005404741973,15.373558835726696,0.0458382843691642,-45.43593922972166,1.0,123.56799287577564,1.0,0.0037891423914814455,0.7566224689121959,0.6908898102000574,1.0,-0.14162378813977217,11.067430737730591
0.27,23.94568679711534,0.0,124.07988528894647,90.92036145388352,0.0,14.526978965646148,92.07358603189708,17.94810009427008,0.0,11.309316600353265,0.0,0.0,-0.5216292031246766,0.0,2.2315003743018287,0.0,5130.924651658292,0.2709501647826939,92.07358603189707,2.068286970635963,1.2104741416323965,99843.26121242577,287.34348074562183,0.0,0.0,0.0,387.86,0.20816164756085226,0.88,nominal,5455.580629455423,nan,pitch_program,14.7975,0.0,0.0,-1.6576314152452503,-0.0,0.0,-1.5722300933595226,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.027440591728061504,0.0,0.0,-0.027440591728061504,0.0,0.0,0.27,1.0,20.185519199049622,0.012986545480746896,1.7902167257073738,0.0001008581770616397,-0.007152855598965722,-0.0008899924228326387,20.264753388841594,0.007208717091427225,1.0,0.0,18.132931727221244,1.7349939295591268,121.63122863076089,89.78373908425705,-0.17244246965250445,15.029373747132901,1.0,124.51967169813743,0.0,1.0,91.69470724547001,5135.00911932998,1.0,1.0,-1.2711005404741973,15.373558835726696,0.0458382843691642,-45.43593922972166,1.0,123.56799287577564,1.0,0.0037891423914814455,0.7566224689121959,0.6908898102000574,1.0,-0.14162378813977217,11.067430737730591
