time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality
0.0,0.0,0.0,1000.0,84.0,0.0,15.0,85.32877591996736,18.0,0.0,9.0,0.0,0.0,0.0,0.0,-1.1246716553978162,0.0,4046.934522364112,0.25362711007788913,85.32877591996736,1.7329231744426616,1.1116425003060326,89874.56291621955,281.65,0.0,0.0,0.0,323.0,0.17335175620624782,0.85,nominal,13447.15,nan,fixed_pitch,18.0,0.0,0.0,-20.05352282957881,-0.0,0.0,-2.6999999999999997,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.0,-0.047123889803846894,0.0,0.0,0.0,1.0,17.007343798494418,-0.2892272845464373,-0.6380093276952116,0.001565738031183101,-0.0036571952164712266,-0.0013815102141609857,17.021764050900796,0.004211316053860633,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,999.9769622121428,0.0,1.0,85.36896211336294,4098.066982106759,1.0,1.0,0.4914089296374223,17.192599608587877,-0.01757678299780929,-44.78148816809228,1.0,999.9011865279573,0.0,1.0,-0.26702259647059245,9.19094030623817,,,
0.03,2.5351789957121817,-0.00022542513550626367,1000.4430414013383,84.50596652373939,-0.0075141711835421225,14.768046711275922,85.7866751788444,17.994799447313813,-0.003041183605462435,9.13458162651677,0.019297529388626996,0.0,-4.486073134779234,0.6350942606475132,-0.7781784168338118,-0.024069355214791234,4090.3071457318083,0.25498945119058214,85.7866751788444,1.766860385400648,1.1115941281793602,89869.73321037232,281.6471202308913,0.0,0.0,0.0,328.7375,0.17643103082306932,0.85,nominal,13490.671571078712,nan,fixed_pitch,18.0,0.0,0.0,-3.8511399858682895,-0.006133053604368538,-0.05956504071292876,-3.390683991520974,0.0,-0.035739024427757254,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.059178599546704486,0.0,-0.0006237636477150464,-0.059178599546704486,0.0,-0.0006237636477150464,0.03,1.0,17.35958849062994,-0.24360823976173265,-0.39622679593315385,-0.0030523316384910115,-0.07443396576854167,0.011062999514282192,17.365818529867997,0.07531349113350658,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,999.9769622121428,0.0,1.0,86.11426890842634,4060.059405079099,1.0,1.0,0.4914089296374223,17.192599608587877,-0.01757678299780929,-44.78148816809228,1.0,999.9011865279573,0.0,1.0,-0.26702259647059245,9.19094030623817,,,
0.06,5.085811461851493,-0.000673463740157197,1000.8793386250366,85.0210822046437,-0.014934620155031112,14.543240789943177,86.25595918524081,17.98950651638912,-0.009403132226318804,9.444834248168565,0.059734023033013735,0.005519973320646495,-10.341923704024028,1.3290871026564488,-0.2619191592881443,-0.06884219785961619,4135.0032522454185,0.2563856261034356,86.25595918524081,1.801979622149768,1.1115464939689164,89864.97722989027,281.64428429893724,0.0,0.0,0.0,334.47499999999997,0.17951030543989083,0.85,nominal,13535.318613610178,nan,fixed_pitch,18.0,0.0,0.0,-2.21860665773589,-0.013894343980634402,-0.13291893939217445,-2.6874375912499238,0.0,-0.09404697340640755,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.04690463440917672,0.0,-0.001641429337477359,-0.04690463440917672,0.0,-0.001641429337477359,0.06,1.0,17.690497241616097,-0.2736267990004747,-0.054196292018478746,0.0019102861751529115,-0.18041387147545493,0.021888835505989027,17.692696276114237,0.18174689910378442,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,1001.5364353114186,0.0,1.0,85.96124869925035,4066.9942246503865,1.0,1.0,2.162383864262022,16.81658790628632,0.03277513354009569,-44.90766239736075,1.0,1001.1141293738146,0.0,1.0,0.01815596451068684,9.459923533358687,,,
0.09,7.652138091927624,-0.0013333066216253129,1001.3093803982217,85.54422100253768,-0.021994762715603862,14.334725772839965,86.73695056712059,17.984121207225925,-0.019366239544467593,9.802529784811446,0.12308918577340866,0.020947511229566524,-11.923745593152194,2.0791357340901335,0.2898232897325131,-0.13582768794099676,4181.071479054282,0.25781659543348506,86.73695056712059,1.8332740392342537,1.1114995442464255,89860.28963814722,281.6414890274115,0.0,0.0,0.0,340.2125,0.18258958005671233,0.85,nominal,13581.13993212378,nan,fixed_pitch,18.0,0.0,0.0,-1.6278580144192474,-0.023383362704158656,-0.22064455866593896,-2.051689845151518,0.0,-0.17000552456212636,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.035808743027626606,0.0,-0.0029671561501891965,-0.035808743027626606,0.0,-0.0029671561501891965,0.09,1.0,17.877557552951348,-0.3565427858289817,0.3889481483177771,-0.0005497546974927105,-0.20813700781695618,0.03514933861420184,17.88534225222694,0.2110847987379454,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,1001.5364353114186,0.0,1.0,87.13899806143463,4141.766735125006,1.0,1.0,2.162383864262022,16.81658790628632,0.03277513354009569,-44.90766239736075,1.0,1001.1141293738146,0.0,1.0,0.01815596451068684,9.459923533358687,,,
0.12,10.234343153415178,-0.0021847097189029354,1001.7337047119046,86.07350204958513,-0.02838010324258742,14.144143789428437,87.22789326841628,17.978643519824224,-0.03297716082437011,10.08904402564656,0.2109131606651873,0.05192530238964734,-9.55181063997221,2.879117508341179,0.7572948795593984,-0.22632758696562968,4228.360039262111,0.2592771412781471,87.22789326841628,1.8613521915032207,1.1114532202134102,89855.66456259186,281.6387309193726,0.0,0.0,0.0,345.95,0.18566885467353383,0.85,nominal,13628.004517336109,nan,fixed_pitch,18.0,0.0,0.0,-2.0653340782007845,-0.0342268750883672,-0.32278079385745123,-2.059876384981078,0.0,-0.2616706861393213,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.035951625101998085,0.0,-0.004567015029083846,-0.035951625101998085,0.0,-0.004567015029083846,0.12,1.0,18.228592681295815,-0.28219679403358355,0.7383130393989789,0.0009769051061086487,-0.16770918588495015,0.051542442246848105,18.245720931640403,0.17545355147887082,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,1001.2149673326625,0.0,1.0,86.86251070487884,4233.929057621772,1.0,1.0,-1.5707019161123168,16.334022292848086,-0.08018245047011686,-45.15835804338463,1.0,1001.8050426551163,0.0,1.0,-0.17103164356715247,10.007899002519537,,,
0.15,12.83259099146876,-0.003196790471206931,1002.1527401452728,86.60826126845267,-0.03373602507679984,13.967847778940188,87.72737787965391,17.973073454184018,-0.049883812989460215,10.270360711270909,0.3244597269596349,0.1053717644771429,-6.046586660281579,3.720939458876828,1.1089378818764997,-0.3413887471158566,4276.747549669274,0.26076307570797846,87.72737787965391,1.8904798588828853,1.111407475023805,89851.0973242622,281.6360071890557,0.0,0.0,0.0,351.6875,0.18874812929035537,0.85,nominal,13675.807583965434,nan,fixed_pitch,18.0,0.0,0.0,-2.8450808112476347,-0.045637088154782596,-0.4390639287749095,-2.530999040741012,0.0,-0.3681066317206742,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.04417426662574876,0.0,-0.0064246727219519646,-0.04417426662574876,0.0,-0.0064246727219519646,0.15,1.0,18.457749208197175,-0.18417793080002137,0.974105744941247,0.001106017526034772,-0.10451613819886002,0.06536549658309722,18.48435309512412,0.12327811874913568,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,1001.2149673326625,0.0,1.0,87.12054581119057,4364.799942059321,1.0,1.0,-1.5707019161123168,16.334022292848086,-0.08018245047011686,-45.15835804338463,1.0,1001.8050426551163,0.0,1.0,-0.17103164356715247,10.007899002519537,,,
0.18,15.447079106462139,-0.004326970665909478,1002.5667786348297,87.14960383311268,-0.037672673156751574,13.801282985228376,88.235651975475,17.96741101030531,-0.06935835358876175,10.377865198195458,0.46469388677306894,0.1885908446290159,-3.5882673595569563,4.595063706990148,1.3793188746377951,-0.4817676419609637,4326.272328603585,0.2622751356033017,88.235651975475,1.9202516774257885,1.1113622767544578,89846.58473429429,281.6333159388736,0.0,0.0,0.0,357.425,0.19182740390717687,0.85,nominal,13724.586639467823,nan,fixed_pitch,18.0,0.0,0.0,-3.4045532352825565,-0.056732991421550055,-0.5691291919471807,-3.0551315574659386,0.0,-0.4887201678565781,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.05332210475936298,0.0,-0.008529776049996647,-0.05332210475936298,0.0,-0.008529776049996647,0.18,1.0,18.783369672450515,-0.18555067725790747,1.0739266736027324,0.004959368256925818,-0.06482873880461901,0.0836980940006331,18.814960106416386,0.10598458212326986,1.0,0.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1.0,1003.8099894632475,0.0,1.0,89.28418889300113,4371.546904848257,1.0,1.0,0.8561765318365187,16.07586703931786,-0.15113466683769564,-45.21399110073321,1.0,1002.718022787746,0.0,1.0,-0.4297292202104743,9.942951759461963,,,
0.21,18.07802522896717,-0.005520037293585831,1002.976039729378,87.69820408350101,-0.03976888758921178,13.642036484946761,88.75292525033996,17.961656188188094,-0.09039880370604927,10.454277243207018,0.6322878528710513,0.3086577650015384,-2.554725985907509,5.4908536842844144,1.6128533736411241,-0.6479034568587194,4376.969792893059,0.263813945052337,88.75292525033996,1.9504346984683703,1.1113176013886166,89842.12439332844,281.630655741759,0.0,0.0,0.0,363.16249999999997,0.19490667852399834,0.85,nominal,13774.375850258322,nan,fixed_pitch,18.0,0.0,0.0,-3.6253936063382772,-0.0667069981592927,-0.7124781411337793,-3.3972887867893418,-0.04002419889557562,-0.6229749518228987,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.05929387497055765,-0.0006985540512008726,-0.010872964066762634,-0.05929387497055765,-0.0006985540512008726,-0.010872964066762634,0.21,1.0,19.019344064009427,-0.18537451274280212,1.2756531255762602,0.00498400484965435,-0.042159571158128246,0.09637676297123943,19.06297729191161,0.10531263070208209,1.0,0.0,17.672566477496197,-0.596747614242908,1002.771969531633,87.58059312416539,0.1566594857068785,13.340932363836822,1.0,1003.8099894632475,0.0,1.0,89.07936966433549,4368.659176277708,1.0,1.0,0.8561765318365187,16.07586703931786,-0.15113466683769564,-45.21399110073321,1.0,1002.718022787746,0.0,1.0,-0.4297292202104743,9.942951759461963,,,
0.24,20.725652045617085,-0.006707351398227586,1003.3807312894186,88.25422722166384,-0.039577136821391815,13.48971866801766,89.27924002020343,17.955808987832373,-0.11246521234081505,10.521502916733898,0.8275741470657021,0.44937154366487275,-2.252183908113307,6.3968207914096595,1.8317698329519077,-0.839877825554959,4428.859499431956,0.2653796305988437,89.27924002020343,1.9809065932429495,1.111273426188906,89837.7140298432,281.62802524661873,0.0,0.0,0.0,368.9,0.19798595314081988,0.85,nominal,13825.194997791921,nan,fixed_pitch,18.0,0.0,0.0,-3.668787423119045,-0.07614017204389592,-0.8683445929532996,-3.560187968587164,-0.061693782784567795,-0.7701967365011393,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.06213700204173446,-0.0010767596376009035,-0.01344246894006007,-0.06213700204173446,-0.0010767596376009035,-0.01344246894006007,0.24,1.0,19.364639297565162,-0.19920043806794716,1.432762477994094,0.0061521491345027535,-0.03813652690210778,0.11186397361061313,19.418592746583858,0.1183460697069586,1.0,0.0,17.672566477496197,-0.596747614242908,1002.771969531633,87.58059312416539,0.1566594857068785,13.340932363836822,1.0,1003.5419575385267,0.0,1.0,89.91450217136727,4465.458666164412,1.0,1.0,0.16125826537362803,15.99462155229011,-0.20729514882053113,-45.186119298009025,1.0,1003.1337065430047,0.0,1.0,0.0360588170128545,9.78521366732268,,,
0.27,23.390180948350878,-0.0078062020356132735,1003.7810698569756,88.81763009112643,-0.03662835457952292,13.344618918568917,89.8145400852354,17.94986940923815,-0.13443216552387857,10.580067629507422,1.050490704008917,0.6283559994969555,-1.96789172923819,7.300710267548159,2.0364453881310496,-1.0574216635497091,4481.951535503878,0.2669720259857973,89.8145400852354,2.0115990160092223,1.1112297274736345,89833.35127814082,281.62542304592967,0.0,0.0,0.0,374.6375,0.20106522775764138,0.85,nominal,13877.055434074085,nan,fixed_pitch,18.0,0.0,0.0,-3.712617816332545,-0.0836628465718023,-1.035650247532363,-3.651645877234392,-0.0748752210569085,-0.9294688431198737,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.06373324367461679,-0.0013068191356016418,-0.01622229160714444,-0.06373324367461679,-0.0013068191356016418,-0.01622229160714444,0.27,1.0,19.640501478373825,-0.12044393251624613,1.5328603179973,0.009074805185370826,-0.03430433806775462,0.12656286797433608,19.700595570118566,0.13144314074651614,1.0,0.0,17.672566477496197,-0.596747614242908,1002.771969531633,87.58059312416539,0.1566594857068785,13.340932363836822,1.0,1003.5419575385267,0.0,1.0,89.7858600146989,4492.962010795239,1.0,1.0,0.16125826537362803,15.99462155229011,-0.20729514882053113,-45.186119298009025,1.0,1003.1337065430047,0.0,1.0,0.0360588170128545,9.78521366732268,,,
