time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg
0.0,0.0,250.0,1200.0,48.0,-3.0,-1.0,48.104053883222775,11.0,0.0,-2.0,-5.000000000000001,0.0,0.0,0.0,-0.8084664277189543,1.423357908392787,1261.0944322985495,0.14331327893915746,48.104053883222775,0.4481219442643677,1.0899692586850038,87715.57267821583,280.34999999999997,0.0,0.0,0.0,2.7032275714625205,0.00014258355784676151,0.04,nominal,12924.98,1494.4564229177108,target_intercept,-14.999999999999998,-11.309932474020213,0.0
0.04,1.9139458067389634,249.87653329927215,1199.9451917482008,47.848645168474086,-3.086667518196172,-1.3702062949782654,47.9676748041556,10.999994296657686,-0.225539592613863,-2.719580304003273,-3.2400989840603867,-7.450259097598373,17.903235043782935,44.0,-1.0808592780571946,-0.45495332821800333,1253.9607304967385,0.14290688282014768,47.9676748041556,0.40859390023330877,1.0899751534059234,87716.15852230036,280.3503562536367,0.0,0.0,0.0,4.811265803493781,0.00025305398405520184,0.07111111111111111,nominal,12917.891427716104,1492.8066126248584,target_intercept,-14.999999999999998,-11.321378837633594,0.0
0.08,3.822127831237636,249.7508830747455,1199.872934341248,47.70455061246682,-3.1412556131664617,-1.80643517382063,47.84197784375009,10.999984174498325,0.00786140901630029,-3.703695769359244,0.08030913010291427,1.1829663755363788,24.445928616919225,82.95257303183811,-1.5354303001637248,-3.8447319198698398,1247.406348711697,0.1425322828868831,47.84197784375009,0.5010917926845717,1.0899829248504984,87716.93088482629,280.35082592678185,0.0,0.0,0.0,6.455261243164964,0.0003386320892227158,0.09530864197530864,nominal,12911.161333558537,1491.152770978785,target_intercept,-14.999999999999998,-11.332711865877055,0.0
0.12,5.724494873257456,249.62497623051746,1199.7797065505108,47.559176050495495,-3.1476711057007614,-2.3306947684342303,47.72017600654145,10.999970629214756,1.164435859894052,-4.447616619345071,4.0273826652991245,21.89855636505489,19.60515853283613,98.27547344111109,-1.7811117989397076,-7.76998163975759,1241.0742577926114,0.1421692534801484,47.72017600654145,0.5573608369505537,1.089992951769046,87717.92740882118,280.35143190742167,0.0,0.0,0.0,7.737885285412589,0.0004048829470814868,0.11412894375857338,nominal,12904.427258291214,1489.4933877545402,target_intercept,-14.999999999999998,-11.344015751527971,0.0
0.16,7.620881854901944,249.50181519709102,1199.6650337878261,47.40967454111221,-3.0790258356607145,-2.8668190671176648,47.59596928054348,10.999954433896873,3.5176901007109596,-4.992817231282629,7.4305637028315985,51.83367823226174,17.08607715673203,84.2028444949255,-2.161552080231632,-11.014324964399199,1234.636065549743,0.1417990249039999,47.59596928054348,0.702072857692427,1.0900052852531352,87719.15317348641,280.3521772803791,0.0,0.0,0.0,8.739451630608842,0.00045609942032812946,0.12876695625666817,nominal,12897.383249472603,1487.8288187493233,target_intercept,-14.999999999999998,-11.355421840036547,0.0
0.2,9.510609830020144,249.38489531445344,1199.5285072444462,47.24319937795499,-2.922997065939467,-3.4131635844998933,47.45643776103779,10.99993618992006,7.051467872458385,-5.5580046253451165,9.10406857762216,84.52195104884753,17.914867849466052,40.20284449492549,-2.8932584068264484,-12.350967823014608,1227.424335908336,0.14138310557178962,47.45643776103778,0.9307592852762162,1.0900199693322146,87720.61255654166,280.35306470291107,0.0,0.0,0.0,9.523309879053413,0.0004955508361341826,0.14015207708851968,nominal,12889.412978052374,1486.159966740473,target_intercept,-14.999999999999998,-11.367079525924304,0.0
0.24,11.39258627892551,249.27709022906868,1199.367922377953,47.04941122263415,-2.6951271346193995,-4.014621662333439,47.29723029692089,10.999916367886614,11.517284811450772,-6.171998055353077,9.050377394058412,111.83935115647733,14.944843612377301,-3.797155505074503,-3.6511680878537223,-11.795647029943634,1219.2219113937613,0.14090852940883927,47.29723029692089,1.124185120050804,1.0900372411920578,87722.32913313244,280.35410850454326,0.0,0.0,0.0,10.138534154557087,0.0005257945008566718,0.14900717106884864,nominal,12880.295432867737,1484.4870331092848,target_intercept,-14.999999999999998,-11.379107694256826,0.0
0.28,13.265946520058163,249.1804022359988,1199.1810079781005,46.834006028316345,-2.4171998267471575,-4.672859996309224,47.128575155715296,10.99989533610658,16.58614347478751,-6.863163994706955,7.243094047625426,131.94368800245252,5.868208931959169,-47.7971555050745,-3.958600726868186,-9.412115474140489,1210.5645997350216,0.1404057655669475,47.128575155715296,1.181723266757571,1.090057345213879,87724.3271942893,280.3553234481423,0.0,0.0,0.0,10.622136383733459,0.0005489102553454388,0.15589446638688229,nominal,12870.49972999239,1482.8098445482449,target_intercept,-14.999999999999998,-11.391589107183794,0.0
0.32,15.130692679771059,249.0955171428885,1198.966994185776,46.61865399282237,-2.1221273277576325,-5.350344808110628,46.97263580068065,10.999873379696366,21.844912873973485,-7.734957091786577,3.6352868798762947,143.05116009543474,-8.8853132528542,-91.7971555050745,-3.3859498620638324,-5.324475557277475,1202.5921992319845,0.13994084281548252,46.97263580068065,1.0359353336708415,1.0900803643234978,87726.61498540736,280.3567145377924,0.0,0.0,0.0,11.001463005464053,0.0005666312664806191,0.16125125163424178,nominal,12861.063930563632,1481.1280703750936,target_intercept,-14.999999999999998,-11.40455604534178,0.0
0.36,16.987993543409047,249.0210426582416,1198.7272759306497,46.43252159094974,-1.8618621161718802,-5.992956378156197,46.8546808545756,10.999850714445707,26.899851422828487,-8.649160017893363,-1.2064158260279114,143.75211224497312,-28.68820334451163,-118.77779232519221,-1.6476477993300513,-0.3761713269827053,1196.5883265789967,0.13958904362084756,46.85468085457559,0.6003105926584105,1.0901061486210082,87729.1776126367,280.35827270645075,0.0,0.0,0.0,11.296839094871785,0.0005803835421663487,0.16541764015996582,nominal,12853.179399497372,1479.4411978957044,target_intercept,-14.999999999999998,-11.417958687484374,0.0
