time_s,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad
0.0,-20.05352282957881,-0.0,0.0,-2.6999999999999997,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.0,-0.047123889803846894,0.0,0.0
0.03,-1.7237007728769524,-0.0,0.0,-2.1142204637261712,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03690010820506303,0.0,0.0,-0.03690010820506303,0.0,0.0
0.06,-0.6603986788887833,-0.0,0.0,-1.2419273928237384,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.021675722075483232,0.0,0.0,-0.021675722075483232,0.0,0.0
0.09,-1.011164122557917,-0.0,0.0,-1.1034694306642456,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.019259174760198366,0.0,0.0,-0.019259174760198366,0.0,0.0
0.12,-1.8759817280828814,-0.0,0.0,-1.5669768091154272,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0273489046214589,0.0,0.0,-0.0273489046214589,0.0,0.0
0.15,-2.4586539633916344,-0.0,0.0,-2.1019831016811517,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03668652594561885,0.0,0.0,-0.03668652594561885,0.0,0.0
0.18,-2.608007107463138,-0.0,0.0,-2.4055975051503435,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04198559694263474,0.0,0.0,-0.04198559694263474,0.0,0.0
0.21,-2.5735406621868293,-0.0,0.0,-2.5063633993722347,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04374429357052308,0.0,0.0,-0.04374429357052308,0.0,0.0
0.24,-2.5911791264004838,-0.0,0.0,-2.557252835589184,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04463248178699249,0.0,0.0,-0.04463248178699249,0.0,0.0
0.27,-2.709118154555073,-0.0,0.0,-2.648372026968717,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.046222811688320174,0.0,0.0,-0.046222811688320174,0.0,0.0
0.3,-2.8569316101541675,-0.0,0.0,-2.7735077768799874,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04840684253622404,0.0,0.0,-0.04840684253622404,0.0,0.0
0.32999999999999996,-2.9701318069980505,-0.0,0.0,-2.8914821949508256,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05046588456468446,0.0,0.0,-0.05046588456468446,0.0,0.0
0.36,-3.0405485486608685,-0.0,0.0,-2.9809220071768516,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.052026903770394095,0.0,0.0,-0.052026903770394095,0.0,0.0
0.39,-3.092596795279305,-0.0,0.0,-3.047926880038324,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05319635941670698,0.0,0.0,-0.05319635941670698,0.0,0.0
0.42,-3.1456075734022293,-0.0,0.0,-3.106535296056667,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.054219269245605654,0.0,0.0,-0.054219269245605654,0.0,0.0
0.44999999999999996,-3.2012081138673123,-0.0,0.0,-3.1633389867430544,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05521068067536755,0.0,0.0,-0.05521068067536755,0.0,0.0
0.48,-3.252903710499031,-0.0,0.0,-3.21707782099664,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.056148600269276136,0.0,0.0,-0.056148600269276136,0.0,0.0
0.51,-3.297004717274018,-0.0,0.0,-3.265033958763067,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05698559276984028,0.0,0.0,-0.05698559276984028,0.0,0.0
0.54,-3.3348388481897246,-0.0,0.0,-3.3069168924190615,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05771658786253173,0.0,0.0,-0.05771658786253173,0.0,0.0
0.57,-3.3692375854321215,-0.0,0.0,-3.3443093082268978,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05836920863365325,0.0,0.0,-0.05836920863365325,0.0,0.0
0.6,-3.401550916466128,-0.0,0.0,-3.378654273170436,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.05896864135340002,0.0,0.0,-0.05896864135340002,0.0,0.0
0.63,-3.4316196804368486,-0.0,0.0,-3.4104335175302833,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0595232938012752,0.0,0.0,-0.0595232938012752,0.0,0.0
0.6599999999999999,-3.4591081201142777,-0.0,0.0,-3.4396382790806803,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06003301304758946,0.0,0.0,-0.06003301304758946,0.0,0.0
0.69,-3.484209287366438,-0.0,0.0,-3.4663808840521346,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06049975955490155,0.0,0.0,-0.06049975955490155,0.0,0.0
0.72,-3.507409746136764,-0.0,0.0,-3.490998201302912,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.060929412793935614,0.0,0.0,-0.060929412793935614,0.0,0.0
0.75,-3.52906659142384,-0.0,0.0,-3.513839235375469,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06132806404306194,0.0,0.0,-0.06132806404306194,0.0,0.0
0.78,-3.549317571222712,-0.0,0.0,-3.5351262368838143,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06169959230725957,0.0,0.0,-0.06169959230725957,0.0,0.0
0.8099999999999999,-3.5682324993495276,-0.0,0.0,-3.5549899943632424,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06204628027709323,0.0,0.0,-0.06204628027709323,0.0,0.0
0.84,-3.585924489789179,-0.0,0.0,-3.5735506916188045,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.062370225555668665,0.0,0.0,-0.062370225555668665,0.0,0.0
0.87,-3.6025341992212714,-0.0,0.0,-3.590940796180284,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06267374013753257,0.0,0.0,-0.06267374013753257,0.0,0.0
0.8999999999999999,-3.618176984382616,-0.0,0.0,-3.607282509101683,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06295895683342669,0.0,0.0,-0.06295895683342669,0.0,0.0
0.9299999999999999,-3.6329311460248577,-0.0,0.0,-3.6226716912555883,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06322754873120148,0.0,0.0,-0.06322754873120148,0.0,0.0
0.96,-3.646858903863693,-0.0,0.0,-3.6371840188204514,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06348083662933628,0.0,0.0,-0.06348083662933628,0.0,0.0
0.99,-3.6600213567434237,-0.0,0.0,-3.650886421574235,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06371998867282413,0.0,0.0,-0.06371998867282413,0.0,0.0
1.02,-3.6724763067313666,-0.0,0.0,-3.6638403526685135,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06394607742149577,0.0,0.0,-0.06394607742149577,0.0,0.0
1.05,-3.684272373669801,-0.0,0.0,-3.6760995652692863,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06416004104508123,0.0,0.0,-0.06416004104508123,0.0,0.0
1.08,-3.695449246463219,-0.0,0.0,-3.687709373985646,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06436267043270845,0.0,0.0,-0.06436267043270845,0.0,0.0
1.1099999999999999,-3.706041422100011,-0.0,0.0,-3.698708602854265,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06455464319164626,0.0,0.0,-0.06455464319164626,0.0,0.0
1.14,-3.716080162647442,-0.0,0.0,-3.7091315387301718,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06473655774040507,0.0,0.0,-0.06473655774040507,0.0,0.0
1.17,-3.7255932350290535,-0.0,0.0,-3.719008556509501,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06490894422093238,0.0,0.0,-0.06490894422093238,0.0,0.0
1.2,-3.7346046869529994,-0.0,0.0,-3.7283662347756,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06507226651701813,0.0,0.0,-0.06507226651701813,0.0,0.0
1.23,-3.74313550924555,-0.0,0.0,-3.73722779945757,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06522692999759695,0.0,0.0,-0.06522692999759695,0.0,0.0
1.26,-3.751204420535432,-0.0,0.0,-3.7456137721042873,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06537329283126435,0.0,0.0,-0.06537329283126435,0.0,0.0
1.29,-3.758828214373172,-0.0,0.0,-3.7535424374656183,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0655116741471084,0.0,0.0,-0.0655116741471084,0.0,0.0
1.3199999999999998,-3.7660218870810707,-0.0,0.0,-3.7610301072348897,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06564235863788423,0.0,0.0,-0.06564235863788423,0.0,0.0
1.3499999999999999,-3.7727988538523753,-0.0,0.0,-3.7680913552053807,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06576560066426906,0.0,0.0,-0.06576560066426906,0.0,0.0
1.38,-3.779171228589612,-0.0,0.0,-3.7747392792359196,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06588162882702442,0.0,0.0,-0.06588162882702442,0.0,0.0
1.41,-3.785150033606152,-0.0,0.0,-3.780985731858059,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06599064999185059,0.0,0.0,-0.06599064999185059,0.0,0.0
1.44,-3.790745332583617,-0.0,0.0,-3.7868414922933935,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0660928522916552,0.0,0.0,-0.0660928522916552,0.0,0.0
1.47,-3.7959663503268133,-0.0,0.0,-3.792316407113445,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06618840758153133,0.0,0.0,-0.06618840758153133,0.0,0.0
1.5,-3.800821596294085,-0.0,0.0,-3.797419520621829,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06627747371435562,0.0,0.0,-0.06627747371435562,0.0,0.0
1.53,-3.8053189702048704,-0.0,0.0,-3.8021591903716536,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06636019655694723,0.0,0.0,-0.06636019655694723,0.0,0.0
1.56,-3.809465843239792,-0.0,0.0,-3.806543182092536,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06643671164685681,0.0,0.0,-0.06643671164685681,0.0,0.0
1.5899999999999999,-3.813269126771228,-0.0,0.0,-3.8105787488997516,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06650714557482691,0.0,0.0,-0.06650714557482691,0.0,0.0
1.6199999999999999,-3.816735335108398,-0.0,0.0,-3.8142727006249397,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06657161719484117,0.0,0.0,-0.06657161719484117,0.0,0.0
1.65,-3.819870639768348,-0.0,0.0,-3.8176314641109848,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06663023867646842,0.0,0.0,-0.06663023867646842,0.0,0.0
1.68,-3.8226809142646205,-0.0,0.0,-3.820661134203166,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06668311639482619,0.0,0.0,-0.06668311639482619,0.0,0.0
1.71,-3.825171772160704,-0.0,0.0,-3.823367516977689,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06673035168506086,0.0,0.0,-0.06673035168506086,0.0,0.0
1.74,-3.8273486003770234,-0.0,0.0,-3.825756167017289,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06677204149292978,0.0,0.0,-0.06677204149292978,0.0,0.0
1.77,-3.829216587826088,-0.0,0.0,-3.8278324195025686,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06680827893490063,0.0,0.0,-0.06680827893490063,0.0,0.0
1.7999999999999998,-3.830780749629376,-0.0,0.0,-3.8296014175786532,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06683915377578975,0.0,0.0,-0.06683915377578975,0.0,0.0
1.8299999999999998,-3.832045947812548,-0.0,0.0,-3.83106813571899,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06686475283653735,0.0,0.0,-0.06686475283653735,0.0,0.0
1.8599999999999999,-3.833016909173917,-0.0,0.0,-3.832237399791946,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06688516034443572,0.0,0.0,-0.06688516034443572,0.0,0.0
1.89,-3.8336982405951607,-0.0,0.0,-3.8331139042738753,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06690045823355387,0.0,0.0,-0.06690045823355387,0.0,0.0
1.92,-3.8340944421062217,-0.0,0.0,-3.833702226973283,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06691072640172276,0.0,0.0,-0.06691072640172276,0.0,0.0
1.95,-3.8342099180783853,-0.0,0.0,-3.834006841636344,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06691604293054303,0.0,0.0,-0.06691604293054303,0.0,0.0
1.98,-3.8340489868457848,-0.0,0.0,-3.8340321287620087,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06691648427414423,0.0,0.0,-0.06691648427414423,0.0,0.0
2.01,-3.8336158889492213,-0.0,0.0,-3.8337823848743358,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06691212542101761,0.0,0.0,-0.06691212542101761,0.0,0.0
2.04,-3.8329147941908808,-0.0,0.0,-3.833261830464263,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.06690304003262607,0.0,0.0,-0.06690304003262607,0.0,0.0
