time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,gps_valid,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_alt_m,pitot_airspeed_mps,pitot_qbar_pa,mag_heading_deg
0.0,0.0,0.0,1000.0,84.0,0.0,15.0,85.32877591996736,18.0,0.0,9.0,0.0,0.0,0.0,0.0,-1.1246716553978162,0.0,4046.934522364112,0.25362711007788913,85.32877591996736,1.7329231744426616,1.1116425003060326,89874.56291621955,281.65,0.0,0.0,0.0,323.0,0.17335175620624782,0.85,nominal,13447.15,nan,fixed_pitch,18.0,0.0,0.0,-20.05352282957881,-0.0,0.0,-2.6999999999999997,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.0,-0.047123889803846894,0.0,0.0,17.007343798494418,-0.2892272845464373,-0.6380093276952116,0.001565738031183101,-0.0036571952164712266,-0.0013815102141609857,1.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,999.9769622121428,85.36896211336294,4098.066982106759,0.4914089296374223
0.03,2.5351789957121817,-0.00022542513550626367,1000.4430414013383,84.50596652373939,-0.0075141711835421225,14.768046711275922,85.7866751788444,17.994799447313813,-0.003041183605462435,9.13458162651677,0.019297529388626996,0.0,-4.486073134779234,0.6350942606475132,-0.7781784168338118,-0.024069355214791234,4090.3071457318083,0.25498945119058214,85.7866751788444,1.766860385400648,1.1115941281793602,89869.73321037232,281.6471202308913,0.0,0.0,0.0,328.7375,0.17643103082306932,0.85,nominal,13490.671571078712,nan,fixed_pitch,18.0,0.0,0.0,-3.8511399858682895,-0.006133053604368538,-0.05956504071292876,-3.390683991520974,0.0,-0.035739024427757254,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.059178599546704486,0.0,-0.0006237636477150464,-0.059178599546704486,0.0,-0.0006237636477150464,17.341234584407026,-0.27178109742933715,-0.4791057621217746,0.001429413143637282,-0.07765855323995914,0.009268278850674548,1.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,999.9769622121428,86.00001993568475,4131.389838433278,0.4914089296374223
0.06,5.085811461851493,-0.000673463740157197,1000.8793386250366,85.0210822046437,-0.014934620155031112,14.543240789943177,86.25595918524081,17.98950651638912,-0.009403132226318804,9.444834248168565,0.059734023033013735,0.005519973320646495,-10.341923704024028,1.3290871026564488,-0.2619191592881443,-0.06884219785961619,4135.0032522454185,0.2563856261034356,86.25595918524081,1.801979622149768,1.1115464939689164,89864.97722989027,281.64428429893724,0.0,0.0,0.0,334.47499999999997,0.17951030543989083,0.85,nominal,13535.318613610178,nan,fixed_pitch,18.0,0.0,0.0,-2.21860665773589,-0.013894343980634402,-0.13291893939217445,-2.6874375912499238,0.0,-0.09404697340640755,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.04690463440917672,0.0,-0.001641429337477359,-0.04690463440917672,0.0,-0.001641429337477359,17.639922143260932,-0.3080805998557822,-0.024642097403098258,0.00031596232480351984,-0.17946135937116384,0.020450818651939602,1.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1001.389106609725,86.46591095787724,4114.2077626596565,-0.11651096668192194
0.09,7.652138091927624,-0.0013333066216253129,1001.3093803982217,85.54422100253768,-0.021994762715603862,14.334725772839965,86.73695056712059,17.984121207225925,-0.019366239544467593,9.802529784811446,0.12308918577340866,0.020947511229566524,-11.923745593152194,2.0791357340901335,0.2898232897325131,-0.13582768794099676,4181.071479054282,0.25781659543348506,86.73695056712059,1.8332740392342537,1.1114995442464255,89860.28963814722,281.6414890274115,0.0,0.0,0.0,340.2125,0.18258958005671233,0.85,nominal,13581.13993212378,nan,fixed_pitch,18.0,0.0,0.0,-1.6278580144192474,-0.023383362704158656,-0.22064455866593896,-2.051689845151518,0.0,-0.17000552456212636,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.035808743027626606,0.0,-0.0029671561501891965,-0.035808743027626606,0.0,-0.0029671561501891965,18.05625409358363,-0.28586371309664865,0.4448726784777468,0.002103488244867462,-0.2099740564518718,0.03816609014596662,1.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1001.389106609725,86.76844667767716,4182.874032767074,-0.11651096668192194
0.12,10.234343153415178,-0.0021847097189029354,1001.7337047119046,86.07350204958513,-0.02838010324258742,14.144143789428437,87.22789326841628,17.978643519824224,-0.03297716082437011,10.08904402564656,0.2109131606651873,0.05192530238964734,-9.55181063997221,2.879117508341179,0.7572948795593984,-0.22632758696562968,4228.360039262111,0.2592771412781471,87.22789326841628,1.8613521915032207,1.1114532202134102,89855.66456259186,281.6387309193726,0.0,0.0,0.0,345.95,0.18566885467353383,0.85,nominal,13628.004517336109,nan,fixed_pitch,18.0,0.0,0.0,-2.0653340782007845,-0.0342268750883672,-0.32278079385745123,-2.059876384981078,0.0,-0.2616706861393213,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.035951625101998085,0.0,-0.004567015029083846,-0.035951625101998085,0.0,-0.004567015029083846,18.14224310150038,-0.35023719723801117,0.7359105217017456,-9.090246754106307e-06,-0.16673893324082792,0.04911165453082857,1.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1002.4372878269542,86.85186770534061,4208.241063838144,1.0295260944347606
0.15,12.83259099146876,-0.003196790471206931,1002.1527401452728,86.60826126845267,-0.03373602507679984,13.967847778940188,87.72737787965391,17.973073454184018,-0.049883812989460215,10.270360711270909,0.3244597269596349,0.1053717644771429,-6.046586660281579,3.720939458876828,1.1089378818764997,-0.3413887471158566,4276.747549669274,0.26076307570797846,87.72737787965391,1.8904798588828853,1.111407475023805,89851.0973242622,281.6360071890557,0.0,0.0,0.0,351.6875,0.18874812929035537,0.85,nominal,13675.807583965434,nan,fixed_pitch,18.0,0.0,0.0,-2.8450808112476347,-0.045637088154782596,-0.4390639287749095,-2.530999040741012,0.0,-0.3681066317206742,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.04417426662574876,0.0,-0.0064246727219519646,-0.04417426662574876,0.0,-0.0064246727219519646,18.507234023765594,-0.23283278339444863,0.9460310577865632,0.0031314464032413756,-0.10701495252691598,0.06311573200708963,1.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1002.4372878269542,87.78006041669381,4200.552370528654,1.0295260944347606
0.18,15.447079106462139,-0.004326970665909478,1002.5667786348297,87.14960383311268,-0.037672673156751574,13.801282985228376,88.235651975475,17.96741101030531,-0.06935835358876175,10.377865198195458,0.46469388677306894,0.1885908446290159,-3.5882673595569563,4.595063706990148,1.3793188746377951,-0.4817676419609637,4326.272328603585,0.2622751356033017,88.235651975475,1.9202516774257885,1.1113622767544578,89846.58473429429,281.6333159388736,0.0,0.0,0.0,357.425,0.19182740390717687,0.85,nominal,13724.586639467823,nan,fixed_pitch,18.0,0.0,0.0,-3.4045532352825565,-0.056732991421550055,-0.5691291919471807,-3.0551315574659386,0.0,-0.4887201678565781,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.05332210475936298,0.0,-0.008529776049996647,-0.05332210475936298,0.0,-0.008529776049996647,18.78688991633892,-0.222344430452818,1.171619665010596,0.005147306518459282,-0.06280774622471517,0.0792189454998112,1.0,-0.806223771082661,-3.036116460697097,998.193930698617,83.98374976179954,0.17024808068988678,14.758299894501135,1003.0197749093454,87.68706339333076,4380.423851992336,0.6672407204359512
0.21,18.07802522896717,-0.005520037293585831,1002.976039729378,87.69820408350101,-0.03976888758921178,13.642036484946761,88.75292525033996,17.961656188188094,-0.09039880370604927,10.454277243207018,0.6322878528710513,0.3086577650015384,-2.554725985907509,5.4908536842844144,1.6128533736411241,-0.6479034568587194,4376.969792893059,0.263813945052337,88.75292525033996,1.9504346984683703,1.1113176013886166,89842.12439332844,281.630655741759,0.0,0.0,0.0,363.16249999999997,0.19490667852399834,0.85,nominal,13774.375850258322,nan,fixed_pitch,18.0,0.0,0.0,-3.6253936063382772,-0.0667069981592927,-0.7124781411337793,-3.3972887867893418,-0.04002419889557562,-0.6229749518228987,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.05929387497055765,-0.0006985540512008726,-0.010872964066762634,-0.05929387497055765,-0.0006985540512008726,-0.010872964066762634,19.035567215556,-0.14896142930232034,1.305722362446642,0.003963820561059299,-0.04666389151536555,0.0951937774951638,1.0,16.065223776049073,1.2453577719807343,1001.3247955254978,87.96063680660794,0.2266334327860211,14.035237829019064,1003.0197749093454,89.17152651078614,4394.1048700119045,0.6672407204359512
0.24,20.725652045617085,-0.006707351398227586,1003.3807312894186,88.25422722166384,-0.039577136821391815,13.48971866801766,89.27924002020343,17.955808987832373,-0.11246521234081505,10.521502916733898,0.8275741470657021,0.44937154366487275,-2.252183908113307,6.3968207914096595,1.8317698329519077,-0.839877825554959,4428.859499431956,0.2653796305988437,89.27924002020343,1.9809065932429495,1.111273426188906,89837.7140298432,281.62802524661873,0.0,0.0,0.0,368.9,0.19798595314081988,0.85,nominal,13825.194997791921,nan,fixed_pitch,18.0,0.0,0.0,-3.668787423119045,-0.07614017204389592,-0.8683445929532996,-3.560187968587164,-0.061693782784567795,-0.7701967365011393,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.06213700204173446,-0.0010767596376009035,-0.01344246894006007,-0.06213700204173446,-0.0010767596376009035,-0.01344246894006007,19.321078663421254,-0.19965420139847256,1.4606416026838367,0.007726447686605528,-0.03713759071795537,0.11155995516067585,1.0,16.065223776049073,1.2453577719807343,1001.3247955254978,87.96063680660794,0.2266334327860211,14.035237829019064,1003.9122103897723,88.6427947304177,4445.235659569143,0.6016901375265014
0.27,23.390180948350878,-0.0078062020356132735,1003.7810698569756,88.81763009112643,-0.03662835457952292,13.344618918568917,89.8145400852354,17.94986940923815,-0.13443216552387857,10.580067629507422,1.050490704008917,0.6283559994969555,-1.96789172923819,7.300710267548159,2.0364453881310496,-1.0574216635497091,4481.951535503878,0.2669720259857973,89.8145400852354,2.0115990160092223,1.1112297274736345,89833.35127814082,281.62542304592967,0.0,0.0,0.0,374.6375,0.20106522775764138,0.85,nominal,13877.055434074085,nan,fixed_pitch,18.0,0.0,0.0,-3.712617816332545,-0.0836628465718023,-1.035650247532363,-3.651645877234392,-0.0748752210569085,-0.9294688431198737,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.06373324367461679,-0.0013068191356016418,-0.01622229160714444,-0.06373324367461679,-0.0013068191356016418,-0.01622229160714444,19.654107470537244,-0.17765780691751623,1.6763021242044385,0.006952159451082535,-0.032713967927993526,0.1270416889752943,1.0,16.065223776049073,1.2453577719807343,1001.3247955254978,87.96063680660794,0.2266334327860211,14.035237829019064,1003.9122103897723,89.47128472380531,4464.789591143862,0.6016901375265014
