time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,0.0,20.0,85.0,0.0,8.0,85.37564055396598,18.0,0.0,6.000000000000002,0.0,0.0,0.0,0.0,0.623294571949261,-0.06711018850271284,4455.9528551248095,0.2509446755827931,85.37569911866022,1.746019585183223,1.2226496753673843,101084.96761777384,288.02,0.0,0.1,0.0,326.8,0.17539118863220368,0.86,nominal,3840.633,nan,pitch_program,13.0,0.0,0.0,-20.05352282957881,-0.0,-0.05704366022730591,-2.6999999999999997,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.0,-0.047123889803846894,0.0,0.0,0.0,1.0,17.089473733673106,-0.02973773807099401,0.17662175509873101,0.0016677683591043149,0.0011681274632859406,0.0012765720485123657,17.090412285001868,0.00240324973008537,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.771163472887363,0.0,1.0,85.62705682436835,4465.525352623238,1.0,1.0,-0.8198733225718878,19.523475325297145,-0.00615746722134172,-43.81279554351524,1.0,20.39618647858491,1.0,-0.0077448575321814855,4.273240466216326,0.95,1.0,0.17459483210835952,5.697481511065039
0.03,2.565307560933383,1.2217430333078664e-05,20.23295089077774,85.51025203111277,0.00040724767776928884,7.765029692591357,85.86209226845746,17.994738264341034,0.000673747383345809,6.26558332753372,-0.001374797989615718,0.01756243361475289,-8.852793703250093,-0.04551240426293013,1.0768886693990771,-0.06510171809935367,4506.77464880038,0.2523751634672366,85.86215002704955,1.7743110931484742,1.2226223199868234,101082.17454514118,288.0184858192099,0.0,0.1,0.0,332.605,0.1785066900092231,0.86,nominal,3884.5669122115964,nan,pitch_program,12.985,0.0,0.0,-0.5455312201452301,-0.014568757923655475,-0.07400296803718874,-1.407318732087138,0.0,-0.04440178082231325,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.02456234549991253,0.0,-0.0007749572690982415,-0.02456234549991253,0.0,-0.0007749572690982415,0.03,1.0,17.396244479696897,-0.01435698229198223,0.6886282541675011,0.00227870121700718,-0.15518965861156028,0.0009052063149970115,17.40987469779042,0.1552090268563067,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.771163472887363,0.0,1.0,85.44847029073749,4493.7730199296575,1.0,1.0,-0.8198733225718878,19.523475325297145,-0.00615746722134172,-43.81279554351524,1.0,20.39618647858491,1.0,-0.0077448575321814855,4.273240466216326,0.95,1.0,0.17459483210835952,5.697481511065039
0.06,5.1461027932509165,3.291930681684774e-05,20.45939294419229,86.0265077439178,0.0006900625494589692,7.548068447151695,86.35701113617483,17.98938306364076,0.001946614728001761,6.577132127844891,-0.0034380936674316123,0.0347369605127723,-10.384987158646082,-0.0681078186319914,1.5627716729477563,-0.0625178553698666,4558.780255022944,0.25383052828753255,86.35706823625331,1.8034945411068528,1.2225957293866412,101079.45957312708,288.01701394586274,0.0,0.1,0.0,338.40999999999997,0.18162219138624247,0.86,nominal,3929.4047920028747,nan,pitch_program,12.97,0.0,0.0,0.16976533932399104,-0.028529507031703608,-0.08018029559013964,-0.4610682892404606,0.0,-0.0658688896830091,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.008047159723783583,0.0,-0.0011496289996014326,-0.008047159723783583,0.0,-0.0011496289996014326,0.06,1.0,17.704005531554397,-0.040865823476678685,1.2236155596896918,-0.0028398648926588497,-0.18272117719737893,-0.0015355968733229042,17.746287412153332,0.1827496962699579,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.526029305795074,0.0,1.0,85.93810156585161,4525.844490958644,1.0,1.0,0.07321572507599795,19.051633273590532,-0.026914818962720098,-44.01670170715468,1.0,20.44437918642227,1.0,-0.00010014841796547101,4.2191320453843275,0.9488515176395192,1.0,-0.1571242879183091,6.398144502912851
0.09,7.742554548696502,5.962919330515959e-05,20.679880260664394,86.5483918481862,0.0008903295496103952,7.349577215736762,86.85988957827396,17.983934397899173,0.003763319093575744,6.769857843641512,-0.005813885658654085,0.05135367123471357,-6.42420049568453,-0.07833649756978263,1.9160161179384996,-0.059708918365541375,4611.930912274648,0.25530927942506576,86.8599461172066,1.833254521353306,1.2225698384634593,101076.81605335405,288.01558077830566,0.0,0.1,0.0,344.215,0.18473769276326188,0.86,nominal,3975.1205565332175,nan,pitch_program,12.955,0.0,0.0,-1.1038903823743145,-0.0416373271165254,-0.08067173834424944,-0.8467615451207728,0.0,-0.0747505988797533,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.014778776941632012,0.0,-0.00130464406828928,-0.014778776941632012,0.0,-0.00130464406828928,0.09,1.0,17.977928092968018,-0.004364484688315799,1.4143950974990716,0.0012974376529873472,-0.11381445577459348,0.001177630428237802,18.033480835836563,0.11382794253238436,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.526029305795074,0.0,1.0,87.23044371911043,4643.934242920982,1.0,1.0,0.07321572507599795,19.051633273590532,-0.026914818962720098,-44.01670170715468,1.0,20.44437918642227,1.0,-0.00010014841796547101,4.2191320453843275,0.9488515176395192,1.0,-0.1571242879183091,6.398144502912851
0.12,10.354871065463975,9.05643135427429e-05,20.894721380858996,87.07721722558242,0.0010311706745861102,7.161370673153376,87.37120229648258,17.978392267116273,0.006078099332948904,6.86780934092218,-0.008306427401675328,0.06729465861430717,-3.265057778086964,-0.0822166466914033,2.1662876108034244,-0.05685244968155371,4666.29188366317,0.25681281287137564,87.3712583433405,1.863309602773551,1.2225446109534865,101074.24028217078,288.0141843110244,0.0,0.1,0.0,350.02,0.1878531941402813,0.86,nominal,4021.770714796042,nan,pitch_program,12.94,0.0,0.0,-2.149980284351964,-0.0537534387397924,-0.07834052167445058,-1.6286927886594875,0.0,-0.07690455255657168,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.028426051665596218,0.0,-0.0013422376518851984,-0.028426051665596218,0.0,-0.0013422376518851984,0.12,1.0,18.243748866338237,-0.008234755358805256,1.5290844198325266,0.0029557101259373103,-0.05630966562075726,-0.004272624087438873,18.307718035631535,0.05654882829257051,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.835296556620964,0.0,1.0,87.26356473046994,4712.610047778156,1.0,1.0,-1.9034282567597944,18.840833773035076,-0.006994163735382045,-44.08140969183615,1.0,20.159613396982472,1.0,-0.014477037212775526,4.181138647333237,0.9477631965478525,1.0,0.28943533398110544,7.474549240186705
0.15,12.9832871046427,0.00012432195943967077,21.10409235143949,87.6138679726242,0.001125254863230929,6.979032352683186,87.89139181382,17.972756671292064,0.008857364239939443,6.9526603100249025,-0.010827112298902894,0.08253302338223542,-2.8283770019973247,-0.0830438596280649,2.398276216665515,-0.05403344047850844,4721.92646649597,0.2583424297096264,87.89144742191613,1.8938986106245126,1.222520026153691,101071.73014479295,288.0128233997156,0.0,0.1,0.0,355.825,0.1909686955173007,0.86,nominal,4069.4088247434556,nan,pitch_program,12.925,0.0,0.0,-2.250486291227114,-0.06481050382670815,-0.07469872686495295,-2.001768890200063,-0.03888630229602489,-0.07558105714160043,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03493745799798396,-0.000678694008991465,-0.0013191382992589016,-0.03493745799798396,-0.000678694008991465,-0.0013191382992589016,0.15,1.0,18.542976103511602,-0.030567730790696985,1.6896764340898718,0.0013074287992247125,-0.04949763107564984,-0.0030783060327520917,18.61982555271361,0.049610491029594306,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.835296556620964,0.0,1.0,87.53966481836079,4739.75925432716,1.0,1.0,-1.9034282567597944,18.840833773035076,-0.006994163735382045,-44.08140969183615,1.0,20.159613396982472,1.0,-0.014477037212775526,4.181138647333237,0.9477631965478525,1.0,0.28943533398110544,7.474549240186705
0.18,15.628035012723156,0.00015969353889084135,21.308198110271974,88.15826360268187,0.001179052648372353,6.803525294416151,88.42040148778939,17.967027610426545,0.011347438150978264,7.050155044164729,-0.013339058860149244,0.07279610891476536,-3.249839859010265,-0.08253419811792437,2.637148988212438,-0.05125782272487243,4778.845389236139,0.2598979639269304,88.4204567023454,1.9249649028759066,1.2224960599707146,101069.28318034706,288.0114967122832,0.0,0.1,0.0,361.63,0.19408419689432013,0.86,nominal,4118.0457406290325,nan,pitch_program,12.91,0.0,0.0,-2.0434941527382646,-0.053220466281403894,-0.07051156495412067,-2.026804047722984,-0.015554520918409958,-0.07253936182911258,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03537440392551435,-0.000271477603596586,-0.0012660507012135108,-0.03537440392551435,-0.000271477603596586,-0.0012660507012135108,0.18,1.0,18.748352245116116,-0.042577221658550594,1.9094868294924372,0.0014102797908761993,-0.059289185017973235,-0.002327487539441737,18.845388419418683,0.05935160947632568,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.082305301102334,0.0,1.0,88.03086687436317,4843.147042342706,1.0,1.0,-0.5562341585160822,18.729986257235904,0.026496603719618855,-44.221196723795295,1.0,21.361831931629176,1.0,0.005993326407555316,4.138845108641095,0.94672950472432,1.0,-0.49271252303698165,6.69241308166701
0.21,18.289338759569905,0.00019556783599046398,21.507292978599384,88.71012489489158,0.0011958099033207547,6.636495610913672,88.95802006728174,17.961205084519715,0.013963748098763197,7.138846248887991,-0.015825492711431754,0.07697399280353784,-2.956392176348874,-0.08159358714291116,2.860449239120227,-0.048552890178859505,4837.0426829043645,0.26147879522239986,88.95807492931105,1.9562267154807178,1.2224726825148928,101066.89633622502,288.0102025956391,0.0,0.1,0.0,367.435,0.19719969827133954,0.86,nominal,4167.679161834031,nan,pitch_program,12.895,0.0,0.0,-2.091588283748235,-0.05431159689344528,-0.06623063376731171,-2.0656745893381347,-0.006221808367363983,-0.06875412499203205,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.0360528228587322,-0.0001085910414386344,-0.0011999858554386795,-0.0360528228587322,-0.0001085910414386344,-0.0011999858554386795,0.21,1.0,19.03918360687184,0.0654861991528572,2.109461699282648,0.0001589792514000625,-0.04988877215533666,-0.0003884229961238783,19.15579884836958,0.0498905375195877,1.0,0.0,18.158497973532736,-0.8505201034817174,22.52851851093021,88.79108599194562,-0.10577058458715469,6.696073112562582,1.0,20.082305301102334,0.0,1.0,88.81121651448117,4833.564047342548,1.0,1.0,-0.5562341585160822,18.729986257235904,0.026496603719618855,-44.221196723795295,1.0,21.361831931629176,1.0,0.005993326407555316,4.138845108641095,0.94672950472432,1.0,-0.49271252303698165,6.69241308166701
0.24,20.967424066547164,0.00023086312440804294,21.701621618351435,89.26951023257529,0.0011765096139192983,6.477621325068383,89.50421798205389,17.955289093571576,0.01686185855000208,7.202147282510612,-0.01828162498853206,0.08638434017233555,-2.1100564443209033,-0.08066317239566312,3.0518825072489504,-0.04592549605714653,4896.531981299821,0.26308483730214566,89.50427253085238,1.987505662071303,1.2224498650331364,101064.5666759386,288.0089394594807,0.0,0.1,0.0,373.24,0.20031519964835895,0.86,nominal,4218.322725933116,nan,pitch_program,12.88,0.0,0.0,-2.3473647489247234,-0.059929160004667754,-0.06205946361502334,-2.234688685090088,-0.03844621934974624,-0.06473732816582684,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03900267531188475,-0.0006710131125970253,-0.0011298795254377398,-0.03900267531188475,-0.0006710131125970253,-0.0011298795254377398,0.24,1.0,19.340020750339857,-0.054448748963033845,2.3113652593467395,0.0019091649367176694,-0.03678346092877151,-0.00025046185995798243,19.4777251405793,0.0368338246696884,1.0,0.0,18.158497973532736,-0.8505201034817174,22.52851851093021,88.79108599194562,-0.10577058458715469,6.696073112562582,1.0,22.185472296822848,0.0,1.0,89.45723657184935,4891.127672119592,1.0,1.0,-1.0056891601547093,18.64236278597983,-0.016420549769640524,-44.295506018700046,1.0,21.597930174194296,1.0,0.014251888953545481,4.126185957194981,0.9457459459541214,1.0,-0.576052924133447,7.15888222819358
0.27,23.66252475796718,0.0002644909172165517,21.89138904421208,89.83668971400053,0.0011209264269502926,6.325580862021445,90.05911277193472,17.949279637582126,0.019393814632035124,7.24495167384107,-0.020712601515503297,0.07420942155117136,-1.4268384740001505,-0.07993797553298215,3.2172756113237324,-0.04333401621458086,4957.343321244954,0.26471643617594676,90.0591670463522,2.018862038200976,1.2224275834297722,101062.29173858822,288.0077059712126,0.0,0.1,0.0,379.045,0.20343070102537836,0.86,nominal,4270.00308700445,nan,pitch_program,12.865,0.0,0.0,-2.5574934682422725,-0.046075121850527534,-0.05802695526290474,-2.4283715549813985,-0.015378487739898498,-0.060711104424073584,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04238307909619991,-0.00026840524503881014,-0.0010596086647221797,-0.04238307909619991,-0.00026840524503881014,-0.0010596086647221797,0.27,1.0,19.55241002659721,-0.023656146173613703,2.4549051650069127,0.0032024567596951195,-0.02279101991506628,-0.0034857397197124917,19.70593455867061,0.023277386010036566,1.0,0.0,18.158497973532736,-0.8505201034817174,22.52851851093021,88.79108599194562,-0.10577058458715469,6.696073112562582,1.0,22.185472296822848,0.0,1.0,90.12873086763831,4961.811637147024,1.0,1.0,-1.0056891601547093,18.64236278597983,-0.016420549769640524,-44.295506018700046,1.0,21.597930174194296,1.0,0.014251888953545481,4.126185957194981,0.9457459459541214,1.0,-0.576052924133447,7.15888222819358
