time_s,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad
0.0,-20.05352282957881,-0.0,-0.5704107786325128,-2.6999999999999997,0.0,-0.3422464671795077,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,-0.00597332770560112,-0.047123889803846894,0.0,-0.00597332770560112
0.03,-0.545099091187746,-0.14949992167541062,-0.6761690933161028,-1.4070594547126476,-0.08969995300524637,-0.5426000428614648,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.024557820256051743,-0.0015655595188257315,-0.009470157269394914,-0.024557820256051743,-0.0015655595188257315,-0.009470157269394914
0.06,0.16989370774028928,-0.24463881466563775,-0.7283284507387925,-0.46088755724088554,-0.1826632700014812,-0.6540370875878614,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.008044005355327285,-0.003188075483985234,-0.011415100608562719,-0.008044005355327285,-0.003188075483985234,-0.011415100608562719
0.09,-1.10410632039906,-0.28315478424405327,-0.7467901180092764,-0.8468188151357902,-0.24295817854702445,-0.7096889058407104,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.01477977649195673,-0.004240420160293829,-0.012386408071796412,-0.01477977649195673,-0.004240420160293829,-0.012386408071796412
0.12,-2.1499845882849624,-0.2826588537998925,-0.7443345851226659,-1.6287182790252934,-0.2667785836987453,-0.7304763134098837,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.02842649655640707,-0.004656164659350377,-0.012749216776832478,-0.02842649655640707,-0.004656164659350377,-0.012749216776832478
0.15,-2.2500849502339237,-0.2630781218356978,-0.7286025896627554,-2.001538281750472,-0.2645583065809168,-0.7293520791616066,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.034933433121255665,-0.00461741351333758,-0.01272959518763636,-0.034933433121255665,-0.00461741351333758,-0.01272959518763636
0.18,-2.0429840079522457,-0.23882815645728672,-0.7044910221845796,-2.026405717471536,-0.24912021650673877,-0.7144354449753904,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03536745175111629,-0.004347968011323718,-0.01246925080777134,-0.03536745175111629,-0.004347968011323718,-0.01246925080777134
0.21,-2.0912126092285557,-0.2172703883144108,-0.6753857142670794,-2.0652898525257477,-0.230010319591342,-0.6910056065504038,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.036046107934602424,-0.004014437390433336,-0.012060322984045042,-0.036046107934602424,-0.004014437390433336,-0.012060322984045042
0.24,-2.3470622030878308,-0.20035330736844034,-0.6434203158776325,-2.2343532628629976,-0.212216112257601,-0.662454432146741,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03899682108963765,-0.003703869884677034,-0.011562010985389998,-0.03899682108963765,-0.003703869884677034,-0.011562010985389998
0.27,-2.557119158070774,-0.18716764496702123,-0.6097844821236125,-2.4280127999876635,-0.19718703188325312,-0.6308524621328638,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04237681764035126,-0.003441562948597802,-0.011010452558531324,-0.04237681764035126,-0.003441562948597802,-0.011010452558531324
