time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg
0.0,0.0,0.0,20.0,85.0,0.0,8.0,85.37564055396598,18.0,0.0,6.000000000000002,0.0,0.0,0.0,0.0,0.5847693590724268,0.08811800200359583,4448.934745633113,0.25074697923505807,85.30843941744567,1.7465921667440785,1.2226496753673843,101084.96761777384,288.02,0.0724,-0.1312,-0.0508,326.8,0.17539118863220368,0.86,nominal,3840.633,nan,pitch_program,13.0,0.0,0.0
0.03,2.565315651091616,-1.601070928043528e-05,20.23292478961755,85.51052170305388,-0.0005336903093478427,7.7641596539183535,85.86228215779504,17.994738264341034,-0.0008833118927697195,6.26868025150295,0.001802343513709266,-0.02302376409959119,-8.95602525572747,0.05966524243398118,1.0424210423057985,0.08548318635788885,4499.716767667039,0.2521774682762428,85.79489092144536,1.774782820914806,1.2226223230518514,101082.17485808964,288.01848598886744,0.0724,-0.1312,-0.0508,332.605,0.1785066900092231,0.86,nominal,3884.5829605605068,nan,pitch_program,12.985,0.0,0.0
0.06,5.146126351621778,-4.730747583495143e-05,20.459319423982013,86.02702335100537,-0.001043225551817205,7.546487812148783,86.3573866326538,17.98938306364076,-0.002649462650290822,6.5833962239402055,0.0053757215845760785,-0.045540494685524305,-10.490562435427366,0.11804126691985709,1.532306329415372,0.08113913709264249,4551.682974651466,0.25363286376784694,86.28981978367875,1.8038845035489406,1.2225957380198884,101079.46045460267,288.0170144237441,0.0724,-0.1312,-0.0508,338.40999999999997,0.18162219138624247,0.86,nominal,3929.43649784002,nan,pitch_program,12.97,0.0,0.0
0.09,7.742600285894173,-9.231535704350155e-05,20.679741723488814,86.54913114241317,-0.0015002627069516706,7.347409983560012,86.8604428795061,17.983934397899173,-0.005275096236481669,6.777942430905418,0.010641804590182423,-0.06709998366669397,-6.48489183814137,0.17389599259326133,1.8881060597956465,0.07519139851694524,4604.794297043573,0.2551116649252263,86.79271491352205,1.8336033925574866,1.2225698547311803,101076.81771431975,288.0155816787973,0.0724,-0.1312,-0.0508,344.215,0.18473769276326188,0.86,nominal,3975.1672577846216,nan,pitch_program,12.955,0.0,0.0
0.12,10.354945379472957,-0.0001485884991722624,20.894501509405266,87.07816978595949,-0.0018757714042920278,7.158659530548466,87.3719294914861,17.978392267116273,-0.008704120352961812,6.876772136029542,0.017487208724791113,-0.08717517922821076,-3.294351935896337,0.22616028326980497,2.1399505303169,0.06777029040221424,4659.115781519632,0.25661526251081945,87.3040492046394,1.863635548029003,1.2225446367714752,101074.24291822444,288.01418574018885,0.0724,-0.1312,-0.0508,350.02,0.1878531941402813,0.86,nominal,4021.8320947598186,nan,pitch_program,12.94,0.0,0.0
0.15,12.983396286886464,-0.00021283869819100295,21.10377500868213,87.61503024711688,-0.002141673300624685,6.975783309228824,87.89229250945321,17.972756671292064,-0.012862076255131612,6.962383164446588,0.025776052602863135,-0.10531161468920294,-2.853753048712634,0.27374533328475426,2.373381631055405,0.0590357665468917,4714.710752813209,0.2581449590795311,87.82426566522858,1.8942017864186858,1.2225200634164888,101071.73394936006,288.0128254624435,0.0724,-0.1312,-0.0508,355.825,0.1909686955173007,0.86,nominal,4069.4848764725352,nan,pitch_program,12.925,0.0,0.0
0.18,15.628185211343558,-0.0002809737201045453,21.30776761752823,88.15963081523645,-0.0022711673971180786,6.799753628203293,88.42147454120663,17.967027610426545,-0.017664071757167138,7.060837109844564,0.03534019721233793,-0.12114984946772404,-3.2818831640872284,0.31554648322168816,2.613877084600185,0.04918018536272627,4771.589936049714,0.2597005880961306,88.35330746697323,1.9252438530148421,1.2224961105189731,101069.2883413486,288.01149951048603,0.0724,-0.1312,-0.0508,361.63,0.19408419689432013,0.86,nominal,4118.13639932706,nan,pitch_program,12.91,0.0,0.0
0.21,18.289535872725178,-0.00034814729789382775,21.50673467222078,88.71168871272064,-0.002239119259642749,6.632235156418333,88.95926181374446,17.961205084519715,-0.023009732625283094,7.150521327367381,0.04597133978248747,-0.13435299529556427,-2.989599157811111,0.3505887186758435,2.8388030329964047,0.03842173127529228,4829.747223817197,0.26128152475110844,88.89096182012956,1.9564852864931945,1.22247274807001,101066.903029404,288.01020622463056,0.0724,-0.1312,-0.0508,367.435,0.19719969827133954,0.86,nominal,4167.7841507965,nan,pitch_program,12.895,0.0,0.0
0.24,20.96767370934617,-0.00040883855428611957,21.700921962039622,89.27126122069969,-0.0020230418797430607,6.4729096606280825,89.5056235300428,17.955289093571576,-0.028780538009089633,7.214628634705708,0.05743279948521121,-0.14459205453343926,-2.1370815646532435,0.37808486792193563,3.031643242944551,0.02699644895543448,4889.196092521656,0.26288767823698017,89.43719761649693,1.987748514642824,1.222449947184082,101064.57506351525,288.0089440072467,0.0724,-0.1312,-0.0508,373.24,0.20031519964835895,0.86,nominal,4218.441668109911,nan,pitch_program,12.88,0.0,0.0
0.27,23.662832309707003,-0.0004569547458868532,21.890535351988518,89.8386200120278,-0.0016038730533577876,6.320446331629914,90.06067782372585,17.949279637582126,-0.03484521583322944,7.258024216688104,0.0694746817487615,-0.15159518110769932,-1.4467403423828318,0.3973957755229331,3.1982031394144483,0.01515437472185561,4949.966536275205,0.26451939353819753,89.9921320462084,2.019091671466117,1.2224276836656238,101062.30197258228,288.00771152021207,0.0724,-0.1312,-0.0508,379.045,0.20343070102537836,0.86,nominal,4270.135663544051,nan,pitch_program,12.865,0.0,0.0
0.3,26.37525105486246,-0.00048594325587934134,22.075756358840696,90.41395817184859,-0.000966283666416272,6.174033561739267,90.6245139223156,17.943176716551363,-0.041065929087003475,7.291242338520393,0.08183657679260996,-0.1551794212639919,-1.1075412904767783,0.40801272552822326,3.3496054064607983,0.0031568848962281715,5012.085989021295,0.2661769316301168,90.55585374016265,2.0505996120373036,1.2224059361797708,101060.08157763859,288.0065075836675,0.0724,-0.1312,-0.0508,384.84999999999997,0.20654620240239774,0.86,nominal,4322.890477924413,nan,pitch_program,12.850000000000001,0.0,0.0
0.32999999999999996,29.105171180201317,-0.0004889138387176156,22.256762183811244,90.99733751129531,-9.901942794247832e-05,6.033527499018256,91.19714298285778,17.93698033047929,-0.04730085707180434,7.317475848884205,0.09424537006938788,-0.15524243560413387,-0.8747664791140127,0.4095953320218796,3.4891945064400263,-0.008728267543782845,5075.573760136506,0.26786032525020437,91.1283736824891,2.0822408586190564,1.2223846839000294,101057.91175167415,288.0053310458052,0.0724,-0.1312,-0.0508,390.655,0.20966170377941715,0.86,nominal,4376.723720987776,nan,pitch_program,12.835,0.0,0.0
0.36,31.852835183431573,-0.0004587783199220115,22.43372729313965,91.58880010767514,0.0010045172931868063,5.898836977613608,91.77856276855283,17.930690479365907,-0.053405906473035954,7.3348767776523935,0.10642035862809221,-0.15175073904074163,-0.5803844872151775,0.4020099497200361,3.615239065174681,-0.02023360523670737,5140.447974212272,0.2695695678505119,91.7096894928113,2.1139369394411816,1.2223639063225986,101055.79040067462,288.00418077259457,0.0724,-0.1312,-0.0508,396.46,0.21277720515643656,0.86,nominal,4431.652003689864,nan,pitch_program,12.82,0.0,0.0
