time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,1.0,17.089473733673106,-0.02973773807099401,0.17662175509873101,0.0016677683591043149,0.0011681274632859406,0.0012765720485123657,17.090412285001868,0.00240324973008537,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.771163472887363,0.0,1.0,85.62705682436835,4465.525352623238,1.0,1.0,-0.8198733225718878,19.523475325297145,-0.00615746722134172,-43.81279554351524,1.0,20.39618647858491,1.0,-0.0077448575321814855,4.273240466216326,0.95,1.0,0.17459483210835952,5.697481511065039
0.03,0.03,1.0,17.396244479696893,-0.010824585734829955,0.6886282541675013,0.00227870121700718,-0.15518965861156028,0.0009052063149970115,17.40987214316862,0.1552090268563067,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.771163472887363,0.0,1.0,85.44847029073749,4493.7730199296575,1.0,1.0,-0.8198733225718878,19.523475325297145,-0.00615746722134172,-43.81279554351524,1.0,20.39618647858491,1.0,-0.0077448575321814855,4.273240466216326,0.95,1.0,0.17459483210835952,5.697481511065039
0.06,0.06,1.0,17.704005520007758,-0.0357156743497916,1.2236155388168186,-0.0028398648926588497,-0.18272117719737893,-0.0019183912123168978,17.746276286835315,0.18275331366037664,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.526029305832235,0.0,1.0,85.93810144655563,4525.844478454378,1.0,1.0,0.0725533958588471,19.05163326837083,-0.026694326149309312,-44.01670170914568,1.0,20.444379186459432,1.0,-0.00015378532105336023,4.219132041602078,0.9488515176394263,1.0,-0.15705021316647355,6.398144486116751
0.09,0.09,1.0,17.977928047162976,0.0012041313682986162,1.4143950494266107,0.0012944011564939304,-0.11381446668299829,0.00022980794256292122,18.03348029845443,0.11382205898849188,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.526029305832235,0.0,1.0,87.2304434445118,4643.934213558263,1.0,1.0,0.0725533958588471,19.05163326837083,-0.026694326149309312,-44.01670170914568,1.0,20.444379186459432,1.0,-0.00015378532105336023,4.219132041602078,0.9488515176394263,1.0,-0.15705021316647355,6.398144486116751
0.12,0.12,1.0,18.243748750616977,-0.0030254724588755413,1.529084430628855,0.002941644333063235,-0.056309718083801266,-0.005848402991769782,18.307716319222166,0.05668898869810221,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.83529655732889,0.0,1.0,87.2635643206756,4712.610003571058,1.0,1.0,-1.908460013037832,18.840833586036233,-0.005317375127170606,-44.081409785580014,1.0,20.159613397690396,1.0,-0.014860624364417168,4.181138572627053,0.9477631965460827,1.0,0.2899946626142533,7.474548969865008
0.15,0.15,1.0,18.542975866172313,-0.026246263753822836,1.689676739726385,0.0012687560266606223,-0.04949776972835917,-0.005272934401120488,18.619818751120597,0.04979400352588027,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.83529655732889,0.0,1.0,87.5396643283035,4739.75920147133,1.0,1.0,-1.908460013037832,18.840833586036233,-0.005317375127170606,-44.081409785580014,1.0,20.159613397690396,1.0,-0.014860624364417168,4.181138572627053,0.9477631965460827,1.0,0.2899946626142533,7.474548969865008
0.18,0.18,1.0,18.748351896414825,-0.03951367489207594,1.9094872717176496,0.0017522645783197186,-0.05928945619053886,-0.005087195096081063,18.845381444883426,0.05953309668132384,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.08230530461684,0.0,1.0,88.03086637616704,4843.146987764626,1.0,1.0,-0.569848787389592,18.729985170194336,0.03056334149763826,-44.22119728834879,1.0,21.36183193514368,1.0,0.004991311376282403,4.138844749292004,0.9467295047155339,1.0,-0.49059164484273227,6.692411911077207
0.21,0.21,1.0,19.03918308008718,0.06702184565612937,2.109462802403605,0.0006036343134137256,-0.0498892673343344,-0.0036306434157388247,19.155803757597788,0.05002484323966706,1.0,0.0,18.158497985039517,-0.8504500598803318,22.528518517074513,88.79108612428186,-0.10525842170360344,6.6960732002225525,1.0,20.08230530461684,0.0,1.0,88.81121608561213,4833.564000734234,1.0,1.0,-0.569848787389592,18.729985170194336,0.03056334149763826,-44.22119728834879,1.0,21.36183193514368,1.0,0.004991311376282403,4.138844749292004,0.9467295047155339,1.0,-0.49059164484273227,6.692411911077207
0.24,0.24,1.0,19.34001994740245,-0.05463693405409094,2.3113678183774566,0.00232565889618793,-0.03678421150629052,-0.0038744421452700695,19.477725173960085,0.037060736735499186,1.0,0.0,18.158497985039517,-0.8504500598803318,22.528518517074513,88.79108612428186,-0.10525842170360344,6.6960732002225525,1.0,22.18547230661942,0.0,1.0,89.45723627867608,4891.127640072993,1.0,1.0,-1.0312072813876179,18.642359350774147,-0.00965450358466441,-44.29550776559856,1.0,21.59793018399087,1.0,0.012422424005344766,4.126184950705703,0.94574594592963,1.0,-0.5709734153151653,7.158879237164811
0.27,0.27,1.0,19.5524089092432,-0.02569807933871967,2.454909552154086,0.003924401150794116,-0.022792005446840992,-0.007378809449207647,19.705936553607188,0.024275981248322375,1.0,0.0,18.158497985039517,-0.8504500598803318,22.528518517074513,88.79108612428186,-0.10525842170360344,6.6960732002225525,1.0,22.18547230661942,0.0,1.0,90.12873075284628,4961.8116244909315,1.0,1.0,-1.0312072813876179,18.642359350774147,-0.00965450358466441,-44.29550776559856,1.0,21.59793018399087,1.0,0.012422424005344766,4.126184950705703,0.94574594592963,1.0,-0.5709734153151653,7.158879237164811
0.3,0.3,1.0,19.933203181974598,-0.02259595339297142,2.5963240970601293,0.0014161730970728096,-0.02130680077026783,-0.004309141512000919,20.101591939146687,0.021784260507880644,1.0,0.0,18.158497985039517,-0.8504500598803318,22.528518517074513,88.79108612428186,-0.10525842170360344,6.6960732002225525,1.0,22.08313853993758,0.0,1.0,90.39906418639032,5033.652716759318,1.0,1.0,-0.0945043631589571,18.477125273472133,-0.004087060617894823,-44.293766294373945,1.0,21.913765601494756,1.0,-9.867283823039846e-05,4.091606548320097,0.9448080594475421,1.0,0.5239303719523819,7.872062322033315
0.32999999999999996,0.32999999999999996,1.0,20.17260821799167,-0.055566595678963174,2.7886857284609436,0.0012315259589867388,-0.014517639611642725,-0.004472282489594214,20.364527444928893,0.015240729206567747,1.0,0.0,18.158497985039517,-0.8504500598803318,22.528518517074513,88.79108612428186,-0.10525842170360344,6.6960732002225525,1.0,22.08313853993758,0.0,1.0,90.88959646701134,5073.149573713275,1.0,1.0,-0.0945043631589571,18.477125273472133,-0.004087060617894823,-44.293766294373945,1.0,21.913765601494756,1.0,-9.867283823039846e-05,4.091606548320097,0.9448080594475421,1.0,0.5239303719523819,7.872062322033315
0.36,0.36,1.0,20.5619102273057,0.036829905614211636,2.8762636876467926,0.00030653167428355724,-0.010411752339349807,-0.005099829170399419,20.762138652812283,0.011597706928981783,1.0,0.0,18.158497985039517,-0.8504500598803318,22.528518517074513,88.79108612428186,-0.10525842170360344,6.6960732002225525,1.0,22.9981450493953,0.0,1.0,91.39172230129998,5125.461121659477,1.0,1.0,0.16589589503884147,18.55910231091219,0.06029891763672726,-44.330598474307116,1.0,22.233176202373045,1.0,0.0029119316118660374,4.087005772234715,0.9439122155644659,1.0,-0.0845263251376464,7.106555256524774
0.39,0.39,1.0,20.830866308052318,-0.045802538702024526,3.0277232500900797,-0.0022756892035697743,-0.004376695633557978,-0.00298382476571256,21.04980278044516,0.005765191779336497,1.0,0.0,18.158497985039517,-0.8504500598803318,22.528518517074513,88.79108612428186,-0.10525842170360344,6.6960732002225525,1.0,22.9981450493953,0.0,1.0,91.54380707131169,5181.331033973341,1.0,1.0,0.16589589503884147,18.55910231091219,0.06029891763672726,-44.330598474307116,1.0,22.233176202373045,1.0,0.0029119316118660374,4.087005772234715,0.9439122155644659,1.0,-0.0845263251376464,7.106555256524774
0.42,0.42,1.0,20.873154821113815,-0.036052178726273226,3.177052425840221,0.0017413886973861796,0.0010589269552807197,-0.003778990033450046,21.11358695395728,0.004293544755201605,1.0,0.0,38.98874521930497,0.8563761347696678,23.106528852009184,92.81384623904557,-0.017291542419513282,5.640911624670303,1.0,23.17691830578048,0.0,1.0,93.15534127535967,5284.131538542668,1.0,1.0,0.9167960773630197,18.490491309804145,0.021354559321863534,-44.255027279432795,1.0,22.711950191990386,1.0,0.010064163002239317,4.062627971065963,0.9430550527256375,1.0,0.4524980654557917,6.957519975840071
0.44999999999999996,0.44999999999999996,1.0,20.901121257921144,0.025201844637999495,3.3040097911329154,0.004878028652359223,0.005204706038763804,-0.0036838208821437335,21.160670728292107,0.008028366258143694,1.0,0.0,38.98874521930497,0.8563761347696678,23.106528852009184,92.81384623904557,-0.017291542419513282,5.640911624670303,1.0,23.17691830578048,0.0,1.0,93.14747022568554,5387.176503856515,1.0,1.0,0.9167960773630197,18.490491309804145,0.021354559321863534,-44.255027279432795,1.0,22.711950191990386,1.0,0.010064163002239317,4.062627971065963,0.9430550527256375,1.0,0.4524980654557917,6.957519975840071
