time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg
0.0,0.0,0.0,20.0,85.0,0.0,8.0,85.37564055396598,18.0,0.0,6.000000000000002,0.0,0.0,0.0,0.0,0.623294571949261,-0.06711018850271284,4455.9528551248095,0.2509446755827931,85.37569911866022,1.746019585183223,1.2226496753673843,101084.96761777384,288.02,0.0,0.1,0.0,326.8,0.17539118863220368,0.86,nominal,3840.633,nan,pitch_program,13.0,0.0,0.0
0.03,2.565307560933383,1.2217430333078664e-05,20.23295089077774,85.51025203111277,0.00040724767776928884,7.765029692591357,85.86209226845746,17.994738264341034,0.000673747383345809,6.26558332753372,-0.001374797989615718,0.01756243361475289,-8.852793703250093,-0.04551240426293013,1.0768886693990771,-0.06510171809935367,4506.77464880038,0.2523751634672366,85.86215002704955,1.7743113335796261,1.2226223199868234,101082.17454514118,288.0184858192099,0.0,0.1,0.0,332.605,0.1785066900092231,0.86,nominal,3884.5669122115964,nan,pitch_program,12.985,0.0,0.0
0.06,5.14610279332312,3.6098463717247685e-05,20.459392944229453,86.02650774632457,0.0007960344461389675,7.548068448390386,86.35701113959247,17.98938306364076,0.002020689479837296,6.57713211104879,-0.004100422884598769,0.0347369605127723,-10.384987158646082,-0.09004031867784736,1.5627716627554202,-0.06178977149160727,4558.7802424276815,0.2538305279368844,86.35706811695734,1.8034948466591951,1.222595729386636,101079.45957312656,288.01701394586246,0.0,0.1,0.0,338.40999999999997,0.18162219138624247,0.86,nominal,3929.4047922983764,nan,pitch_program,12.97,0.0,0.0
0.09,7.7425545492138514,7.044028552277052e-05,20.679880260885593,86.54839186302436,0.0011447273935174277,7.349577221871277,86.85988959655815,17.983934397899173,0.004022861586788246,6.769857752802997,-0.008117078151137347,0.051179692801134505,-6.424201120690086,-0.13264272572655222,1.916016123120113,-0.05725485391462907,4611.93088311428,0.25530927861793284,86.85994584260798,1.833254811996703,1.222569838463434,101076.81605335145,288.01558077830424,0.0,0.1,0.0,344.215,0.18473769276326188,0.86,nominal,3975.1205581235495,nan,pitch_program,12.955,0.0,0.0
0.12,10.354871067217294,0.00011337552741571075,20.89472138156692,87.07721726678145,0.0014311747297646744,7.161370689377615,87.37120234450937,17.978392267116273,0.006637427966096754,6.867809070600483,-0.013338183679734284,0.06648874804711748,-3.2650607839979657,-0.17250212735531345,2.1662877728069043,-0.051596454709033235,4666.291839890564,0.2568128116668576,87.37125793354616,1.8633098382071789,1.2225446109534035,101074.24028216228,288.0141843110198,0.0,0.1,0.0,350.02,0.1878531941402813,0.86,nominal,4021.7707189991424,nan,pitch_program,12.94,0.0,0.0
0.15,12.983287108746325,0.0001623940471375142,21.104092353144516,87.6138680509677,0.0016339506573934482,6.979032385919814,87.8913919025401,17.972756671292064,0.009807535461777353,6.952659703702889,-0.0196598846399972,0.08031723673224374,-2.8283849462123873,-0.20878680273525618,2.398276853715593,-0.04493670403438889,4721.9264138390035,0.25834242826918874,87.89144693185884,1.8938987709551331,1.2225200261534905,101071.73014477247,288.01282339970453,0.0,0.1,0.0,355.825,0.1909686955173007,0.86,nominal,4069.4088325579096,nan,pitch_program,12.925,0.0,0.0
0.18,15.628035020259851,0.0002143722537698998,21.308198113786478,88.15826371711758,0.0017326068877461865,6.803525354732049,88.42040161564104,17.967027610426545,0.013468316345227608,7.050153873574927,-0.02695368773368122,0.09239039389295757,-3.2498553960537953,-0.24065379380371835,2.6371499494553583,-0.037422441325626776,4778.8453353826835,0.2598979624625718,88.42045620414927,1.9249649840159313,1.222496059970302,101069.28318030493,288.01149671226034,0.0,0.1,0.0,361.63,0.19408419689432013,0.86,nominal,4118.045751968193,nan,pitch_program,12.91,0.0,0.0
0.21,18.289338771076686,0.00026561143737605976,21.50729298474369,88.71012502722782,0.0017079727868719986,6.6364956985736425,88.95802021414791,17.961205084519715,0.017543087380277628,7.138844298403283,-0.035060529102895276,0.10245085119604862,-2.956420548015548,-0.2673591334379824,2.860451113662349,-0.02922020542975304,4837.042636262507,0.2614787939618224,88.95807450044201,1.956226722111165,1.222472682514171,101066.89633615133,288.01020259559914,0.0,0.1,0.0,367.435,0.19719969827133954,0.86,nominal,4167.679174959211,nan,pitch_program,12.895,0.0,0.0
0.24,20.967424081116214,0.0003118985137750199,21.701621628148008,89.26951033465096,0.0015429025466320038,6.477621446810666,89.50421809823872,17.955289093571576,0.021941367368283726,7.202144291481844,-0.0437997462214506,0.11024768624267425,-2.1100994492449403,-0.2883019477826616,3.0518862161382154,-0.02051018141852706,4896.531949217813,0.2630848364404344,89.5042722376791,1.9875056072915094,1.2224498650319866,101064.56667582119,288.00893945941704,0.0,0.1,0.0,373.24,0.20031519964835895,0.86,nominal,4218.322736428219,nan,pitch_program,12.88,0.0,0.0
0.27,23.662524772080914,0.00034858451548625284,21.89138905922535,89.83668969882339,0.001222866723707766,6.325581035911391,90.05911277033528,17.949279637582126,0.02656298574742575,7.244947286315837,-0.05298056438512528,0.11557378820428597,-1.4268949408114175,-0.3029944403831916,3.217281633593616,-0.011483246051257471,4957.343308600259,0.26471643583857635,90.05916693156017,2.0188619425775114,1.2224275834280098,101062.29173840825,288.007705971115,0.0,0.1,0.0,379.045,0.20343070102537836,0.86,nominal,4270.003087007635,nan,pitch_program,12.865,0.0,0.0
