time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,radar_agl_m,optical_flow_valid,optical_flow_x_radps,optical_flow_y_radps,optical_flow_quality,horizon_valid,horizon_roll_deg,horizon_pitch_deg
0.0,0.0,0.0,20.0,85.0,0.0,8.0,85.37564055396598,18.0,0.0,6.000000000000002,0.0,0.0,0.0,0.0,0.5564869907880661,0.0,4456.930974865101,0.2509722163221767,85.38506895236425,1.7466904897941358,1.2226496753673843,101084.96761777384,288.02,0.0,0.0,-0.1,326.8,0.17539118863220368,0.86,nominal,3840.633,nan,pitch_program,13.0,0.0,0.0,-20.05352282957881,-0.0,0.0,-2.6999999999999997,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.0,-0.047123889803846894,0.0,0.0,0.0,1.0,17.096536509746663,-0.04331266066330364,0.12548432820521357,0.0016677683591043149,0.0011681274632859406,0.0012765720485123657,17.097051878388257,0.00240324973008537,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.771163472887363,0.0,1.0,85.63642665807238,4466.505573608554,1.0,1.0,-0.8198733225718878,19.523475325297145,-0.00615746722134172,-43.81279554351524,1.0,20.39618647858491,1.0,-0.0077448575321814855,4.273240466216326,0.95,1.0,0.17459483210835952,5.697481511065039
0.03,2.5653186933952696,0.0,20.23290578365111,85.51062311317565,0.0,7.763526121703686,85.86232586557358,17.994738264341034,0.0,6.271740387320408,0.0,0.0,-9.058029889823821,0.0,1.0176185009243097,0.0,4507.748426489432,0.25240242663909496,85.87142544682885,1.774793852321726,1.2226223252837,101082.17508596799,288.01848611240626,0.0,0.0,-0.1,332.605,0.1785066900092231,0.86,nominal,3884.586527026215,nan,pitch_program,12.985,0.0,0.0,-0.4702471222157125,-0.0,0.0,-1.3621482733294275,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.02377397226995417,0.0,0.0,-0.02377397226995417,0.0,0.0,0.03,1.0,17.402541628429542,-0.024205067786461216,0.6476485575156422,0.001972178925766813,-0.15877170581150923,0.0016995476198838452,17.414605642063268,0.1587930493381997,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.771163472887363,0.0,1.0,85.45774571051679,4494.743988359959,1.0,1.0,-0.8198733225718878,19.523475325297145,-0.00615746722134172,-43.81279554351524,1.0,20.39618647858491,1.0,-0.0077448575321814855,4.273240466216326,0.95,1.0,0.17459483210835952,5.697481511065039
0.06,5.146134471515092,0.0,20.459268352287204,86.0271926039941,0.0,7.545418954536484,86.35746183465662,17.98938306364076,0.0,6.58890623093568,0.0,0.0,-10.572221784007358,0.0,1.5102516467133427,0.0,4559.750478394425,0.2538575357426458,86.36625671125896,1.8038344106802715,1.2225957440170772,101079.46106693026,288.01701475571014,0.0,0.0,-0.1,338.40999999999997,0.18162219138624247,0.86,nominal,3929.442491249045,nan,pitch_program,12.97,0.0,0.0,0.24190175248964207,-0.0,0.0,-0.39971825783798576,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.006976399679608482,0.0,0.0,-0.006976399679608482,0.0,0.0,0.06,1.0,17.70960615925321,-0.048625240197861,1.1892316928934064,-0.003446139225741984,-0.18598903788367127,-0.00034689119184351384,17.749557367698653,0.18602128486266264,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.525904713889986,0.0,1.0,85.94729004085725,4526.807704769175,1.0,1.0,0.07665381874344163,19.04258188439329,-0.026858555853548426,-44.02062177838265,1.0,20.444254594517183,1.0,0.00018197912592243334,4.219152398659084,0.948851829119282,1.0,-0.15907090264631085,6.40991860600364
0.09,7.7426147401552425,0.0,20.67964923834451,86.54934228800502,0.0,7.346029535243532,86.86053649626466,17.983934397899173,0.0,6.784114061394519,0.0,0.0,-6.506933976217821,0.0,1.8669403194181164,0.0,4612.897924847151,0.2553360406751878,86.86905091185223,1.833519588597963,1.2225698655912458,101076.81882315337,288.01558227995076,0.0,0.0,-0.1,344.215,0.18473769276326188,0.86,nominal,3975.1744824126736,nan,pitch_program,12.955,0.0,0.0,-1.066929951099308,-0.0,0.0,-0.8000452737947791,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.013963424192738404,0.0,0.0,-0.013963424192738404,0.0,0.0,0.09,1.0,17.98319610195117,-0.01094183278357201,1.3806760264560844,0.0004011470069548937,-0.11525842741153404,0.0025448602353110453,18.03612286648566,0.11528721664572494,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.525904713889986,0.0,1.0,87.23954851375605,4644.907965833186,1.0,1.0,0.07665381874344163,19.04258188439329,-0.026858555853548426,-44.02062177838265,1.0,20.444254594517183,1.0,0.00018197912592243334,4.219152398659084,0.948851829119282,1.0,-0.15907090264631085,6.40991860600364
0.12,10.354967270868329,0.0,20.894358300469307,87.07841769043618,0.0,7.156968737493217,87.37203802693126,17.978392267116273,0.0,6.883163710566247,0.0,0.0,-3.3016557946547813,0.0,2.1192384721931696,0.0,4667.256412982273,0.2568393477602386,87.3802862362388,1.8635317573847128,1.2225446535875124,101074.24463516596,288.0141866710469,0.0,0.0,-0.1,350.02,0.1878531941402813,0.86,nominal,4021.8401733170595,nan,pitch_program,12.94,0.0,0.0,-2.1285422448854345,-0.0,0.0,-1.5971434564491722,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.027875411941720718,0.0,0.0,-0.027875411941720718,0.0,0.0,0.12,1.0,18.248843265607807,-0.01413003862604277,1.4948394457459075,0.0017811967641120853,-0.05694842150956511,-0.0028376729027249836,18.30997064878229,0.05704689090429417,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.834933476231274,0.0,1.0,87.27259262336824,4713.584151129148,1.0,1.0,-1.8951218293581098,18.82900429297318,-0.005790965511073151,-44.086461392046076,1.0,20.159250316592782,1.0,-0.013840283315854317,4.181200590677009,0.9477641042488267,1.0,0.28335723464815654,7.4899036098307725
0.15,12.98342666920427,0.0,21.10357147787043,87.61531327786471,0.0,6.973772580037541,87.89241505827712,17.972756671292064,0.0,6.969567923343711,0.0,0.0,-2.8801409717450963,0.0,2.353706895608988,0.0,4722.8893452264965,0.2583687605277464,87.90040602461667,1.8940826105560322,1.2225200873153423,101071.73638945575,288.0128267853938,0.0,0.0,-0.1,355.825,0.1909686955173007,0.86,nominal,4069.4936516216885,nan,pitch_program,12.925,0.0,0.0,-2.222859263886106,-0.0,0.0,-1.9725729409113324,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.034427892554650306,0.0,0.0,-0.034427892554650306,0.0,0.0,0.15,1.0,18.547841167378948,-0.03605765477427094,1.6567469601320783,-0.00013304420042076212,-0.050401082781651195,-0.0016289172586783655,18.621721795115832,0.050427573982472544,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.834933476231274,0.0,1.0,87.54862342106134,4740.725769457413,1.0,1.0,-1.8951218293581098,18.82900429297318,-0.005790965511073151,-44.086461392046076,1.0,20.159250316592782,1.0,-0.013840283315854317,4.181200590677009,0.9477641042488267,1.0,0.28335723464815654,7.4899036098307725
0.18,15.628224826843786,0.0,21.307495375824775,88.15993858798386,0.0,6.797463265144832,88.42160527087302,17.967027610426545,0.0,7.069099021248756,0.0,0.0,-3.317704097813975,0.0,2.5955010010873814,0.0,4779.806965326955,0.25992409948240486,88.42934903826392,1.9251099763971187,1.2224961424854692,101069.29160514325,288.01150128005713,0.0,0.0,-0.1,361.63,0.19408419689432013,0.86,nominal,4118.145288866372,nan,pitch_program,12.91,0.0,0.0,-2.0090793676429834,-0.0,0.0,-1.9944767969503228,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03481018696141353,0.0,0.0,-0.03481018696141353,0.0,0.0,0.18,1.0,18.752930496026703,-0.04780444576139571,1.8789234068085303,0.00013974800767314763,-0.06047363942945767,-0.0008869940367906495,18.84688410911724,0.06048030550328767,1.0,0.0,-1.885154541229685,1.8645638091475825,21.162662438547994,85.32748210022089,0.18147237523479218,7.846341299741817,1.0,20.081602566655135,0.0,1.0,88.03975921028169,4844.121556900283,1.0,1.0,-0.5428950996559269,18.715371613448617,0.02966309435753329,-44.22738244356958,1.0,21.361129197181977,1.0,0.006974051956994979,4.138961588398088,0.9467312615604381,1.0,-0.5040599611879599,6.7113570587510365
0.21,18.289585034804077,0.0,21.506387065210117,88.71200693200974,0.0,6.629722979511331,88.95939186331034,17.961205084519715,0.0,7.159579362515572,0.0,0.0,-3.0160120023403896,0.0,2.821411084938876,0.0,4838.002897831754,0.2615047333291445,88.96690027918196,1.9563369976003602,1.2224727888852678,101066.9071966428,288.0102084840761,0.0,0.0,-0.1,367.435,0.19719969827133954,0.86,nominal,4167.792311058046,nan,pitch_program,12.895,0.0,0.0,-2.0590438104487774,-0.0,0.0,-2.033217005049395,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03548633114565012,0.0,0.0,-0.03548633114565012,0.0,0.0,0.21,1.0,19.04350574558411,0.06045326675660328,2.0807151689253427,-0.0011844703614280934,-0.050929334418354705,0.0010356537480328346,19.156934548454053,0.050953632382976635,1.0,0.0,18.158744248766908,-0.8507156713177079,22.52761259754094,88.79296802906379,-0.10696639449047544,6.689300481160241,1.0,20.081602566655135,0.0,1.0,88.82004186435208,4834.523571716223,1.0,1.0,-0.5428950996559269,18.715371613448617,0.02966309435753329,-44.22738244356958,1.0,21.361129197181977,1.0,0.006974051956994979,4.138961588398088,0.9467312615604381,1.0,-0.5040599611879599,6.7113570587510365
0.24,20.967732416491927,0.0,21.70049341197027,89.27157938959508,0.0,6.470211558671809,89.50574576152498,17.955289093571576,0.0,7.2241661546421225,0.0,0.0,-2.152893298857954,0.0,3.014899302179856,0.0,4897.490769289014,0.2631105757047666,89.51303015002051,1.9875873531739678,1.2224499975027796,101064.580201033,288.00894679282214,0.0,0.0,-0.1,373.24,0.20031519964835895,0.86,nominal,4218.448405881872,nan,pitch_program,12.88,0.0,0.0,-2.3199601536822385,-0.0,0.0,-2.2052628942291013,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03848909837635728,0.0,0.0,-0.03848909837635728,0.0,0.0,0.24,1.0,19.344148461797296,-0.05931437453800777,2.283633209389579,0.0004014737785476082,-0.03753110508164091,0.0011573760834501412,19.478567158343772,0.0375510925172967,1.0,0.0,18.158744248766908,-0.8507156713177079,22.52761259754094,88.79296802906379,-0.10696639449047544,6.689300481160241,1.0,22.184344090441684,0.0,1.0,89.46599419101749,4892.085401893142,1.0,1.0,-0.9874075351661772,18.62535722033746,-0.01105574941250553,-44.30265023066692,1.0,21.596801967813132,1.0,0.015553992101837083,4.126367262006041,0.9457487664700743,1.0,-0.5929147826834491,7.180901100325089
0.27,23.662900366313266,0.0,21.890020788819992,89.83893166071131,0.0,6.3175792283240195,90.06078752289538,17.949279637582126,0.0,7.267990783717835,0.0,0.0,-1.4608210404112338,0.0,3.1820486955090668,0.0,4958.300764500231,0.2647419766425442,90.06785755800887,2.0189210419312884,1.2224277440828075,101062.30814112474,288.00771486487264,0.0,0.0,-0.1,379.045,0.20343070102537836,0.86,nominal,4270.140496990735,nan,pitch_program,12.865,0.0,0.0,-2.5326018181977235,-0.0,0.0,-2.4016662486102747,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.04191698357226998,0.0,0.0,-0.04191698357226998,0.0,0.0,0.27,1.0,19.55637584938447,-0.02835453910261265,2.4279952302170402,0.0019072580176267414,-0.023384127587217314,-0.002090558849283284,19.706542090895415,0.023554733971398956,1.0,0.0,18.158744248766908,-0.8507156713177079,22.52761259754094,88.79296802906379,-0.10696639449047544,6.689300481160241,1.0,22.184344090441684,0.0,1.0,90.13742137929498,4962.769943396579,1.0,1.0,-0.9874075351661772,18.62535722033746,-0.01105574941250553,-44.30265023066692,1.0,21.596801967813132,1.0,0.015553992101837083,4.126367262006041,0.9457487664700743,1.0,-0.5929147826834491,7.180901100325089
