time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg
0.0,0.0,0.0,20.0,85.0,0.0,8.0,85.37564055396598,18.0,0.0,6.000000000000002,0.0,0.0,0.0,0.0,0.5564869907880661,0.0,4456.930974865101,0.2509722163221767,85.38506895236425,1.7466904897941358,1.2226496753673843,101084.96761777384,288.02,0.0,0.0,-0.1,326.8,0.17539118863220368,0.86,nominal,3840.633,nan,pitch_program,13.0,0.0,0.0
0.03,2.5653186933952696,0.0,20.23290578365111,85.51062311317565,0.0,7.763526121703686,85.86232586557358,17.994738264341034,0.0,6.271740387320408,0.0,0.0,-9.058029889823821,0.0,1.0176185009243097,0.0,4507.748426489432,0.25240242663909496,85.87142544682885,1.774793852321726,1.2226223252837,101082.17508596799,288.01848611240626,0.0,0.0,-0.1,332.605,0.1785066900092231,0.86,nominal,3884.586527026215,nan,pitch_program,12.985,0.0,0.0
0.06,5.146134471515092,0.0,20.459268352287204,86.0271926039941,0.0,7.545418954536484,86.35746183465662,17.98938306364076,0.0,6.58890623093568,0.0,0.0,-10.572221784007358,0.0,1.5102516467133427,0.0,4559.750478394425,0.2538575357426458,86.36625671125896,1.8038344106802715,1.2225957440170772,101079.46106693026,288.01701475571014,0.0,0.0,-0.1,338.40999999999997,0.18162219138624247,0.86,nominal,3929.442491249045,nan,pitch_program,12.97,0.0,0.0
0.09,7.7426147401552425,0.0,20.67964923834451,86.54934228800502,0.0,7.346029535243532,86.86053649626466,17.983934397899173,0.0,6.784114061394519,0.0,0.0,-6.506933976217821,0.0,1.8669403194181164,0.0,4612.897924847151,0.2553360406751878,86.86905091185223,1.833519588597963,1.2225698655912458,101076.81882315337,288.01558227995076,0.0,0.0,-0.1,344.215,0.18473769276326188,0.86,nominal,3975.1744824126736,nan,pitch_program,12.955,0.0,0.0
0.12,10.354967270868329,0.0,20.894358300469307,87.07841769043618,0.0,7.156968737493217,87.37203802693126,17.978392267116273,0.0,6.883163710566247,0.0,0.0,-3.3016557946547813,0.0,2.1192384721931696,0.0,4667.256412982273,0.2568393477602386,87.3802862362388,1.8635317573847128,1.2225446535875124,101074.24463516596,288.0141866710469,0.0,0.0,-0.1,350.02,0.1878531941402813,0.86,nominal,4021.8401733170595,nan,pitch_program,12.94,0.0,0.0
0.15,12.98342666920427,0.0,21.10357147787043,87.61531327786471,0.0,6.973772580037541,87.89241505827712,17.972756671292064,0.0,6.969567923343711,0.0,0.0,-2.8801409717450963,0.0,2.353706895608988,0.0,4722.8893452264965,0.2583687605277464,87.90040602461667,1.8940826105560322,1.2225200873153423,101071.73638945575,288.0128267853938,0.0,0.0,-0.1,355.825,0.1909686955173007,0.86,nominal,4069.4936516216885,nan,pitch_program,12.925,0.0,0.0
0.18,15.628224826843786,0.0,21.307495375824775,88.15993858798386,0.0,6.797463265144832,88.42160527087302,17.967027610426545,0.0,7.069099021248756,0.0,0.0,-3.317704097813975,0.0,2.5955010010873814,0.0,4779.806965326955,0.25992409948240486,88.42934903826392,1.9251099763971187,1.2224961424854692,101069.29160514325,288.01150128005713,0.0,0.0,-0.1,361.63,0.19408419689432013,0.86,nominal,4118.145288866372,nan,pitch_program,12.91,0.0,0.0
0.21,18.289585034804077,0.0,21.506387065210117,88.71200693200974,0.0,6.629722979511331,88.95939186331034,17.961205084519715,0.0,7.159579362515572,0.0,0.0,-3.0160120023403896,0.0,2.821411084938876,0.0,4838.002897831754,0.2615047333291445,88.96690027918196,1.9563369976003602,1.2224727888852678,101066.9071966428,288.0102084840761,0.0,0.0,-0.1,367.435,0.19719969827133954,0.86,nominal,4167.792311058046,nan,pitch_program,12.895,0.0,0.0
0.24,20.967732416491927,0.0,21.70049341197027,89.27157938959508,0.0,6.470211558671809,89.50574576152498,17.955289093571576,0.0,7.2241661546421225,0.0,0.0,-2.152893298857954,0.0,3.014899302179856,0.0,4897.490769289014,0.2631105757047666,89.51303015002051,1.9875873531739678,1.2224499975027796,101064.580201033,288.00894679282214,0.0,0.0,-0.1,373.24,0.20031519964835895,0.86,nominal,4218.448405881872,nan,pitch_program,12.88,0.0,0.0
0.27,23.662900366313266,0.0,21.890020788819992,89.83893166071131,0.0,6.3175792283240195,90.06078752289538,17.949279637582126,0.0,7.267990783717835,0.0,0.0,-1.4608210404112338,0.0,3.1820486955090668,0.0,4958.300764500231,0.2647419766425442,90.06785755800887,2.0189210419312884,1.2224277440828075,101062.30814112474,288.00771486487264,0.0,0.0,-0.1,379.045,0.20343070102537836,0.86,nominal,4270.140496990735,nan,pitch_program,12.865,0.0,0.0
0.3,26.375328078286515,0.0,22.0751512582118,90.41425706577496,0.0,6.171015646393659,90.62460656391328,17.943176716551363,0.0,7.301696634809279,0.0,0.0,-1.1235284021165262,0.0,3.3340897408429306,0.0,5020.460294067145,0.26639919643969434,90.63147090273527,2.050422350498255,1.2224060072264002,101060.08883140802,288.0065115168216,0.0,0.0,-0.1,384.84999999999997,0.20654620240239774,0.86,nominal,4322.8929395183795,nan,pitch_program,12.850000000000001,0.0,0.0
0.32999999999999996,29.105256568137392,0.0,22.256062762857777,90.99761632836261,0.0,6.030383488199263,91.19721323844622,17.93698033047929,0.0,7.328392621166574,0.0,0.0,-0.8898662280085647,0.0,3.474278872990984,0.0,5083.988563371822,0.2680822652414893,91.20388028563409,2.0820578116070485,1.2223847660199905,101057.92013598225,288.0053355920414,0.0,0.0,-0.1,390.655,0.20966170377941715,0.86,nominal,4376.723269122695,nan,pitch_program,12.835,0.0,0.0
0.36,31.852928123737765,0.0,22.432930472394233,91.58905185334582,0.0,5.895590317881859,91.77860537506098,17.930690479365907,0.0,7.346162126955561,0.0,0.0,-0.592316864380556,0.0,3.600817257748423,0.0,5148.903689101842,0.2697911765252222,91.78508333413848,2.1137481073789015,1.2223639998771845,101055.79995240031,288.0041859519294,0.0,0.0,-0.1,396.46,0.21277720515643656,0.86,nominal,4431.648099912691,nan,pitch_program,12.82,0.0,0.0
0.39,34.61858758913942,0.0,22.605919788398825,92.18864884672186,0.0,5.766310533486462,92.36881136700194,17.924307163211214,0.0,7.354488304706529,0.0,0.0,-0.2775392588540004,0.0,3.7134515123217606,0.0,5215.227489853975,0.27152601283878613,92.3751079861858,2.1454636274861056,1.2223436893599415,101053.72629550635,288.0030615213754,0.0,0.0,-0.1,402.265,0.21589270653345596,0.86,nominal,4487.686999969295,nan,pitch_program,12.805,0.0,0.0
0.42,37.40248274908701,0.0,22.775184661807838,92.79650533158612,0.0,5.6421624469670775,92.96787293916677,17.91783038201521,0.0,7.355246506803118,0.0,0.0,-0.025273403219920287,0.0,3.8143511213107666,0.0,5282.983661840709,0.2732868957299285,92.97399545745279,2.155310254508413,1.2223238163759969,101051.69731758775,288.0019612996982,0.0,0.0,-0.1,404.1773684210526,0.21691906078826353,0.86,nominal,4544.860964080246,nan,pitch_program,12.79,0.0,0.0
0.44999999999999996,40.20466972622756,0.0,22.940846056166308,93.4062325713516,0.0,5.522046478615596,93.56931805076606,17.911322810191564,0.0,7.350279323140077,0.0,0.0,0.16557278887170138,0.0,3.905847567016949,0.0,5351.451230378281,0.27505479910289704,93.57527285443061,2.1542768774063226,1.2223043667072506,101049.71156651137,288.00088450063487,0.0,0.0,-0.1,404.14342105263154,0.21690084148196515,0.86,nominal,4602.581488219411,nan,pitch_program,12.775,0.0,0.0
0.48,43.02510931033872,0.0,23.103006931520916,94.0146528037054,0.0,5.405362511820233,94.16991497121288,17.904815784947104,0.0,7.340265364716978,0.0,0.0,0.3337986149529876,0.0,3.988934320934301,0.0,5420.26337570337,0.27682022213826174,94.17570789852248,2.1533090916544237,1.2222853282503254,101047.76780608193,287.9998304549451,0.0,0.0,-0.1,404.1094736842105,0.2168826221756668,0.86,nominal,4660.549545767732,nan,pitch_program,12.76,0.0,0.0
