time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg
0.0,0.0,0.0,20.0,85.0,0.0,8.0,85.37564055396598,18.0,0.0,6.000000000000002,0.0,0.0,0.0,0.0,0.5564869907880661,0.0,4456.930974865101,0.2509722163221767,85.38506895236425,1.7466904897941358,1.2226496753673843,101084.96761777384,288.02,0.0,0.0,-0.1,326.8,0.17539118863220368,0.86,nominal,3840.633,nan,pitch_program,13.0,0.0,0.0
0.03,2.5653186933952696,0.0,20.23290578365111,85.51062311317565,0.0,7.763526121703686,85.86232586557358,17.994738264341034,0.0,6.271740387320408,0.0,0.0,-9.058029889823821,0.0,1.0176185009243097,0.0,4507.748426489432,0.25240242663909496,85.87142544682885,1.7745817221101465,1.2226223252837,101082.17508596799,288.01848611240626,0.0,0.0,-0.1,332.605,0.1785066900092231,0.86,nominal,3884.586527026215,nan,pitch_program,12.985,0.0,0.0
0.06,5.1461403027615695,0.0,20.459215293598337,86.02738697887666,0.0,7.543650331574299,86.35750095236926,17.98938306364076,0.0,6.654585568108502,0.0,0.0,-12.761553507692943,0.0,1.5771111048489665,0.0,4559.754415459882,0.2538576445390089,86.36629377717198,1.8030578724981061,1.2225957502475924,101079.46170308103,288.0170151005916,0.0,0.0,-0.1,338.40999999999997,0.18162219138624247,0.86,nominal,3929.445349028196,nan,pitch_program,12.97,0.0,0.0
0.09,7.742616734337785,0.0,20.679557958111594,86.54921438587387,0.0,7.344755483775197,86.86030131152206,17.983934397899173,0.0,6.964387428463059,0.0,0.0,-10.326753838191623,0.0,2.0480436847996817,0.0,4612.872834570607,0.25533534488552895,86.8688142835227,1.8326938127329635,1.2225698763098225,101076.81991754075,288.01558287327225,0.0,0.0,-0.1,344.215,0.18473769276326188,0.86,nominal,3975.153159014116,nan,pitch_program,12.955,0.0,0.0
0.12,10.354920853023005,0.0,20.894410195003807,87.07680395617398,0.0,7.161741229740382,87.37082078510949,17.978392267116273,0.0,7.1448498361718435,0.0,0.0,-6.015418563229246,0.0,2.377718133703213,0.0,4667.126952916022,0.25683578642914306,87.37907457114471,1.8628011953519754,1.2225446474938946,101074.24401299885,288.0141863337324,0.0,0.0,-0.1,350.02,0.1878531941402813,0.86,nominal,4021.7343300706934,nan,pitch_program,12.94,0.0,0.0
0.15,12.983262725440634,0.0,21.10405572557242,87.61139574725428,0.0,6.9881843522870595,87.88965459781689,17.972756671292064,0.0,7.240857655860157,0.0,0.0,-3.2002614050880065,0.0,2.61542733153219,0.0,4722.594279951445,0.25836069695206654,87.89766221119885,1.8932712160872656,1.2225200304543482,101071.73058389412,288.01282363778375,0.0,0.0,-0.1,355.825,0.1909686955173007,0.86,nominal,4069.255780742962,nan,pitch_program,12.925,0.0,0.0
0.18,15.627873943664248,0.0,21.30868740670299,88.15370727412048,0.0,6.821056037685757,88.41720936356548,17.967027610426545,0.0,7.311958344680329,0.0,0.0,-2.3700232648125525,0.0,2.8228048098906906,0.0,4779.3341382297995,0.2599112614600511,88.42498019704674,1.9242021193602905,1.2224960025177563,101069.2773143724,288.0114935318564,0.0,0.0,-0.1,361.63,0.19408419689432013,0.86,nominal,4117.768295177229,nan,pitch_program,12.91,0.0,0.0
0.21,18.288988687007663,0.0,21.508500060528224,88.70382477811384,0.0,6.6604217941745025,88.95352578027831,17.961205084519715,0.0,7.382882037396585,0.0,0.0,-2.364123392416303,0.0,3.024600075516931,0.0,4837.367750871306,0.2614875999878349,88.96106919940583,1.95552968488198,1.222472540781974,101066.88186529107,288.01019474960657,0.0,0.0,-0.1,367.435,0.19719969827133954,0.86,nominal,4167.291206489898,nan,pitch_program,12.895,0.0,0.0
0.24,20.96683761055286,0.0,21.703712509519228,89.26163078483994,0.0,6.507081633033478,89.49849630998303,17.955289093571576,0.0,7.4474927456543965,0.0,0.0,-2.153690503486713,0.0,3.2142203021466114,0.0,4896.700586408625,0.2630893993646273,89.50582248141544,1.987070923061891,1.2224496195287837,101064.54161004926,288.0089258686881,0.0,0.0,-0.1,373.24,0.20031519964835895,0.86,nominal,4217.8311331555,nan,pitch_program,12.88,0.0,0.0
0.27,23.661651844063414,0.0,21.89454366274509,89.82714111701844,0.0,6.361038440862023,90.0520854356126,17.949279637582126,0.0,7.493616941202342,0.0,0.0,-1.53747326796222,0.0,3.37956184318163,0.0,4957.345932571837,0.2647165554250719,90.05920441016032,2.0186653012997517,1.222427213031848,101062.25392128107,288.00768546619213,0.0,0.0,-0.1,379.045,0.20343070102537836,0.86,nominal,4269.401172261694,nan,pitch_program,12.865,0.0,0.0
0.3,26.373668064412357,0.0,22.081188589200195,90.40054067829804,0.0,6.221497548503469,90.61437406214675,17.943176716551363,0.0,7.518228916913366,0.0,0.0,-0.8203992029825903,0.0,3.5181810198484413,0.0,5019.330061146707,0.26636930352422,90.62129488251838,2.0502688576442076,1.222405298365911,101060.01645766877,288.00647227417016,0.0,0.0,-0.1,384.84999999999997,0.20654620240239774,0.86,nominal,4322.024881415607,nan,pitch_program,12.850000000000001,0.0,0.0
0.32999999999999996,29.103129634975655,0.0,22.26381508840265,90.98205235210995,0.0,6.087549973415216,91.18548193040877,17.93698033047929,0.0,7.526617924570381,0.0,0.0,-0.27963358906668406,0.0,3.6360105874076836,0.0,5082.684067020155,0.26804799277939473,91.19221252319514,2.0819191023945534,1.2223838558091895,101057.82720501778,288.00528520192535,0.0,0.0,-0.1,390.655,0.20966170377941715,0.86,nominal,4375.729499677136,nan,pitch_program,12.835,0.0,0.0
0.36,31.850284642350488,0.0,22.442573731850114,91.57183357916108,0.0,5.958621448248777,91.76549392126162,17.930690479365907,0.0,7.525130950707058,0.0,0.0,0.049565795446821104,0.0,3.7398158759820057,0.0,5147.435798185292,0.2697528709472199,91.77204148815015,2.1136464132480492,1.2223628676641247,101055.6843558492,288.004123270743,0.0,0.0,-0.1,396.46,0.21277720515643656,0.86,nominal,4430.539402994,nan,pitch_program,12.82,0.0,0.0
0.39,34.61538375680834,0.0,22.617607283579225,92.16997048192847,0.0,5.8344517243037295,92.35444919202754,17.924307163211214,0.0,7.516889033299348,0.0,0.0,0.2747305807308335,0.0,3.8329305214267655,0.0,5213.6085103329215,0.27148405241945817,92.360820567531,2.1454380221540994,1.2223423171511412,101053.58619644954,288.0029855526567,0.0,0.0,-0.1,402.265,0.21589270653345596,0.86,nominal,4486.4751012489105,nan,pitch_program,12.805,0.0,0.0
0.42,37.39867943490016,0.0,22.78905343993589,92.77652260306066,0.0,5.714871878555577,92.95236902255117,17.91783038201521,0.0,7.502328470659132,0.0,0.0,0.4853520906192289,0.0,3.915942897664451,0.0,5281.223844756318,0.2732415993374085,92.95857077903167,2.1553661916929117,1.222322188086883,101051.53107401615,288.0018711526404,0.0,0.0,-0.1,404.1773684210526,0.21691906078826353,0.86,nominal,4543.555724369012,nan,pitch_program,12.79,0.0,0.0
0.44999999999999996,40.200232231290734,0.0,22.95701791435071,93.38509321301919,0.0,5.59881581382736,93.55277854196233,17.911322810191564,0.0,7.481474805580464,0.0,0.0,0.6951221769625886,0.0,3.9893363449356007,0.0,5349.560844674051,0.27500647740658485,93.55881645298966,2.154379761882623,1.2223024680441095,101049.51771926961,288.0007793835567,0.0,0.0,-0.1,404.14342105263154,0.21690084148196515,0.86,nominal,4601.19262619049,nan,pitch_program,12.775,0.0,0.0
0.48,43.02000785419968,0.0,23.12158608040946,93.99252076363165,0.0,5.485605535291686,94.15246054984728,17.904815784947104,0.0,7.455094504883466,0.0,0.0,0.8793433721009061,0.0,4.054231427174012,0.0,5418.254652923512,0.27676922826901823,94.1583397724153,2.153426976556508,1.2222831469844917,101047.54510685886,287.9997096904773,0.0,0.0,-0.1,404.1094736842105,0.2168826221756668,0.86,nominal,4659.088215930722,nan,pitch_program,12.76,0.0,0.0
0.51,45.85797391718126,0.0,23.28283652562536,94.59886876605266,0.0,5.375014840529922,94.75144725202233,17.898309306281835,0.0,7.4244243953420614,0.0,0.0,1.022337009125132,0.0,4.11206248622034,0.0,5487.307380846711,0.2785299456172926,94.75717260092175,2.15250958667802,1.2222642156671928,101045.6122928782,287.99866156258344,0.0,0.0,-0.1,404.0755263157895,0.21686440286936848,0.86,nominal,4717.245006990409,nan,pitch_program,12.745,0.0,0.0
0.54,48.714099525600346,0.0,23.440842768129855,95.20418694730274,0.0,5.266874750149831,95.34976235906797,17.891803374195753,0.0,7.390530762172777,0.0,0.0,1.1297878052558432,0.0,4.164053283196927,0.0,5556.720254058693,0.28028869836872605,95.35533837641584,2.1516269816323947,1.2222456654472502,101043.71839428095,287.99763452200716,0.0,0.0,-0.1,404.0415789473684,0.2168461835630701,0.86,nominal,4775.664731697449,nan,pitch_program,12.73,0.0,0.0
0.57,51.588354940802105,0.0,23.595674537020344,95.8085138400586,0.0,5.161058963016308,95.94742234088642,17.885297988688862,0.0,7.35407383176489,0.0,0.0,1.215231054596981,0.0,4.210991550750904,0.0,5626.493726018685,0.28204553430490853,95.95285334815756,2.150773786612296,1.222227488125213,101041.86257352629,287.99662811550934,0.0,0.0,-0.1,404.0076315789474,0.21682796425677175,0.86,nominal,4834.348448628685,nan,pitch_program,12.715,0.0,0.0
0.6,54.48071140479735,0.0,23.747398325289307,96.41188213317477,0.0,5.057459608965438,96.54444009966345,17.878793149761158,0.0,7.31547528418765,0.0,0.0,1.286618301233881,0.0,4.2534120223369944,0.0,5696.62788171819,0.2838004907898836,96.5497302227163,2.149943953419166,1.2222096758821837,101040.04403194587,287.9956419108856,0.0,0.0,-0.1,403.9736842105263,0.21680974495047337,0.86,nominal,4893.29688086545,nan,pitch_program,12.7,0.0,0.0
0.63,57.39114104113269,0.0,23.896077649788175,97.01432121117823,0.0,4.955977483295559,97.14082680768472,17.872288857412645,0.0,7.2751274902063,0.0,0.0,1.3449265216241828,0.0,4.2918119734278,0.0,5767.122641518006,0.2855536001404445,97.14597999082235,2.149134149819551,1.2221922212492544,101038.26200662236,287.99467549527634,0.0,0.0,-0.1,403.9397368421053,0.21679152564417503,0.86,nominal,4952.510586324594,nan,pitch_program,12.685,0.0,0.0
0.6599999999999999,60.31961674514772,0.0,24.04177340364166,97.61585680050096,0.0,4.856525128449448,97.73659158789593,17.86578511164332,0.0,7.233442824072741,0.0,0.0,1.3894889324073914,0.0,4.326698988398392,0.0,5837.977716861609,0.2873048886959119,97.7416116106383,2.14834348115482,1.2221751170661024,101036.51576616094,287.9937284728763,0.0,0.0,-0.1,403.9057894736842,0.21677330633787664,0.86,nominal,5011.989924758407,nan,pitch_program,12.67,0.0,0.0
0.69,63.26611205251032,0.0,24.184544323551698,98.2165102454201,0.0,4.75903066366789,98.33174084519425,17.859281912453184,0.0,7.190797114916795,0.0,0.0,1.421523704157877,0.0,4.358532475581824,0.0,5909.192522657885,0.28905437486366664,98.33663134244114,2.147571530197321,1.2221583564260983,101034.80460508431,287.9928004618969,0.0,0.0,-0.1,403.8718421052631,0.21675508703157828,0.86,nominal,5071.734990413779,nan,pitch_program,12.655,0.0,0.0
