time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg
0.0,0.0,0.0,20.0,85.0,0.0,8.0,85.37564055396598,17.633519126604632,0.0,6.000000000000002,0.0,0.0,0.0,0.0,0.5396440755261187,0.09042345829106828,4467.806158736801,0.25127822353723156,85.48917787541667,1.7829021991174387,1.2226496753673843,101084.96761777384,288.02,-0.10114574227902196,-0.1349178589895554,-0.13488317908401584,326.8,0.17539118863220368,0.86,nominal,3840.633,nan,pitch_program,13.0,0.0,0.0
0.03,2.565637560838371,-1.3494925008070879e-05,20.232930217655287,85.5212520279457,-0.00044983083360236267,7.764340588509544,85.872984887007,17.628257390945667,-0.0008375108722259178,6.273938748274728,0.0011759882025547987,-0.023726358322743626,-9.131309288507111,0.038908334257954605,1.002949320169477,0.08844478791035167,4519.796814484726,0.2527395146989118,85.9861082832785,1.8115128072471938,1.2226223224144446,101082.1747930085,288.01848595358524,-0.10114574227902196,-0.1349178589895554,-0.13488317908401584,332.605,0.1785066900092231,0.86,nominal,3885.5020318210354,nan,pitch_program,12.985,0.0,0.0
0.06,5.147093779793474,-3.803392686421748e-05,20.459357948763405,86.04854063183677,-0.0008179667285382198,7.547591036937276,86.37891800664552,17.62290219024539,-0.002466279934979107,6.592644835437067,0.0030990315377129093,-0.04710994183979902,-10.6235654636552,0.06339175480644237,1.4967195617188056,0.08581118560445132,4573.001272149625,0.25422612892435553,86.49165772038045,1.8411028742893134,1.2225957334960436,101079.4599927071,288.017014173333,-0.10114574227902196,-0.1349178589895554,-0.13488317908401584,338.40999999999997,0.18162219138624247,0.86,nominal,3931.2965006276354,nan,pitch_program,12.97,0.0,0.0
0.09,7.7445387672120445,-7.163641492993246e-05,20.679859227071187,86.58149958061901,-0.001120082935523833,7.350042610259414,86.89291799252655,17.617453524503805,-0.004843533496867923,6.787910675009977,0.00548767379580438,-0.0699657019432933,-6.508872651279534,0.07866413424237999,1.8527349489036482,0.08279942119506982,4627.379788830685,0.25573653442147465,87.00530452847224,1.8713667812069645,1.2225698409333283,101076.81630553244,288.01558091502403,-0.10114574227902196,-0.1349178589895554,-0.13488317908401584,344.215,0.18473769276326188,0.86,nominal,3977.98974011713,nan,pitch_program,12.955,0.0,0.0
0.12,10.358184438898276,-0.00011257974681707806,20.894749802897287,87.12152238954106,-0.0013647777295715203,7.163019194203287,87.41549353124104,17.611911393720906,-0.007291569108929539,6.886925621612346,0.00816283409180658,-0.07098503964053006,-3.300508399576585,0.08818832975524406,2.1041307246908407,0.07955756600859333,4683.0005512931,0.2572721893673118,87.52754453033153,1.9019725407090216,1.222544607616082,101074.23994141699,288.0141841262811,-0.10114574227902196,-0.1349178589895554,-0.13488317908401584,350.02,0.1878531941402813,0.86,nominal,4025.6417528098054,nan,pitch_program,12.94,0.0,0.0
0.15,12.988270145869427,-0.00015929913208248049,21.104208744994406,87.66952356570505,-0.0015573128421800804,6.981964736570586,87.94710453588368,17.606275797896696,-0.010154904714639828,6.9741022711818506,0.011021386699838853,-0.08394689103520898,-2.90590324767558,0.09414646681370682,2.338427448443044,0.07620053635315573,4739.928736152299,0.2588344262170161,88.05883090333032,1.9331330787960899,1.2225200124866087,101071.72874937086,288.0128226431575,-0.10114574227902196,-0.1349178589895554,-0.13488317908401584,355.825,0.1909686955173007,0.86,nominal,4074.3081868119248,nan,pitch_program,12.925,0.0,0.0
0.18,15.635032134242207,-0.0002103067812575404,21.30844824940621,88.22539961242605,-0.0017002549725019978,6.8079834803935055,88.4876815084023,17.600546737031177,-0.012828842213087562,7.074721656784896,0.013998527001682947,-0.07699520816058411,-3.354000070161721,0.09782046786950739,2.580240500451481,0.07277202539910273,4798.174522992406,0.2604230457714771,88.59909569898596,1.9647812889502103,1.2224960305994943,101069.28018153134,288.01149508637883,-0.10114574227902196,-0.1349178589895554,-0.13488317908401584,361.63,0.19408419689432013,0.86,nominal,4123.999383391261,nan,pitch_program,12.91,0.0,0.0
0.21,18.298697742696422,-0.00026415240091371106,21.507732540606053,88.78885361514054,-0.001794853988539022,6.642809706661404,89.03700045661506,17.594724211124348,-0.015783342272740197,7.165943583550756,0.017047223752156303,-0.08588676483256152,-3.0407566189436737,0.10008030143980755,2.805669251147574,0.06933330255833699,4857.731442426374,0.26203739747152466,89.14811735729472,1.9966315241434613,1.222472630902482,101066.89106659679,288.01019973848605,-0.10114574227902196,-0.1349178589895554,-0.13488317908401584,367.435,0.19719969827133954,0.86,nominal,4174.712530474971,nan,pitch_program,12.895,0.0,0.0
0.24,20.979496336294822,-0.00031938482664479903,21.702314516187354,89.35995311994661,-0.0018410808577029323,6.486065852709965,89.59503488047943,17.588808220176208,-0.01849436242836985,7.230984634865811,0.020135744930898838,-0.07746692955119606,-2.1680657329484974,0.10149074357971259,2.9982644660464386,0.06588365960309767,4918.614039578136,0.26367740218289437,89.70586873302882,2.028504898971197,1.2224497836757482,101064.55836938396,288.00893495564475,-0.10114574227902196,-0.1349178589895554,-0.13488317908401584,373.24,0.20031519964835895,0.86,nominal,4226.462140267331,nan,pitch_program,12.88,0.0,0.0
0.27,23.67766585542323,-0.0003745493266235877,21.89240510106574,89.93898397094686,-0.0018388166659596232,6.336352829279618,90.16191107271742,17.58279876418676,-0.021433124449137652,7.275368171876525,0.023248769880067004,-0.08485767501633869,-1.4794870849266515,0.10242165758319838,3.1645347389035767,0.062459293353698236,4980.853781928561,0.2653434254725384,90.27247401219259,2.060466574229796,1.222427464129966,101062.27955818105,288.00769936684304,-0.10114574227902196,-0.1349178589895554,-0.13488317908401584,379.045,0.20343070102537836,0.86,nominal,4279.276258626668,nan,pitch_program,12.865,0.0,0.0
