time_s,x_m,y_m,altitude_m,vx_mps,vy_mps,vz_mps,speed_mps,mass_kg,roll_deg,pitch_deg,yaw_deg,p_dps,q_dps,r_dps,alpha_deg,beta_deg,qbar_pa,mach,airspeed_mps,load_factor_g,density_kgpm3,pressure_pa,temperature_k,wind_x_mps,wind_y_mps,wind_z_mps,thrust_n,mass_flow_kgps,propulsion_throttle_actual,propulsion_health,energy_j_per_kg,target_distance_m,guidance_mode,pitch_command_deg,heading_command_deg,roll_command_deg,elevator_command_deg,aileron_command_deg,rudder_command_deg,elevator_deg,aileron_deg,rudder_deg,throttle,elevator_saturated,aileron_saturated,rudder_saturated,elevator_failed,aileron_failed,rudder_failed,elevator_raw_rad,aileron_raw_rad,rudder_raw_rad,elevator_effective_rad,aileron_effective_rad,rudder_effective_rad,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,gps_valid,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_alt_m,pitot_airspeed_mps,pitot_qbar_pa,mag_heading_deg
0.0,0.0,0.0,20.0,85.0,0.0,8.0,85.37564055396598,18.085553992840946,0.0,6.000000000000002,0.0,0.0,0.0,0.0,0.623294571949261,0.0,4455.946741876431,0.2509445034436674,85.37564055396597,1.7377595449110712,1.2226496753673843,101084.96761777384,288.02,0.0,0.0,0.0,326.8,0.17539118863220368,0.86,nominal,3840.633,nan,pitch_program,13.0,0.0,0.0,-20.05352282957881,-0.0,0.0,-2.6999999999999997,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.047123889803846894,0.0,0.0,-0.047123889803846894,0.0,0.0,17.026418563974083,0.04265435248479364,0.11197258915910259,-0.0019693524201773067,-0.0002283202889145931,0.0034825476733683176,1.0,1.0748258844106662,-2.2359671580330436,18.51333494575084,85.14542942101363,-0.094226961006505,7.990550680962668,20.438521462773743,84.49363354008686,4402.423444007758,-0.09384084596982473
0.03,2.565235148996817,0.0,20.232942485333158,85.5078382998939,0.0,7.764749511105262,85.85966308861812,18.08029225718198,0.0,6.265582975204377,0.0,0.0,-8.852781691043555,0.0,1.0769294759759587,0.0,4506.513584930804,0.2523678535693573,85.85966308861812,1.7657007217667187,1.2226223209738645,101082.17464592103,288.0184858738453,0.0,0.0,0.0,332.605,0.1785066900092231,0.86,nominal,3884.3582582692984,nan,pitch_program,12.985,0.0,0.0,-1.430813724064029,-0.0,0.0,-1.9384882344384171,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03383300220212211,0.0,0.0,-0.03383300220212211,0.0,0.0,17.35770739523291,0.06314612228480862,0.6043863080476812,-0.001655503275322846,-0.15273149976751932,0.0010211118298624324,1.0,1.0748258844106662,-2.2359671580330436,18.51333494575084,85.14542942101363,-0.094226961006505,7.990550680962668,20.438521462773743,85.9592934635892,4465.5836560691,-0.09384084596982473
0.06,5.145890403822941,0.0,20.45931356861288,86.02184182753749,0.0,7.545702775990792,86.35215632388963,18.074937056481705,0.0,6.641298079802917,0.0,0.0,-12.523881697597158,0.0,1.6282324588862682,0.0,4558.261705882298,0.2538160904080648,86.35215632388963,1.7942126460413002,1.2225957387074649,101079.46052480591,288.01701446180397,0.0,0.0,0.0,338.40999999999997,0.18162219138624247,0.86,nominal,3928.9847783003743,nan,pitch_program,12.97,0.0,0.0,-0.2980427416894465,-0.0,0.0,-0.9542209387890349,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.01665429717333993,0.0,0.0,-0.01665429717333993,0.0,0.0,17.493313478345577,-0.013671172218579015,1.1656959463461583,-0.0007495822719660454,-0.22099173337429814,-0.0023906745523972336,1.0,1.0748258844106662,-2.2359671580330436,18.51333494575084,85.14542942101363,-0.094226961006505,7.990550680962668,20.882553971495785,86.37124342753732,4571.234928232083,0.6290704042713221
0.09,7.742118797583946,0.0,20.67973040353324,86.54094645870018,0.0,7.347227830678697,86.8522721105413,18.06948839074012,0.0,6.946385032984092,0.0,0.0,-10.16958913441264,0.0,2.093675402952936,0.0,4611.116093839243,0.25528672262303825,86.85227211054129,1.8238128573533074,1.2225698560604263,101076.81785003831,288.015581752377,0.0,0.0,0.0,344.215,0.18473769276326188,0.86,nominal,3974.4574635435642,nan,pitch_program,12.955,0.0,0.0,-0.7109671453664554,-0.0,0.0,-0.8082686627354873,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.01410694940542585,0.0,0.0,-0.01410694940542585,0.0,0.0,17.827108805898376,-0.030389942187931316,1.5678289829609282,-3.61101667076465e-05,-0.1701639202442071,-0.0010210356389153427,1.0,1.0748258844106662,-2.2359671580330436,18.51333494575084,85.14542942101363,-0.094226961006505,7.990550680962668,20.882553971495785,87.35068500732385,4629.864313554392,0.6290704042713221
0.12,10.354093574188456,0.0,20.894662427931376,87.065825886817,0.0,7.164400813271186,87.36009773556079,18.06394625995722,0.0,7.124603745680162,0.0,0.0,-5.940628546282453,0.0,2.4204942873243467,0.0,4665.099862984664,0.2567800080101859,87.3600977355608,1.853839467228214,1.2225446178759225,101074.2409889614,288.01418469421844,0.0,0.0,0.0,350.02,0.1878531941402813,0.86,nominal,4020.79997948224,nan,pitch_program,12.94,0.0,0.0,-1.6634892413848388,-0.0,0.0,-1.3214010099250981,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.023062798362371233,0.0,0.0,-0.023062798362371233,0.0,0.0,18.075723666896405,0.011162252533241544,1.7900511502045522,0.0019279080354589835,-0.10092451268330825,-0.0001108667644799813,1.0,1.0748258844106662,-2.2359671580330436,18.51333494575084,85.14542942101363,-0.094226961006505,7.990550680962668,20.715615485152536,87.88808807753965,4661.8012681695,0.21024623201791998
0.15,12.982024323723175,0.0,21.10439076788479,87.59769165115735,0.0,6.990944665113829,87.87621344779214,18.05831066413301,0.0,7.21932649630834,0.0,0.0,-3.157425740082307,0.0,2.656369973898883,0.0,4720.289596940901,0.25829765282225453,87.87621344779214,1.8842053868968003,1.2225199911132458,101071.72656713019,288.01282146000875,0.0,0.0,0.0,355.825,0.1909686955173007,0.86,nominal,4068.0778186848397,nan,pitch_program,12.925,0.0,0.0,-2.301267589034596,-0.0,0.0,-1.9093209573907968,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.033323937183799765,0.0,0.0,-0.033323937183799765,0.0,0.0,18.358937346325476,-0.012104459552234449,1.971598151538768,-0.004259781777600158,-0.05252875982488539,-0.0022982091098890708,1.0,1.0748258844106662,-2.2359671580330436,18.51333494575084,85.14542942101363,-0.094226961006505,7.990550680962668,20.715615485152536,88.29134133869478,4660.834268142632,0.21024623201791998
0.18,15.626141871105157,0.0,21.309106765996617,88.13725157939936,0.0,6.8238666037274855,88.40101962871131,18.05258160326749,0.0,7.288986426286434,0.0,0.0,-2.3219979519597715,0.0,2.8617967187558055,0.0,4776.744178845252,0.2598408343839094,88.40101962871131,1.9150218825023766,1.2224959532767863,101069.27228684576,288.011490806021,0.0,0.0,0.0,361.63,0.19408419689432013,0.86,nominal,4116.341087564662,nan,pitch_program,12.91,0.0,0.0,-2.466087475141642,-0.0,0.0,-2.2433808680413043,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.03915438252356919,0.0,0.0,-0.03915438252356919,0.0,0.0,18.623160110045593,-0.046727479169962685,2.0401835014589085,-0.0005453527173006002,-0.04372411544155672,-0.0053035337723833795,1.0,1.0748258844106662,-2.2359671580330436,18.51333494575084,85.14542942101363,-0.094226961006505,7.990550680962668,20.919878667548467,89.04384315414262,4789.315534755753,-1.2920880073952303
0.21,18.28667977071041,0.0,21.509002845735907,88.68459665350848,0.0,6.6632026579762655,88.93455994863162,18.04675907736066,0.0,7.358187029238188,0.0,0.0,-2.3066870454609187,0.0,3.0614156796163123,0.0,4834.485000595291,0.26140968154009314,88.9345599486316,1.9462302249504662,1.2224724817460386,101066.87583772096,288.0101914815027,0.0,0.0,0.0,367.435,0.19719969827133954,0.86,nominal,4165.609239385511,nan,pitch_program,12.895,0.0,0.0,-2.4260849504906608,-0.0,0.0,-2.353003317510918,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.041067655200915064,0.0,0.0,-0.041067655200915064,0.0,0.0,18.933197716073266,-0.00035099194016853893,2.2949185232558933,0.0025434649893954736,-0.04243442104199387,-0.00028036863902378183,1.0,15.8743046605842,-0.8136996524112691,19.577274217407865,88.699813047798,-0.030717796822290918,6.704758393506531,20.919878667548467,89.03365486786284,4756.00389794082,-1.2920880073952303
0.24,20.96386821919763,0.0,21.704294640938357,89.23961494957398,0.0,6.5097265067484065,89.47673114022936,18.040843086412522,0.0,7.421165774072442,0.0,0.0,-2.0992917058407046,0.0,3.249023262767568,0.0,4893.51776145703,0.2630038913090537,89.47673114022935,1.9776484183814318,1.2224495511771718,101064.53463137914,288.0089220848339,0.0,0.0,0.0,373.24,0.20031519964835895,0.86,nominal,4215.889128811003,nan,pitch_program,12.88,0.0,0.0,-2.4375409715649883,-0.0,0.0,-2.40372590994336,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.041952931444008336,0.0,0.0,-0.041952931444008336,0.0,0.0,19.28932795931878,0.008767108514725256,2.398386777729049,0.0009608415708110106,-0.03658447310391772,1.5386971171166045e-06,1.0,15.8743046605842,-0.8136996524112691,19.577274217407865,88.699813047798,-0.030717796822290918,6.704758393506531,21.445487389986656,89.486537430892,4897.652337959058,-1.4470885768093908
0.27,23.65793787234993,0.0,21.895198001267637,89.8023217717434,0.0,6.363445344309299,90.02749820052621,18.034833630423073,0.0,7.466017996066516,0.0,0.0,-1.4950741428183032,0.0,3.4127803671652277,0.0,4953.85567297886,0.26462336136806097,90.02749820052621,2.009116228561847,1.2224271362030346,101062.24607712611,288.0076812129917,0.0,0.0,0.0,379.045,0.20343070102537836,0.86,nominal,4267.193759602006,nan,pitch_program,12.865,0.0,0.0,-2.558317473451962,-0.0,0.0,-2.4964808480485208,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.043571810511426945,0.0,0.0,-0.043571810511426945,0.0,0.0,19.584654462810903,-0.012930464886282923,2.5740799039299205,-0.0006132467077917612,-0.023880686904115093,0.0024832112042270436,1.0,15.8743046605842,-0.8136996524112691,19.577274217407865,88.699813047798,-0.030717796822290918,6.704758393506531,21.445487389986656,89.67834452624457,5015.82368709768,-1.4470885768093908
